osmid,oneway,ref,highway,reversed,length,geometry,junction,lanes,name,maxspeed,tunnel,width
24601569,True,N921,secondary,False,18.391,"LINESTRING (5.0960525 50.4933787, 5.0960464 50.493343, 5.0960685 50.4932767, 5.0960744 50.4932151)",,,,,,
315391472,True,,primary,False,7.429,"LINESTRING (5.0960744 50.4932151, 5.0960353 50.4931928, 5.0960062 50.493165)",roundabout,,,,,
"[315391472, 4573854]",True,,primary,False,10.545,"LINESTRING (5.0959933 50.4930658, 5.0960312 50.4930208, 5.0960829 50.4929919)",roundabout,,,,,
4573857,True,N90,primary,False,18.933,"LINESTRING (5.1026473 50.4927624, 5.1026092 50.4927292, 5.1025892 50.4926902, 5.1025902 50.4926461, 5.1026142 50.4926048)",roundabout,,,,,
4573857,True,N90,primary,False,13.018,"LINESTRING (5.1028172 50.4927989, 5.1027256 50.4927931, 5.1026473 50.4927624)",roundabout,,,,,
4674253,False,N921,secondary,False,154.63299999999998,"LINESTRING (5.0965019 50.4911336, 5.0969203 50.4898878, 5.0969517 50.4897728)",,2,Rue du Commerce,,,
156043220,False,N90,secondary,False,88.987,"LINESTRING (5.0965019 50.4911336, 5.0963074 50.4911099, 5.0961264 50.4911129, 5.0952481 50.4911319)",,2,Avenue Reine Elisabeth,50,,
156043222,False,N90,secondary,False,38.388000000000005,"LINESTRING (5.0965019 50.4911336, 5.0966818 50.4911664, 5.0970179 50.4912401)",,2,Avenue Roi Albert,50,,
315391438,False,,secondary,True,32.743,"LINESTRING (5.0965019 50.4911336, 5.096428 50.4912714, 5.0963942 50.4914187)",,,Rue du Pont,,,
4573809,True,,unclassified,False,11.417,"LINESTRING (5.1010028 50.4922041, 5.1010394 50.4921041)",,,Rue Camus,,,
156043222,False,N90,secondary,True,301.6,"LINESTRING (5.1010028 50.4922041, 5.1007889 50.4921495, 5.1006931 50.492125, 5.0997307 50.4918987, 5.0986714 50.4916457, 5.0982132 50.491534, 5.0978015 50.4914337, 5.0976371 50.4913936, 5.0972422 50.4912974, 5.0971847 50.4912827, 5.0970179 50.4912401)",,2,Avenue Roi Albert,50,,
318670340,False,N90,secondary,False,122.44200000000001,"LINESTRING (5.1010028 50.4922041, 5.1014101 50.4922993, 5.1018188 50.4923976, 5.1024667 50.4925584, 5.1026142 50.4926048)",,2,Avenue Roi Albert,50,,
4674256,False,N921,secondary,True,104.493,"LINESTRING (5.0967882 50.4858571, 5.0981722 50.4861852)",,2,Rue Hanesse,,,
4674258,False,N921,secondary,False,37.981,"LINESTRING (5.0967882 50.4858571, 5.0968177 50.4857957, 5.0969449 50.4855304)",,1,Rue du Condroz,50,,
