osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,width,access,tunnel
3328914,True,2,N251,Naamsesteenweg,primary,50,False,21.324,"LINESTRING (4.6984801 50.868639, 4.6984036 50.8686135, 4.6983577 50.868575, 4.6983364 50.8685527, 4.6982961 50.8684951)",,,,
3677328,False,2,,Naamsepoort,secondary,50,False,18.478,"LINESTRING (4.6984801 50.868639, 4.6986307 50.8687386, 4.69866 50.8687603)",,,,
"[608715579, 3677822]",True,2,R23z,Erasme Ruelensvest,secondary,50,False,41.51200000000001,"LINESTRING (4.6984801 50.868639, 4.6985476 50.8686102, 4.6986546 50.8685677, 4.6987055 50.8685476, 4.6988825 50.8684832, 4.6989815 50.8684412)",,,,
19569387,False,1,,Jozef Eerdekensstraat,living_street,,False,27.939,"LINESTRING (4.700048 50.8659418, 4.7000936 50.8658799, 4.7002193 50.865715)",,,,
"[19568040, 19568033, 301992140]",False,1,,Stanislas De Rijcklaan,residential,50,False,204.35500000000002,"LINESTRING (4.700048 50.8659418, 4.6998727 50.8659153, 4.699527 50.8658485, 4.6993224 50.8657939, 4.6991448 50.865741, 4.6990469 50.8657099, 4.6990052 50.8656965, 4.6989898 50.8656915, 4.698862 50.8656515, 4.6986786 50.865595, 4.6984966 50.8655398, 4.6984547 50.8655271, 4.698097 50.8654187, 4.6980472 50.8654036, 4.6979709 50.8653805, 4.6979623 50.8653779, 4.6979184 50.8653646, 4.6978745 50.8653513, 4.6973885 50.865204)",yes,"['6.8', '6.9']",,
3373674,False,1,,,unclassified,30,True,8.946,"LINESTRING (4.6873063 50.8625597, 4.6872093 50.8625075)",,,permissive,
"[607917130, 3373668]",False,1,,,unclassified,30,True,26.837000000000003,"LINESTRING (4.6873063 50.8625597, 4.6874222 50.8624739, 4.6874888 50.8624245, 4.6875543 50.862376)",,,permissive,
229768922,True,,,Kasteelpark Arenberg,unclassified,30,False,50.715999999999994,"LINESTRING (4.6873063 50.8625597, 4.6873285 50.8627092, 4.6873274 50.8628978, 4.6873532 50.863014)",,,permissive,
"[229768920, 77864401, 77864414]",False,1,,Kasteelpark Arenberg,unclassified,30,True,96.873,"LINESTRING (4.6873532 50.863014, 4.687358 50.8630767, 4.6873207 50.8632996, 4.6872426 50.8633874, 4.6871762 50.8634463, 4.6871407 50.8634659, 4.6869566 50.8632443, 4.68688 50.8631222)",,,permissive,
"[257483984, 50431575]",True,1,,Kasteelpark Arenberg,unclassified,30,False,201.075,"LINESTRING (4.6873532 50.863014, 4.6874523 50.8630606, 4.688116 50.8634357, 4.6888477 50.8638827, 4.6888024 50.8639907, 4.6887891 50.8641052, 4.6888497 50.8644015)",,,permissive,
3373671,True,1,,Kasteelpark Arenberg,unclassified,30,False,31.561999999999998,"LINESTRING (4.68688 50.8631222, 4.6868099 50.8629352, 4.6867899 50.8628444)",,,permissive,
"[229768920, 77864401, 77864414]",False,1,,Kasteelpark Arenberg,unclassified,30,False,96.873,"LINESTRING (4.68688 50.8631222, 4.6869566 50.8632443, 4.6871407 50.8634659, 4.6871762 50.8634463, 4.6872426 50.8633874, 4.6873207 50.8632996, 4.687358 50.8630767, 4.6873532 50.863014)",,,permissive,
182158054,True,1,,,unclassified,30,False,47.801,"LINESTRING (4.6867899 50.8628444, 4.686925 50.8627085, 4.6871307 50.8625631, 4.6872093 50.8625075)",,,permissive,
3677328,False,2,,Naamsepoort,secondary,50,True,18.478,"LINESTRING (4.69866 50.8687603, 4.6986307 50.8687386, 4.6984801 50.868639)",,,,
"[608715561, 3677330, 608715562]",True,2,R23,Tervuursevest,secondary,50,False,65.694,"LINESTRING (4.69866 50.8687603, 4.6984124 50.8688272, 4.6983962 50.8688316, 4.698165 50.868894, 4.697978 50.8689445, 4.6977994 50.8689928)",,,,
192659001,False,2,,Hertogstraat,tertiary,30,False,60.612,"LINESTRING (4.6976501 50.8607565, 4.6975598 50.8608135, 4.6971325 50.8610948, 4.697043 50.8611438)",,,,
192659001,False,2,,Hertogstraat,tertiary,30,True,35.375,"LINESTRING (4.6976501 50.8607565, 4.6978114 50.8606556, 4.6980043 50.8605302)",,,,
3996945,False,1,,Parkbosstraat,residential,,False,41.292,"LINESTRING (4.6980043 50.8605302, 4.6979688 50.8604964, 4.6979574 50.8604856, 4.6976792 50.8602207)",,,,
192659001,False,2,,Hertogstraat,tertiary,30,False,35.375,"LINESTRING (4.6980043 50.8605302, 4.6978114 50.8606556, 4.6976501 50.8607565)",,,,
19569387,False,1,,Jozef Eerdekensstraat,living_street,,True,27.939,"LINESTRING (4.7002193 50.865715, 4.7000936 50.8658799, 4.700048 50.8659418)",,,,
78345003,False,1,,Jozef Eerdekensstraat,living_street,,False,17.509,"LINESTRING (4.7002193 50.865715, 4.7002004 50.8656572, 4.7001688 50.8655608)",,,,
21845582,False,,,Zeepweg,residential,,True,26.366999999999997,"LINESTRING (4.6977632 50.8648813, 4.6976323 50.8649551, 4.6974731 50.8650317)",,,,
48446148,False,,,Erasme Ruelensvest,residential,,True,33.199000000000005,"LINESTRING (4.698581 50.8683399, 4.6988777 50.86825, 4.6989261 50.8682363, 4.6990161 50.8682282)",,,,
48446148,False,,,Erasme Ruelensvest,residential,,False,33.199,"LINESTRING (4.6990161 50.8682282, 4.6989261 50.8682363, 4.6988777 50.86825, 4.698581 50.8683399)",,,,
"[48446149, 303392599]",True,1,,Erasme Ruelensvest,residential,,False,92.317,"LINESTRING (4.6990161 50.8682282, 4.6991064 50.8681805, 4.6992364 50.8681423, 4.6993294 50.8681149, 4.6995061 50.8680636, 4.6996112 50.868034, 4.6999833 50.867932, 4.7001221 50.867894, 4.7002002 50.8678726)",,,,
