osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,junction
10782008,4,N6,Boulevard J. F. Kennedy,primary,50,False,False,5.829,"LINESTRING (4.0709193 50.5834785, 4.0708558 50.583445)",,
10782008,4,N6,Boulevard J. F. Kennedy,primary,50,False,True,5.829,"LINESTRING (4.0708558 50.583445, 4.0709193 50.5834785)",,
18462114,,,Rue de Steenkerque,residential,,False,True,64.125,"LINESTRING (4.0708558 50.583445, 4.0710946 50.5828886)",,
"[10782008, 149418463]",4,N6,Boulevard J. F. Kennedy,primary,50,False,False,267.258,"LINESTRING (4.0708558 50.583445, 4.0705669 50.5832745, 4.0702616 50.5830899, 4.0700209 50.5829272, 4.0697793 50.5827524, 4.0694433 50.5824887, 4.0692106 50.5822756, 4.0686533 50.5817182, 4.0685144 50.5815719)",,
1178650028,4,N6,Boulevard Franklin Roosevelt,primary,50,False,False,15.471,"LINESTRING (4.0666915 50.5792884, 4.0666591 50.5791508)",,
14484117,4,N6,Boulevard Franklin Roosevelt,primary,50,False,True,263.99,"LINESTRING (4.0666915 50.5792884, 4.0667206 50.5793902, 4.0668054 50.5796117, 4.0669056 50.5797931, 4.0669749 50.5799095, 4.0670575 50.5800191, 4.0671586 50.5801466, 4.0672704 50.5802723, 4.0679842 50.5810188, 4.068231 50.5812774, 4.068339 50.5814014)",,
200146155,,N524,Rue de Neufvilles,secondary,50,False,False,22.567,"LINESTRING (4.0666915 50.5792884, 4.0665171 50.5792676, 4.0663769 50.5792527)",,
695993531,,,,unclassified,30,False,True,66.174,"LINESTRING (4.0666915 50.5792884, 4.0668641 50.5793071, 4.0671601 50.5792983, 4.0673376 50.5792995, 4.0676257 50.5793057)",,
14007122,,,Rue de Cognebeau,residential,,False,True,350.63400000000007,"LINESTRING (4.0635472 50.5767078, 4.064207 50.5771634, 4.0646375 50.5773502, 4.0649792 50.5776045, 4.0653069 50.5778648, 4.0654119 50.5779601, 4.0662576 50.5788073, 4.0662742 50.5788339, 4.0662601 50.5788652, 4.0660074 50.579182)",,
20467916,,,Rue de la Villette,residential,30,False,False,85.851,"LINESTRING (4.0635472 50.5767078, 4.0631332 50.576975, 4.0626858 50.5772526)",,
200146155,,N524,Rue de Neufvilles,secondary,50,False,True,27.249,"LINESTRING (4.0660074 50.579182, 4.0663769 50.5792527)",,
