osmid,name,highway,oneway,reversed,length,geometry,maxspeed,tunnel
10098156,Grand'Route,tertiary,False,False,7.023,"LINESTRING (5.4762803 50.601511, 5.4762057 50.6014692)",,
10098156,Grand'Route,tertiary,False,True,7.023,"LINESTRING (5.4762057 50.6014692, 5.4762803 50.601511)",,
10098156,Grand'Route,tertiary,False,False,276.46299999999997,"LINESTRING (5.4762057 50.6014692, 5.4748756 50.6007177, 5.473278 50.5998174)",,
1204827704,Rue Bailly,residential,True,False,50.247,"LINESTRING (5.4762057 50.6014692, 5.4759041 50.6017128, 5.4758347 50.6017237, 5.4756878 50.6016981)",,
10098156,Grand'Route,tertiary,False,False,112.202,"LINESTRING (5.473278 50.5998174, 5.4728229 50.5995548, 5.4726409 50.5994678, 5.4723166 50.5993707, 5.4719564 50.5992787)",,
10098156,Grand'Route,tertiary,False,True,276.46299999999997,"LINESTRING (5.473278 50.5998174, 5.4748756 50.6007177, 5.4762057 50.6014692)",,
10098593,Rue Bailly,residential,False,True,117.696,"LINESTRING (5.473278 50.5998174, 5.4731906 50.5999194, 5.4731868 50.6000763, 5.4732438 50.6002625, 5.473779 50.6007519)",,
10098156,Grand'Route,tertiary,False,False,232.684,"LINESTRING (5.4719564 50.5992787, 5.471751 50.5992183, 5.4706346 50.5990256, 5.4701557 50.5989467, 5.4693492 50.5988158, 5.4691175 50.598778, 5.4690665 50.5987699, 5.4690132 50.5987614, 5.46879 50.5987064)",,
10098156,Grand'Route,tertiary,False,True,112.202,"LINESTRING (5.4719564 50.5992787, 5.4723166 50.5993707, 5.4726409 50.5994678, 5.4728229 50.5995548, 5.473278 50.5998174)",,
"[244085522, 24440259]",Rue du Village,tertiary,False,False,182.487,"LINESTRING (5.4719564 50.5992787, 5.4718211 50.5993775, 5.471739 50.5994816, 5.4716925 50.5995405, 5.4716558 50.5996391, 5.4716306 50.5997778, 5.4717253 50.6000824, 5.4717508 50.6001646, 5.4718161 50.6004324, 5.4718153 50.6004926, 5.4717905 50.6005685, 5.4717107 50.6006802, 5.4715487 50.6008046)","['50', '30']",
24582094,Rue Maréchal Foch,residential,False,False,81.059,"LINESTRING (5.4719564 50.5992787, 5.4720588 50.5991862, 5.472188 50.5990386, 5.4725258 50.5986463)",,
24582074,Rue de Pierpont,residential,True,False,66.722,"LINESTRING (5.46879 50.5987064, 5.469132 50.598147)",,
10098156,Grand'Route,tertiary,False,False,87.19099999999999,"LINESTRING (5.46879 50.5987064, 5.4683559 50.5985974, 5.4683112 50.5985861, 5.4680001 50.598508, 5.4678346 50.5984516, 5.4676602 50.5983921)",,
