osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,lanes,access,junction,width
53609534,Avenue Iris Crahay,residential,False,False,6.595,,"LINESTRING (5.5662771 50.5297349, 5.5661967 50.5297048)",,,,,,
152069848,Rue de Bruxelles,secondary,False,True,137.193,N633,"LINESTRING (5.5662771 50.5297349, 5.5662746 50.529788, 5.5663295 50.5299158, 5.5663995 50.5300646, 5.5664465 50.5301647, 5.5666864 50.5306624, 5.5667501 50.5308891, 5.5667643 50.5309256)",,,,,,
"[689362409, 55883970, 30325878, 689362391]",Rue Désiré Delville,secondary,False,True,93.49300000000002,N633,"LINESTRING (5.5669163 50.5317614, 5.5669287 50.5319059, 5.566992 50.5323978, 5.5669936 50.5324151, 5.5669941 50.5324661, 5.5669954 50.5326003)",yes,50,,,,
152069848,Rue de Bruxelles,secondary,False,False,48.596999999999994,N633,"LINESTRING (5.5669163 50.5317614, 5.566904 50.5316388, 5.5668574 50.531326)",,,,,,
201886735,Avenue Montefiore,secondary,False,False,132.334,N638,"LINESTRING (5.5669163 50.5317614, 5.5667026 50.531774, 5.5663135 50.5317981, 5.5662348 50.5318033, 5.5662011 50.5318055, 5.565928 50.5318134, 5.5654985 50.531791, 5.5650527 50.531755)",,50,2,,,
121125510,Rue du Monument,secondary,False,False,253.27800000000002,N633,"LINESTRING (5.5662734 50.535201, 5.5661721 50.5349565, 5.5660836 50.5348076, 5.5659413 50.5346186, 5.5657282 50.5343493, 5.5656841 50.5342781, 5.5656605 50.5342135, 5.5656411 50.5341139, 5.5656467 50.5340353, 5.5656841 50.5339658, 5.5657478 50.5338798, 5.565912 50.5337339, 5.5665411 50.5331777)",,50,2,,,
"[121125504, 121125510]",Rue du Monument,secondary,False,True,108.947,N633,"LINESTRING (5.5662734 50.535201, 5.5663442 50.5353561, 5.5664109 50.5354429, 5.5665273 50.5355133, 5.5665737 50.5355338, 5.5666362 50.5355614, 5.5668855 50.5356401, 5.5673871 50.5358037)",,50,2,,,
121136641,Résidence du Parc,residential,False,False,69.192,,"LINESTRING (5.5662734 50.535201, 5.5656804 50.5356195, 5.5656085 50.5356569)",,,,,,
27436146,Rue du Monument,secondary,False,False,23.059,N633,"LINESTRING (5.5693336 50.5361286, 5.5690091 50.536107)",,30,,,,
44499376,Avenue Saint-Michel,residential,False,True,18.237000000000002,,"LINESTRING (5.5693336 50.5361286, 5.5693593 50.5360588, 5.569447 50.5359852)",,,,,,
41085504,Rue Oscar Troupin,residential,False,True,95.804,,"LINESTRING (5.569447 50.5359852, 5.5697173 50.5359135, 5.5700408 50.5359304, 5.5704078 50.535936, 5.5707781 50.5359218)",,,,destination,,
44499376,Avenue Saint-Michel,residential,False,False,18.237000000000002,,"LINESTRING (5.569447 50.5359852, 5.5693593 50.5360588, 5.5693336 50.5361286)",,,,,,
44499376,Avenue Saint-Michel,residential,False,True,53.334,,"LINESTRING (5.569447 50.5359852, 5.5694607 50.5359108, 5.5696654 50.5355997, 5.5697064 50.5355374)",,,,,,
44499376,Avenue Saint-Michel,residential,False,False,53.334,,"LINESTRING (5.5697064 50.5355374, 5.5696654 50.5355997, 5.5694607 50.5359108, 5.569447 50.5359852)",,,,,,
44499376,Avenue Saint-Michel,residential,False,True,151.724,,"LINESTRING (5.5697064 50.5355374, 5.5697501 50.5352431, 5.5697732 50.5350879, 5.5699318 50.5341805)",,,,,,
44499376,Avenue Saint-Michel,residential,False,False,151.72400000000002,,"LINESTRING (5.5699318 50.5341805, 5.5697732 50.5350879, 5.5697501 50.5352431, 5.5697064 50.5355374)",,,,,,
"[154537956, 154537957]",Rue du Mont,residential,False,False,99.681,,"LINESTRING (5.5699318 50.5341805, 5.5693664 50.5340921, 5.569196 50.5340534, 5.5689686 50.5339809, 5.5686289 50.5338556)",,,,,,
154537956,Rue du Mont,residential,False,True,68.154,,"LINESTRING (5.5699318 50.5341805, 5.5700079 50.5341896, 5.5705161 50.5342618, 5.5708653 50.5343317)",,,,,,
44499411,Rue de l'Athénée,residential,True,False,48.93,,"LINESTRING (5.5655542 50.5328609, 5.565689 50.5328104, 5.5660395 50.5327526, 5.566213 50.5327581)",,30,,,,
154977460,Rue de l'Athénée,residential,False,False,31.487000000000002,,"LINESTRING (5.5655542 50.5328609, 5.5652998 50.5328882, 5.5651329 50.5329425)",,30,,,,
154537954,Rue Désiré Delville,secondary,False,True,25.514000000000003,N633,"LINESTRING (5.5669954 50.5326003, 5.5669258 50.5327593, 5.5669079 50.5327966, 5.5668962 50.5328209)",,50,2,,,
154977458,Rue de l'Athénée,residential,False,False,58.11,,"LINESTRING (5.5669954 50.5326003, 5.5668102 50.5326259, 5.5663311 50.5327366, 5.5662806 50.5327453, 5.566213 50.5327581)",,50,,,,
"[689362390, 237055822]",Avenue de la Station,tertiary,False,True,92.648,,"LINESTRING (5.5669954 50.5326003, 5.5671608 50.532564, 5.5673345 50.5325004, 5.567645 50.5324012, 5.5678048 50.5323483, 5.5681599 50.532221)",,"['50', '30']",,,,
"[689362409, 55883970, 30325878, 689362391]",Rue Désiré Delville,secondary,False,False,93.49300000000001,N633,"LINESTRING (5.5669954 50.5326003, 5.5669941 50.5324661, 5.5669936 50.5324151, 5.566992 50.5323978, 5.5669287 50.5319059, 5.5669163 50.5317614)",yes,50,,,,
34753196,Avenue de la Station,tertiary,True,False,29.933,,"LINESTRING (5.5719357 50.5312995, 5.5718935 50.5312792, 5.571865 50.5312508, 5.5718535 50.531218, 5.5718606 50.5311846, 5.5718853 50.5311549, 5.5719246 50.5311323, 5.5719737 50.5311198, 5.5720266 50.5311187)",,30,,,roundabout,
"[44499368, 37432243, 689362390, 232454592]",Avenue de la Station,tertiary,False,False,288.03499999999997,,"LINESTRING (5.5719357 50.5312995, 5.5717913 50.5313814, 5.5716353 50.531412, 5.5714719 50.5314377, 5.5707563 50.5315642, 5.5699893 50.5316897, 5.5698452 50.5317239, 5.5697557 50.5317451, 5.5696534 50.5317713, 5.5689311 50.5319563, 5.5686937 50.5320285, 5.5681599 50.532221)",,30,,,,
37432244,Rue sous les Roches,residential,False,False,363.65600000000006,,"LINESTRING (5.57268 50.5312783, 5.5725056 50.5314571, 5.5721824 50.5316309, 5.5718027 50.5317123, 5.5713438 50.5318057, 5.5706877 50.5320258, 5.5699307 50.5321968, 5.569475 50.5322609, 5.5688884 50.532295, 5.5683886 50.5323938, 5.5683698 50.5323975, 5.5683027 50.5323842, 5.5681599 50.532221)",,,,,,
37432245,Rue Grandfosse,tertiary,False,True,186.18,,"LINESTRING (5.57268 50.5312783, 5.5728096 50.5312772, 5.5728611 50.5312772, 5.5729609 50.5312775, 5.5730574 50.5312776, 5.5731596 50.5312778, 5.5734004 50.5312953, 5.5735451 50.5313175, 5.5739496 50.5314256, 5.5740066 50.5314408, 5.5741726 50.531465, 5.5745868 50.5314979, 5.5752579 50.5315433)",,30,,,,
853694805,Rue Grandfosse,tertiary,False,False,38.013,,"LINESTRING (5.57268 50.5312783, 5.572446 50.5312783, 5.5722905 50.53127, 5.5721483 50.5312445)",,30,,,,
303381683,Rue Grandfosse,tertiary,True,False,18.322999999999997,,"LINESTRING (5.5721483 50.5312445, 5.5721236 50.5312735, 5.572085 50.5312955, 5.572037 50.5313079, 5.5719852 50.5313093, 5.5719357 50.5312995)",,30,,,roundabout,
853694805,Rue Grandfosse,tertiary,False,True,38.013,,"LINESTRING (5.5721483 50.5312445, 5.5722905 50.53127, 5.572446 50.5312783, 5.57268 50.5312783)",,30,,,,
34753197,Avenue de la Station,residential,False,False,32.771,,"LINESTRING (5.5720266 50.5311187, 5.5721174 50.5309266, 5.5721431 50.5308339)",,30,,,,
303381683,Rue Grandfosse,tertiary,True,False,18.652,,"LINESTRING (5.5720266 50.5311187, 5.5720687 50.5311267, 5.5721055 50.5311421, 5.5721337 50.5311635, 5.5721511 50.5311892, 5.572156 50.531217, 5.5721483 50.5312445)",,30,,,roundabout,
34753197,Avenue de la Station,residential,False,True,32.771,,"LINESTRING (5.5721431 50.5308339, 5.5721174 50.5309266, 5.5720266 50.5311187)",,30,,,,
37432248,Avenue Reine Astrid,residential,False,False,282.876,,"LINESTRING (5.5650527 50.531755, 5.5650583 50.5317133, 5.5650692 50.5316744, 5.5651295 50.5313875, 5.5651353 50.5312401, 5.5651131 50.5310878, 5.5650363 50.5307739, 5.5649896 50.5305551, 5.5649381 50.5303469, 5.5649254 50.5302386, 5.5649395 50.5301678, 5.5649877 50.5300968, 5.5651233 50.5300263, 5.5653317 50.5299517, 5.5660205 50.5297568, 5.5661443 50.5297222, 5.5661967 50.5297048)",,,,destination,,
201886735,Avenue Montefiore,secondary,False,False,187.605,N638,"LINESTRING (5.5650527 50.531755, 5.5645707 50.5317223, 5.5624191 50.5315455)",,50,2,,,
201886735,Avenue Montefiore,secondary,False,True,132.334,N638,"LINESTRING (5.5650527 50.531755, 5.5654985 50.531791, 5.565928 50.5318134, 5.5662011 50.5318055, 5.5662348 50.5318033, 5.5663135 50.5317981, 5.5667026 50.531774, 5.5669163 50.5317614)",,50,2,,,
37432249,,residential,True,False,62.006,,"LINESTRING (5.5668574 50.531326, 5.5670446 50.5313821, 5.5673761 50.5316648, 5.5674329 50.5317288)",,,,,,
152069848,Rue de Bruxelles,secondary,False,False,45.007999999999996,N633,"LINESTRING (5.5668574 50.531326, 5.5667933 50.5310412, 5.5667643 50.5309256)",,,,,,
152069848,Rue de Bruxelles,secondary,False,True,48.596999999999994,N633,"LINESTRING (5.5668574 50.531326, 5.566904 50.5316388, 5.5669163 50.5317614)",,,,,,
37602874,Quai de la Régence,residential,False,False,148.207,,"LINESTRING (5.5674329 50.5317288, 5.5676862 50.5316821, 5.5678663 50.5316285, 5.5680655 50.5315709, 5.568217 50.5315271, 5.5686983 50.5313555, 5.5690107 50.531229, 5.5691185 50.5311865, 5.5692883 50.5311195)",,,,,,
204596272,Quai de la Régence,residential,True,False,36.955,,"LINESTRING (5.5674329 50.5317288, 5.5672655 50.5317559, 5.5671066 50.5317658, 5.5669163 50.5317614)",,,,,,
41085504,Rue Oscar Troupin,residential,False,False,95.804,,"LINESTRING (5.5707781 50.5359218, 5.5704078 50.535936, 5.5700408 50.5359304, 5.5697173 50.5359135, 5.569447 50.5359852)",,,,destination,,
41085504,Rue Oscar Troupin,residential,False,True,96.52199999999999,,"LINESTRING (5.5707781 50.5359218, 5.5714965 50.5358476, 5.5721278 50.5357895)",,,,destination,,
224096513,,residential,False,True,44.339,,"LINESTRING (5.5707781 50.5359218, 5.5712333 50.5360023, 5.5713856 50.5360202)",,,,destination,,
44499362,Rue des Combattants,residential,False,False,6.082,,"LINESTRING (5.5686289 50.5338556, 5.5685504 50.533878)",,,,,,
"[154537956, 154537957]",Rue du Mont,residential,False,True,99.68100000000001,,"LINESTRING (5.5686289 50.5338556, 5.5689686 50.5339809, 5.569196 50.5340534, 5.5693664 50.5340921, 5.5699318 50.5341805)",,,,,,
689362413,Place Jean d'Ardenne,residential,False,True,57.725,,"LINESTRING (5.5686289 50.5338556, 5.5686831 50.5337498, 5.5687154 50.5336872, 5.5688216 50.5334815, 5.5688876 50.5334267, 5.5689415 50.5333818)",,,,,,
44499363,Rue des Volontaires,residential,False,False,106.824,,"LINESTRING (5.5680103 50.5344966, 5.5666854 50.5342115, 5.5665787 50.5341885)",,,,,,
