osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,access,bridge
306312100,1,N3,Grand'Route,primary,50,roundabout,True,False,23.043,"LINESTRING (5.6519239 50.6230639, 5.6519236 50.6231103, 5.6518909 50.6231517, 5.6518327 50.6231796, 5.6517935 50.6231833, 5.6517256 50.6231848)",,
"[1016508482, 981149892]",2,N3,Grand'Route,primary,50,,False,True,26.644,"LINESTRING (5.6519239 50.6230639, 5.6520178 50.6230449, 5.6520774 50.6230328, 5.6522628 50.6229618)",,
306312093,2,N3,Grand'Route,primary,50,,False,True,11.568,"LINESTRING (5.6602713 50.6199112, 5.6604175 50.6198641)",,
37568791,,,Avenue de la Gare,residential,50,,True,False,137.12800000000001,"LINESTRING (5.6602713 50.6199112, 5.6601893 50.61986, 5.6587372 50.6194146, 5.6585462 50.6193509)",,
306312093,2,N3,Grand'Route,primary,50,,False,False,66.201,"LINESTRING (5.6602713 50.6199112, 5.659911 50.6200486, 5.6594633 50.6202139)",,
8455347,,,Avenue de la Gare,residential,30,,False,False,31.992,"LINESTRING (5.6568486 50.6183429, 5.6569308 50.6184378, 5.6571296 50.6185654)",,
"[49179252, 49179253]",,,Rue de la Station,residential,"['30', '50']",,False,True,119.96100000000001,"LINESTRING (5.6568486 50.6183429, 5.6572734 50.618258, 5.6573488 50.6182439, 5.6575711 50.6182022, 5.6584852 50.6180513)",,
"[1006451361, 31631508, 1016602709, 49179254]",,,"['Rue Sainte Anne', 'Avenue de la Gare']",residential,"['30', '50']",,False,True,84.107,"LINESTRING (5.6568486 50.6183429, 5.6565739 50.6183932, 5.6563676 50.6184471, 5.6562817 50.6184436, 5.6561902 50.6184053, 5.6561406 50.6183535, 5.656092 50.6182993, 5.6559416 50.6181393)",,
28034140,,,,residential,50,,True,False,17.519,"LINESTRING (5.6581858 50.6192435, 5.6579482 50.6192893)",,
178372076,,,Avenue de la Gare,residential,50,,False,False,15.234,"LINESTRING (5.6581858 50.6192435, 5.6583589 50.6193254)",,
