osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,lanes,junction,maxspeed,access
130795868,N433,Opperstraat,secondary,False,False,67.316,,"LINESTRING (3.9397574 51.1742172, 3.9405989 51.1742749, 3.9407172 51.1742835)",,,,
130795868,N433,Opperstraat,secondary,False,True,144.905,,"LINESTRING (3.9397574 51.1742172, 3.9395407 51.1742045, 3.9391181 51.1741792, 3.9387437 51.1741433, 3.9383171 51.174093, 3.9379581 51.1740507, 3.9377042 51.1740211)",,,,
"[418384864, 514487705]",,Bevrijdersstraat,"['residential', 'living_street']",False,False,166.82,,"LINESTRING (3.9397574 51.1742172, 3.9396508 51.1739976, 3.9396392 51.173684, 3.9396514 51.1733924, 3.9396619 51.1732381, 3.9396728 51.1728405, 3.9396759 51.1727273)",,,,
"[411091658, 514486163]",,de Kerchovestraat,"['living_street', 'residential']",False,True,87.386,,"LINESTRING (3.9396759 51.1727273, 3.939995 51.1727491, 3.9409219 51.1728129)",,,,
514486175,,Bevrijdersstraat,living_street,False,False,51.078,,"LINESTRING (3.9396759 51.1727273, 3.9397098 51.1724889, 3.9396982 51.1724688, 3.9396058 51.1722788)",,,,
"[418384864, 514487705]",,Bevrijdersstraat,"['living_street', 'residential']",False,True,166.82,,"LINESTRING (3.9396759 51.1727273, 3.9396728 51.1728405, 3.9396619 51.1732381, 3.9396514 51.1733924, 3.9396392 51.173684, 3.9396508 51.1739976, 3.9397574 51.1742172)",,,,
217429089,,Hospicestraat,tertiary,False,False,57.791,,"LINESTRING (3.9471214 51.174728, 3.9474233 51.1747644, 3.9477392 51.1747899, 3.947941 51.174804)",,,,
762545561,N433,Hospicestraat,secondary,False,True,128.434,,"LINESTRING (3.9471214 51.174728, 3.9469742 51.1747116, 3.9467604 51.1746847, 3.946147 51.1746199, 3.9454232 51.1745761, 3.9452983 51.1745682)",,,,
"[27002053, 810340950]",N433,Korte Damstraat,secondary,False,True,248.389,,"LINESTRING (3.9471214 51.174728, 3.947217 51.1745576, 3.9478011 51.173516, 3.9479125 51.1733211, 3.9481102 51.1729663, 3.9481689 51.1728565, 3.948185 51.1728161, 3.9481982 51.1727803, 3.9482136 51.1726871, 3.9482163 51.1726759, 3.9482292 51.1726094)",,,,
27014423,,Damstraat,living_street,False,False,315.06800000000004,,"LINESTRING (3.9472842 51.1724217, 3.9463165 51.1722056, 3.9453793 51.172053, 3.9448895 51.1720039, 3.9445478 51.1719696, 3.9437752 51.1719732, 3.9437408 51.1719734, 3.942867 51.1719502)",,,,
"[561454967, 27014423]",,Damstraat,living_street,False,True,58.238,,"LINESTRING (3.9472842 51.1724217, 3.9478711 51.1725406, 3.9479291 51.1725468, 3.9479812 51.1725445, 3.9480878 51.1725358)",,,,
38112075,,Wevershof,residential,False,True,178.013,,"LINESTRING (3.9472842 51.1724217, 3.9471164 51.172865, 3.9469026 51.1729403, 3.9464911 51.1736391, 3.9466187 51.1738724)",,,,
38112075,,Wevershof,residential,False,False,178.013,,"LINESTRING (3.9466187 51.1738724, 3.9464911 51.1736391, 3.9469026 51.1729403, 3.9471164 51.172865, 3.9472842 51.1724217)",,,,
38112077,,Sportstraat,residential,False,False,140.972,,"LINESTRING (3.9452124 51.1745624, 3.9454683 51.1733048)",,,,
762545561,N433,Hospicestraat,secondary,False,False,6.023,,"LINESTRING (3.9452124 51.1745624, 3.9452983 51.1745682)",,,,
762545561,N433,Hospicestraat,secondary,False,True,57.906,,"LINESTRING (3.9452124 51.1745624, 3.9448561 51.1745374, 3.9443867 51.1745058)",,,,
38112077,,Sportstraat,residential,False,True,140.972,,"LINESTRING (3.9454683 51.1733048, 3.9452124 51.1745624)",,,,
38112077,,Sportstraat,residential,False,False,260.575,,"LINESTRING (3.9454683 51.1733048, 3.9450156 51.1732142, 3.9449402 51.1731491, 3.9449699 51.1730578, 3.9451808 51.1727269, 3.9452785 51.1726986, 3.9454027 51.1727011, 3.946151 51.1728453, 3.9462195 51.1728986, 3.9462185 51.1729573, 3.94596 51.1733569, 3.9458489 51.1733754, 3.9454683 51.1733048)",,,,
38112077,,Sportstraat,residential,False,True,260.575,,"LINESTRING (3.9454683 51.1733048, 3.9458489 51.1733754, 3.94596 51.1733569, 3.9462185 51.1729573, 3.9462195 51.1728986, 3.946151 51.1728453, 3.9454027 51.1727011, 3.9452785 51.1726986, 3.9451808 51.1727269, 3.9449699 51.1730578, 3.9449402 51.1731491, 3.9450156 51.1732142, 3.9454683 51.1733048)",,,,
"[1257140657, 38112079]",,Maluslaan,residential,False,"[False, True]",103.988,,"LINESTRING (3.947941 51.174804, 3.9479032 51.175077, 3.9479283 51.175363, 3.9478304 51.1755137, 3.9477843 51.1755859, 3.9477829 51.1756239, 3.9477987 51.1756596, 3.9478637 51.1757025)",,,,
217429089,,Hospicestraat,tertiary,False,True,57.791,,"LINESTRING (3.947941 51.174804, 3.9477392 51.1747899, 3.9474233 51.1747644, 3.9471214 51.174728)",,,,
762545561,N433,Hospicestraat,secondary,False,True,38.378,,"LINESTRING (3.9443867 51.1745058, 3.9438406 51.1744622)",,,,
39357259,,Herfstvrede,residential,False,True,271.55699999999996,,"LINESTRING (3.9443867 51.1745058, 3.9444221 51.1743101, 3.9444294 51.1742347, 3.9444542 51.1739797, 3.9444573 51.1739477, 3.9444819 51.1736941, 3.9444521 51.1736523, 3.9444271 51.1736277, 3.9445629 51.1733465, 3.9444893 51.1732659, 3.9442898 51.1732199, 3.9442267 51.1732154, 3.9441662 51.173231, 3.9441282 51.1732548, 3.9439303 51.173542, 3.9438504 51.1736579, 3.9437334 51.1738277, 3.9436759 51.1739157, 3.9435553 51.1741003)",,,,
762545561,N433,Hospicestraat,secondary,False,False,57.906,,"LINESTRING (3.9443867 51.1745058, 3.9448561 51.1745374, 3.9452124 51.1745624)",,,,
38111193,N433,Opperstraat,secondary,False,True,111.63800000000002,,"LINESTRING (3.9423151 51.1743489, 3.9421682 51.174342, 3.9416129 51.1743235, 3.9408294 51.1742887, 3.9407172 51.1742835)",,,,
39357261,,Crevestraat,residential,False,False,269.51300000000003,,"LINESTRING (3.9423151 51.1743489, 3.9423426 51.174234, 3.9424219 51.1739237, 3.9424664 51.1737564, 3.9427417 51.1725884, 3.942792 51.1723574, 3.942867 51.1719502)",,,30,
"[762545561, 1228410979]",N433,Hospicestraat,secondary,False,False,107.101,,"LINESTRING (3.9423151 51.1743489, 3.9425542 51.1743702, 3.9427385 51.1743846, 3.942968 51.1744027, 3.9437369 51.1744561, 3.9438406 51.1744622)",,,,
27014423,,Damstraat,living_street,False,False,140.539,,"LINESTRING (3.942867 51.1719502, 3.941348 51.1718809, 3.9408555 51.1718698)",,,,
27014423,,Damstraat,living_street,False,True,315.06800000000004,,"LINESTRING (3.942867 51.1719502, 3.9437408 51.1719734, 3.9437752 51.1719732, 3.9445478 51.1719696, 3.9448895 51.1720039, 3.9453793 51.172053, 3.9463165 51.1722056, 3.9472842 51.1724217)",,,,
39357261,,Crevestraat,residential,False,True,269.513,,"LINESTRING (3.942867 51.1719502, 3.942792 51.1723574, 3.9427417 51.1725884, 3.9424664 51.1737564, 3.9424219 51.1739237, 3.9423426 51.174234, 3.9423151 51.1743489)",,,30,
130795867,N433,Opperstraat,secondary,False,True,32.808,,"LINESTRING (3.9377042 51.1740211, 3.9372434 51.1739612)",,,,
"[39357264, 561330118, 39357262]",,"['Lindenplaats', 'Plaisantstraat']","['residential', 'living_street']",False,False,266.962,,"LINESTRING (3.9377042 51.1740211, 3.9377092 51.1739858, 3.9377162 51.1739357, 3.9377482 51.173708, 3.9377525 51.1735761, 3.937708 51.1733857, 3.93746 51.1726372, 3.9374338 51.17253, 3.9374376 51.1724077, 3.9375143 51.1723571, 3.9377073 51.1723419, 3.937988 51.1723255, 3.9386207 51.1722886)",,,,
130795868,N433,Opperstraat,secondary,False,False,144.905,,"LINESTRING (3.9377042 51.1740211, 3.9379581 51.1740507, 3.9383171 51.174093, 3.9387437 51.1741433, 3.9391181 51.1741792, 3.9395407 51.1742045, 3.9397574 51.1742172)",,,,
514486175,,Bevrijdersstraat,living_street,False,True,17.756,,"LINESTRING (3.9395356 51.1721253, 3.9396058 51.1722788)",,,,
39357264,,Lindenplaats,living_street,False,True,68.335,,"LINESTRING (3.9395356 51.1721253, 3.9394979 51.1721095, 3.9387044 51.1722394, 3.9386207 51.1722886)",,,,
514487704,,Damstraat,living_street,False,False,96.59,,"LINESTRING (3.9395356 51.1721253, 3.9405934 51.1718932, 3.9408555 51.1718698)",,,,
71553438,N433,Statiestraat,secondary,True,False,19.052,,"LINESTRING (3.9341001 51.1733541, 3.9341697 51.1733326, 3.9342469 51.1733278, 3.9343045 51.1733358, 3.9343567 51.1733532)",1,roundabout,50,
217429095,N433,Statiestraat,secondary,True,False,24.564,,"LINESTRING (3.9340623 51.1735506, 3.9340307 51.1735186, 3.9340142 51.1734825, 3.9340139 51.1734461, 3.934029 51.1734109, 3.9340584 51.1733795, 3.9341001 51.1733541)",1,roundabout,50,
130795867,N433,Opperstraat,secondary,False,False,32.808,,"LINESTRING (3.9372434 51.1739612, 3.9377042 51.1740211)",,,,
"[69727033, 69726916]",,Heidestraat,residential,False,False,232.094,,"LINESTRING (3.9372434 51.1739612, 3.9372536 51.1739919, 3.9375344 51.1748396, 3.9379525 51.1760005)",,,,
156936962,N433,Opperstraat,secondary,False,True,205.39299999999997,,"LINESTRING (3.9372434 51.1739612, 3.9371079 51.1739338, 3.9367309 51.1738577, 3.9358595 51.1736589, 3.9354107 51.1735565, 3.9348516 51.1734324, 3.9347262 51.1734241, 3.9345648 51.1734373, 3.9344448 51.1734464)",,,,
71553438,N433,Statiestraat,secondary,True,False,12.352,,"LINESTRING (3.9343567 51.1733532, 3.9343994 51.1733788, 3.9344295 51.1734106, 3.9344448 51.1734464)",1,roundabout,50,
