osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,junction,access,bridge
22912877,Antwerpsestraat,tertiary,50,False,False,7.335,,,"LINESTRING (4.3647621 51.0897317, 4.364861 51.0897095)",,,
"[24243513, 266812493]",Frans De Schutterlaan,secondary,50,True,False,266.09200000000004,2,N177,"LINESTRING (4.3647621 51.0897317, 4.3646578 51.0895983, 4.3637827 51.0885617, 4.3635026 51.0882612, 4.3634576 51.0882129, 4.3631884 51.0878959, 4.363085 51.0877888, 4.3630418 51.087756, 4.3629279 51.0876359)",,,
256228521,Antwerpsestraat,tertiary,50,False,False,8.211,,,"LINESTRING (4.3654611 51.0881832, 4.3654879 51.0881113)",,,
26501408,Kerkstraat,residential,30,True,False,260.5559999999999,,,"LINESTRING (4.3654611 51.0881832, 4.3653134 51.0881418, 4.364833 51.0875962, 4.3645193 51.0871579, 4.364201 51.0866614, 4.3641345 51.0865113, 4.364057 51.0862165, 4.3640353 51.08616, 4.3640091 51.0860719)",,,
256228521,Antwerpsestraat,tertiary,50,False,True,180.69799999999998,,,"LINESTRING (4.3654611 51.0881832, 4.3654554 51.0882037, 4.3653581 51.0885552, 4.3652293 51.0891051, 4.3651733 51.0894095, 4.3651637 51.0894387, 4.3651319 51.0895356, 4.3650603 51.0896358, 4.3649948 51.0896709, 4.3649286 51.0896877, 4.364861 51.0897095)",,,
24243518,Tuyaertsstraat,tertiary,50,False,False,183.916,,,"LINESTRING (4.3656211 51.0877973, 4.3657178 51.0878107, 4.3666453 51.0879397, 4.3667104 51.0879462, 4.3667874 51.0879365, 4.366873 51.0879096, 4.3679027 51.0874613, 4.3679796 51.0874305)",,,
256228521,Antwerpsestraat,tertiary,50,False,True,36.132999999999996,,,"LINESTRING (4.3656211 51.0877973, 4.3655121 51.0880542, 4.3654879 51.0881113)",,,
256228533,Kapelstraat,tertiary,50,True,False,14.431000000000001,,,"LINESTRING (4.3734954 51.085926, 4.3735256 51.0858924, 4.3735604 51.0858718, 4.37361 51.0858559, 4.3736508 51.0858506)",roundabout,,
256228533,Kapelstraat,tertiary,50,True,False,4.055,,,"LINESTRING (4.3737671 51.0858687, 4.3738101 51.0858932)",roundabout,,
"[16757124, 274718391]",,motorway_link,,True,False,306.335,"['1', '2']",,"LINESTRING (4.362058 51.0890544, 4.3622044 51.0891063, 4.3625747 51.0894075, 4.362762 51.0895644, 4.3634759 51.0901921, 4.3640126 51.090817, 4.3642436 51.0911033, 4.3644257 51.0913482)",,,
769122289,Wipplein,secondary,50,False,False,13.353,,,"LINESTRING (4.3630985 51.0875817, 4.3629279 51.0876359)",,,
24243514,Frans De Schutterlaan,secondary,50,True,False,37.418,2,N177,"LINESTRING (4.3630985 51.0875817, 4.3632077 51.0877008, 4.3633261 51.0878637, 4.3633409 51.0878814)",,,
"[255736482, 255736483, 255736484, 255736485, 474239723, 181010268]",Henri Spillemaeckersstraat,unclassified,30,True,False,186.327,1,,"LINESTRING (4.3630985 51.0875817, 4.3631832 51.0875564, 4.3632385 51.0875378, 4.3633172 51.0875087, 4.363383 51.0874571, 4.3633975 51.0873753, 4.3634204 51.0865722, 4.363425 51.0864827, 4.3634297 51.0863932, 4.3634343 51.0863032, 4.3634605 51.0861036, 4.3634644 51.0860739, 4.3634278 51.0860087)",,,
26574327,Colonel Silvertopstraat,residential,,False,False,19.197000000000003,,,"LINESTRING (4.3634278 51.0860087, 4.3633398 51.0859532, 4.3632123 51.0859034)",,,
"[24243248, 26574327]",Colonel Silvertopstraat,residential,,False,False,173.76700000000002,,,"LINESTRING (4.3632123 51.0859034, 4.3631105 51.0859187, 4.3630099 51.085933, 4.3629254 51.0859532, 4.3628149 51.0859785, 4.3626438 51.0860173, 4.3624818 51.086065, 4.3623501 51.0861082, 4.3622212 51.0861643, 4.3621582 51.0861888, 4.3620958 51.0862189, 4.3617205 51.0864254, 4.3613846 51.0865983, 4.3612875 51.0866489, 4.3611726 51.0867089, 4.3611424 51.0867292)",,,
26574327,Colonel Silvertopstraat,residential,,False,True,19.197000000000003,,,"LINESTRING (4.3632123 51.0859034, 4.3633398 51.0859532, 4.3634278 51.0860087)",,,
