osmid,lanes,highway,junction,oneway,reversed,length,geometry,name,width,ref,maxspeed,access
25484129,1,primary,roundabout,True,False,10.056000000000001,"LINESTRING (5.341052 50.7995038, 5.3409868 50.7995223, 5.3409158 50.7995282)",,,,,
140246762,1,tertiary,,True,False,31.555,"LINESTRING (5.341052 50.7995038, 5.3410546 50.7995492, 5.3410603 50.7995995, 5.3410803 50.799787)",Nieuwesteenweg,,,,
35140879,,residential,,False,False,108.633,"LINESTRING (5.3489229 50.8029538, 5.3488638 50.8030192, 5.3485582 50.8032387, 5.3483339 50.8034013, 5.3480539 50.8036481, 5.3479858 50.803727)",Langesteeg,3,,,
161446901,2,secondary,,False,True,88.434,"LINESTRING (5.3489229 50.8029538, 5.3491138 50.8030077, 5.3495238 50.8031055, 5.3496854 50.8031524, 5.3497742 50.8032297, 5.3498093 50.8032891, 5.3498255 50.8033167, 5.3498571 50.8033998)",Gillebroek,,N76,50,
255840817,2,secondary,,False,False,67.73,"LINESTRING (5.3489229 50.8029538, 5.3487963 50.8029107, 5.3486779 50.8028646, 5.348544 50.802807, 5.3484372 50.8027569, 5.348349 50.8027127, 5.3483019 50.8026862, 5.3482604 50.8026546, 5.3482459 50.802636, 5.3482513 50.8026121, 5.3482593 50.8025654)",Gillebroek,,N76,50,
28735209,2,tertiary,,False,True,16.441000000000003,"LINESTRING (5.3482593 50.8025654, 5.3481483 50.8025373, 5.3480519 50.8024984)",Tongersesteenweg,,,,
255840817,2,secondary,,False,True,67.72999999999999,"LINESTRING (5.3482593 50.8025654, 5.3482513 50.8026121, 5.3482459 50.802636, 5.3482604 50.8026546, 5.3483019 50.8026862, 5.348349 50.8027127, 5.3484372 50.8027569, 5.348544 50.802807, 5.3486779 50.8028646, 5.3487963 50.8029107, 5.3489229 50.8029538)",Gillebroek,,N76,50,
28730945,,residential,,False,False,232.922,"LINESTRING (5.3414785 50.8013448, 5.3409836 50.8012317, 5.3407556 50.801191, 5.3405976 50.8011631, 5.3404082 50.8011545, 5.3384697 50.8012306, 5.3383563 50.8012444, 5.3382265 50.8012767)",Kogelstraat,3,,,destination
217360047,,tertiary,,False,False,216.748,"LINESTRING (5.3414785 50.8013448, 5.3413984 50.8015939, 5.3413376 50.8017021, 5.3412616 50.8018063, 5.3410117 50.8021091, 5.3407529 50.8024232, 5.3407264 50.802464, 5.3407007 50.802533, 5.3406731 50.8026376, 5.3406626 50.8027355, 5.340663 50.8028065, 5.3406696 50.8028693, 5.3407233 50.8031338, 5.3407412 50.8031826)",Nieuwesteenweg,5,,,
217360047,,tertiary,,False,True,150.941,"LINESTRING (5.3414785 50.8013448, 5.341488 50.8012579, 5.3414828 50.8011038, 5.3412074 50.8001777, 5.3411542 50.8000071)",Nieuwesteenweg,5,,,
