osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry
26358787,11,primary,50,roundabout,True,False,29.403,"LINESTRING (16.7392073 50.0442071, 16.7392249 50.0442588, 16.7392145 50.0443112, 16.7391772 50.0443584, 16.7391174 50.0443947, 16.739042 50.044416)"
"[26358784, 1233811898]",11,primary,50,,False,False,150.721,"LINESTRING (16.7392073 50.0442071, 16.7394093 50.0441477, 16.7395033 50.04412, 16.7400506 50.0438681, 16.7402837 50.0437451, 16.7408369 50.0433651)"
80640100,,residential,,,False,False,275.781,"LINESTRING (16.7430252 50.038681, 16.7427074 50.0386026, 16.7424995 50.038462, 16.7425017 50.0383633, 16.7425636 50.0382223, 16.7427096 50.0380232, 16.7427772 50.0378631, 16.7427992 50.0377547, 16.7427712 50.0376175, 16.7426445 50.037335, 16.7425286 50.0371312, 16.7425042 50.0370272, 16.7425179 50.0369523, 16.742771 50.0368907, 16.7429564 50.0367595, 16.7430448 50.0367125, 16.7431543 50.0366951)"
279936342,11,primary,50,,False,False,225.07500000000005,"LINESTRING (16.7430252 50.038681, 16.743222 50.0382296, 16.7433326 50.0379565, 16.7433662 50.0376859, 16.7433432 50.0375003, 16.74317 50.0368918, 16.7431543 50.0366951)"
279936342,11,primary,50,,False,True,95.303,"LINESTRING (16.7430252 50.038681, 16.7428854 50.0391418, 16.7427966 50.0395252)"
26358787,11,primary,50,roundabout,True,False,18.985,"LINESTRING (16.739042 50.044416, 16.7389759 50.0444205, 16.7389104 50.0444133, 16.7388505 50.0443948, 16.7388006 50.0443666)"
26358787,11,primary,50,roundabout,True,False,20.307000000000002,"LINESTRING (16.7388006 50.0443666, 16.7387628 50.044328, 16.738744 50.0442839, 16.7387461 50.0442383, 16.7387688 50.044195)"
"[26358784, 279936343]",11,primary,50,,False,False,83.67800000000001,"LINESTRING (16.7408369 50.0433651, 16.7411453 50.0431115, 16.7414615 50.0428592, 16.7415654 50.0427757)"
"[26358784, 1233811898]",11,primary,50,,False,True,150.721,"LINESTRING (16.7408369 50.0433651, 16.7402837 50.0437451, 16.7400506 50.0438681, 16.7395033 50.04412, 16.7394093 50.0441477, 16.7392073 50.0442071)"
44201887,,residential,,,False,True,368.0160000000001,"LINESTRING (16.7408369 50.0433651, 16.7397318 50.0431018, 16.7387256 50.0429185, 16.7382872 50.0427595, 16.7382041 50.0427382, 16.7381212 50.0427374, 16.7380196 50.0427689, 16.7375923 50.0429653, 16.7373472 50.04311, 16.7370588 50.0433021, 16.7369082 50.04338, 16.7364706 50.0436334, 16.736409 50.0436698)"
