osmid,ref,highway,maxspeed,oneway,reversed,length,bridge,geometry,name,tunnel
"[42949376, 42949372, 42949373]",27,primary,90,False,True,514.661,yes,"LINESTRING (13.728939 50.6617296, 13.7285346 50.6615674, 13.7282222 50.6614289, 13.7279401 50.6612885, 13.7277448 50.6611795, 13.7273392 50.6609424, 13.7263984 50.6603689, 13.7256796 50.6599281, 13.7252898 50.6596897, 13.7250303 50.6595342, 13.7246901 50.6593672, 13.7244003 50.6592435, 13.7238634 50.6590313, 13.7235115 50.6588979, 13.723302 50.6588179)",,
"[226690440, 261825624]",382,secondary,50,False,True,162.482,,"LINESTRING (13.728939 50.6617296, 13.7288545 50.6618339, 13.7288545 50.6618936, 13.7288545 50.6619842, 13.728915 50.6620782, 13.7290247 50.6621569, 13.7295939 50.6623994, 13.7297292 50.6625346, 13.7298152 50.6626642, 13.7299271 50.6629057)",,
"[22376076, 226690438, 226690439]",25340,tertiary,50,False,False,146.258,,"LINESTRING (13.7299271 50.6629057, 13.7300524 50.662682, 13.7302154 50.6623145, 13.7303211 50.6621608, 13.7303809 50.6621173, 13.7305333 50.6620093, 13.7307508 50.6618882, 13.7309219 50.6617959)",,
"[261825624, 226690440]",382,secondary,50,False,False,162.48200000000003,,"LINESTRING (13.7299271 50.6629057, 13.7298152 50.6626642, 13.7297292 50.6625346, 13.7295939 50.6623994, 13.7290247 50.6621569, 13.728915 50.6620782, 13.7288545 50.6619842, 13.7288545 50.6618936, 13.7288545 50.6618339, 13.728939 50.6617296)",,
24634017,,residential,50,False,False,146.052,,"LINESTRING (13.7309219 50.6617959, 13.7306677 50.6613671, 13.730573 50.6611886, 13.7302377 50.6605563)",,
"[22376076, 226690438, 226690439]",25340,tertiary,50,False,True,146.25799999999998,,"LINESTRING (13.7309219 50.6617959, 13.7307508 50.6618882, 13.7305333 50.6620093, 13.7303809 50.6621173, 13.7303211 50.6621608, 13.7302154 50.6623145, 13.7300524 50.662682, 13.7299271 50.6629057)",,
163795652,,residential,50,False,False,35.516,,"LINESTRING (13.7276331 50.6585607, 13.7273968 50.6582786)",Mírové náměstí,
278179736,,residential,50,False,True,13.86,,"LINESTRING (13.7276331 50.6585607, 13.7277126 50.6586747)",Mlýnská,
256944734,,residential,50,False,True,79.957,,"LINESTRING (13.7276331 50.6585607, 13.7275495 50.6586456, 13.7273919 50.658888, 13.7272319 50.6591395, 13.7271576 50.659211)",Krátká,
34963580,,residential,50,False,False,152.661,,"LINESTRING (13.7239266 50.6564969, 13.7237872 50.6562581, 13.7234613 50.6559196, 13.7231957 50.6552178)",Duchcovská,
163793091,,residential,50,False,True,128.61599999999999,,"LINESTRING (13.7239266 50.6564969, 13.7240038 50.6565636, 13.7240819 50.6565869, 13.7241509 50.6566075, 13.7243391 50.6566504, 13.7248665 50.6567038, 13.7251827 50.6567367, 13.725306 50.6567623, 13.7255032 50.6568095, 13.7256279 50.6568445)",Duchcovská,
163793092,,residential,50,False,False,59.965999999999994,,"LINESTRING (13.7239266 50.6564969, 13.7233923 50.6565787, 13.7231054 50.6566364)",Tržní náměstí,
163923781,,residential,50,False,False,27.086,,"LINESTRING (13.7271576 50.659211, 13.7268852 50.6593828)",Rybniční,
24634019,,residential,50,False,True,244.88,,"LINESTRING (13.7271576 50.659211, 13.7261507 50.6589343, 13.7255897 50.6588016, 13.7241791 50.6584398, 13.7239407 50.6583806)",Rybniční,
42949367,,residential,50,False,True,67.50399999999999,,"LINESTRING (13.7271576 50.659211, 13.7272818 50.6592965, 13.7277619 50.6596816)",Rybniční,
256944734,,residential,50,False,False,79.95700000000001,,"LINESTRING (13.7271576 50.659211, 13.7272319 50.6591395, 13.7273919 50.658888, 13.7275495 50.6586456, 13.7276331 50.6585607)",Krátká,
34963580,,residential,50,False,True,152.661,,"LINESTRING (13.7231957 50.6552178, 13.7234613 50.6559196, 13.7237872 50.6562581, 13.7239266 50.6564969)",Duchcovská,
163793092,,residential,50,False,True,46.291,,"LINESTRING (13.7218162 50.6570301, 13.7223648 50.6568013)",Tržní náměstí,
42949374,,residential,30,False,False,225.49200000000002,,"LINESTRING (13.7218162 50.6570301, 13.7220723 50.6572246, 13.7223262 50.6576749, 13.722557 50.6579654, 13.7227943 50.6580229, 13.7239407 50.6583806)",Rybniční,
163845638,,residential,50,False,False,73.864,,"LINESTRING (13.7218162 50.6570301, 13.7216451 50.6569309, 13.7216003 50.6568224, 13.7220861 50.6565592)",Tržní náměstí,
506904106,,residential,50,False,False,107.27600000000001,,"LINESTRING (13.7218162 50.6570301, 13.7211724 50.6573984, 13.7205497 50.6575264)",Horní,
42949358,,residential,50,False,True,33.327,,"LINESTRING (13.7223648 50.6568013, 13.7220861 50.6565592)",Komenského,
163793092,,residential,50,False,False,46.291,,"LINESTRING (13.7223648 50.6568013, 13.7218162 50.6570301)",Tržní náměstí,
163793092,,residential,50,False,True,55.382999999999996,,"LINESTRING (13.7223648 50.6568013, 13.7225549 50.6567635, 13.7227545 50.6567255, 13.7231054 50.6566364)",Tržní náměstí,
42949361,,residential,50,False,False,180.545,,"LINESTRING (13.7256279 50.6568445, 13.7263786 50.6565493, 13.7275942 50.6560004, 13.7277298 50.6559203)",U Radnice,
163793090,,residential,50,False,True,64.193,,"LINESTRING (13.7256279 50.6568445, 13.7260113 50.65706, 13.7263037 50.6572314)",Duchcovská,
163793091,,residential,50,False,False,128.616,,"LINESTRING (13.7256279 50.6568445, 13.7255032 50.6568095, 13.725306 50.6567623, 13.7251827 50.6567367, 13.7248665 50.6567038, 13.7243391 50.6566504, 13.7241509 50.6566075, 13.7240819 50.6565869, 13.7240038 50.6565636, 13.7239266 50.6564969)",Duchcovská,
"[42949362, 261825619]",,residential,50,False,False,106.445,,"LINESTRING (13.7263037 50.6572314, 13.7266027 50.6572127, 13.7268907 50.6571947, 13.7278062 50.6572533)",Teplická,
163793090,,residential,50,False,False,64.193,,"LINESTRING (13.7263037 50.6572314, 13.7260113 50.65706, 13.7256279 50.6568445)",Duchcovská,
163795652,,residential,50,False,True,139.828,,"LINESTRING (13.7263037 50.6572314, 13.726593 50.6574578, 13.7268156 50.6576872, 13.72721 50.6580935, 13.7272571 50.6581394, 13.7273968 50.6582786)",Mírové náměstí,
42949361,,residential,50,False,False,16.421,,"LINESTRING (13.7277298 50.6559203, 13.7278771 50.6558059)",U Radnice,
42949361,,residential,50,False,True,180.545,,"LINESTRING (13.7277298 50.6559203, 13.7275942 50.6560004, 13.7263786 50.6565493, 13.7256279 50.6568445)",U Radnice,
42949366,,residential,50,False,False,148.751,,"LINESTRING (13.7277298 50.6559203, 13.7277153 50.6562164, 13.7278138 50.656779, 13.7278359 50.6570038, 13.7278062 50.6572533)",,
42949366,,residential,50,False,False,62.521,,"LINESTRING (13.7278062 50.6572533, 13.7277977 50.6575001, 13.7278212 50.6576963, 13.7278306 50.6578148)",,
42949366,,residential,50,False,True,148.751,,"LINESTRING (13.7278062 50.6572533, 13.7278359 50.6570038, 13.7278138 50.656779, 13.7277153 50.6562164, 13.7277298 50.6559203)",,
"[715696376, 261825619]",,residential,50,False,False,348.378,,"LINESTRING (13.7278062 50.6572533, 13.728409 50.657338, 13.730455 50.6578261, 13.731397 50.6582264, 13.7317441 50.6583845, 13.7322337 50.6585782)",Teplická,
"[42949362, 261825619]",,residential,50,False,True,106.445,,"LINESTRING (13.7278062 50.6572533, 13.7268907 50.6571947, 13.7266027 50.6572127, 13.7263037 50.6572314)",Teplická,
163917752,,residential,50,False,False,84.67,,"LINESTRING (13.7239407 50.6583806, 13.7236274 50.6591157)",Husova,
24634019,,residential,50,False,False,244.88,,"LINESTRING (13.7239407 50.6583806, 13.7241791 50.6584398, 13.7255897 50.6588016, 13.7261507 50.6589343, 13.7271576 50.659211)",Rybniční,
42949374,,residential,30,False,True,225.492,,"LINESTRING (13.7239407 50.6583806, 13.7227943 50.6580229, 13.722557 50.6579654, 13.7223262 50.6576749, 13.7220723 50.6572246, 13.7218162 50.6570301)",Rybniční,
493634688,,residential,50,False,True,142.429,,"LINESTRING (13.7239407 50.6583806, 13.7240601 50.6579963, 13.7240924 50.6577287, 13.724102 50.6571079)",Rybniční,
163917752,,residential,50,False,True,71.707,,"LINESTRING (13.7233458 50.660029, 13.723531 50.6593949)",Husova,
42949371,,residential,50,False,True,166.721,,"LINESTRING (13.7233458 50.660029, 13.7242816 50.6607598, 13.7247408 50.6610509, 13.7249167 50.6611458)",Husova,
"[493634697, 199502915, 199502918, 493634695]",,residential,50,False,True,297.151,,"LINESTRING (13.7233458 50.660029, 13.7232752 50.6601565, 13.7231626 50.6602633, 13.7229082 50.6603793, 13.7223489 50.6606299, 13.7222235 50.6606607, 13.7221384 50.6606603, 13.722005 50.6606226, 13.7218943 50.6605605, 13.7217878 50.6604656, 13.7215884 50.6602467, 13.7214755 50.6600991, 13.7214504 50.6600462, 13.7213917 50.6599064, 13.7212824 50.6597678, 13.7210376 50.6595228, 13.7208606 50.6592747)",Horní,yes
