osmid,oneway,name,highway,reversed,length,geometry,maxspeed,lanes,ref,bridge,access,junction
22884841,True,Tyršova,residential,False,186.782,"LINESTRING (15.9423495 49.5591268, 15.9420489 49.5593066, 15.9405133 49.5600727, 15.9403171 49.5601662)",,,,,,
28482147,False,Smetanova,tertiary,False,164.754,"LINESTRING (15.9423495 49.5591268, 15.9442732 49.5594455, 15.9444019 49.5595036, 15.9445184 49.5595562)",50,,,,,
28482149,False,Smetanova,tertiary,True,157.906,"LINESTRING (15.9423495 49.5591268, 15.9408696 49.5588933, 15.9403736 49.5588133, 15.9402221 49.5587918)",30,,,,,
102871078,False,Žižkova,primary,True,110.213,"LINESTRING (15.9327263 49.5637316, 15.9329597 49.5636887, 15.9331822 49.5636526, 15.9334475 49.5636101, 15.9336887 49.5635753, 15.9339785 49.5635374, 15.9342135 49.5635051)",50,2,19,,,
5087597,False,nám. Republiky,residential,False,48.042,"LINESTRING (15.9405902 49.5623501, 15.9404798 49.5622918, 15.9403076 49.5622009, 15.9400791 49.5620731)",,,,,,
112862770,False,Horní,primary,False,238.99900000000002,"LINESTRING (15.9405902 49.5623501, 15.9404367 49.562505, 15.940253 49.5626996, 15.9400504 49.5629465, 15.9398968 49.5631629, 15.9397505 49.5634072, 15.9396473 49.563604, 15.9395897 49.5637184, 15.9395301 49.5638707, 15.9394491 49.5640853, 15.9393717 49.564331)",50,2,19;37;353,,,
224209996,False,Horní,primary,True,156.27,"LINESTRING (15.9405902 49.5623501, 15.9407192 49.5622296, 15.9411463 49.5618725, 15.9413863 49.561692, 15.9416085 49.56154, 15.9417896 49.5614117, 15.9419927 49.5612819)",50,2,19;37;353,,,
"[1185201049, 5087550]",False,Horní,primary,False,155.56099999999998,"LINESTRING (15.9445184 49.5595562, 15.9443586 49.559739, 15.9442188 49.5598755, 15.9440548 49.5600388, 15.9438956 49.5601667, 15.9435352 49.5603954, 15.9433962 49.5604755, 15.9431399 49.5606166)",50,"['2', '3']",19;37;353,,,
28482147,False,Smetanova,tertiary,True,164.754,"LINESTRING (15.9445184 49.5595562, 15.9444019 49.5595036, 15.9442732 49.5594455, 15.9423495 49.5591268)",50,,,,,
93993922,False,Brněnská,primary,True,135.35599999999997,"LINESTRING (15.9445184 49.5595562, 15.9446515 49.5593698, 15.9447598 49.5592182, 15.9451576 49.5588789, 15.9455157 49.5586021, 15.9455723 49.5585583)",50,2,19;37;353,,,
4675515,False,Žižkova,primary,False,61.162,"LINESTRING (15.9391349 49.5653706, 15.9389216 49.5653635, 15.9388153 49.5653619, 15.9386961 49.5653515, 15.9385712 49.5653336, 15.9384926 49.5653129, 15.9383206 49.5652531)",50,2,19,,,
"[5087555, 1143057725]",False,Dolní,primary,False,153.753,"LINESTRING (15.9391349 49.5653706, 15.9391164 49.565587, 15.9391116 49.565795, 15.9391299 49.5659845, 15.9391484 49.5661101, 15.9391818 49.5662543, 15.9392457 49.5664718, 15.939349 49.5667382)",50,"['2', '4']",37;353,,,
1143057726,False,Horní,primary,True,116.897,"LINESTRING (15.9391349 49.5653706, 15.9391729 49.5651642, 15.9392298 49.5648554, 15.9393717 49.564331)",50,4,19;37;353,,,
"[1185201050, 93993925, 1191282502]",False,Neumannova,residential,True,278.995,"LINESTRING (15.9391349 49.5653706, 15.9393235 49.5653577, 15.9393898 49.5653532, 15.9396129 49.5653311, 15.9398304 49.5653084, 15.9400303 49.5652846, 15.9402232 49.5652361, 15.9403386 49.5651987, 15.9404297 49.5651688, 15.9405347 49.5651258, 15.9406216 49.5650842, 15.9407771 49.5650027, 15.9409378 49.5649083, 15.9410877 49.5648007, 15.9412003 49.5647229, 15.9412604 49.5646849, 15.9413662 49.5646308, 15.9415546 49.5645431, 15.9416648 49.5645039, 15.9417932 49.5644777, 15.9419394 49.5644598, 15.9421172 49.5644585, 15.9422874 49.5644709, 15.9425649 49.564491)",50,3,,,,
22890293,False,Dr. Drože,residential,False,97.788,"LINESTRING (15.9375484 49.5648726, 15.9374682 49.564945, 15.937445 49.564966, 15.9372484 49.5651436, 15.9369388 49.5654261, 15.9369152 49.5654537, 15.9367488 49.565582)",,,,,,
"[4675515, 22953285, 22953286]",False,Žižkova,primary,True,70.151,"LINESTRING (15.9375484 49.5648726, 15.9376521 49.5649389, 15.9377904 49.565018, 15.938139 49.5651813, 15.9383206 49.5652531)",50,2,19,yes,,
"[687970226, 102871093, 102871078]",False,Žižkova,primary,False,300.753,"LINESTRING (15.9375484 49.5648726, 15.9372424 49.5646132, 15.9371793 49.5645604, 15.9370376 49.5644305, 15.9367466 49.5642069, 15.9365601 49.5640858, 15.9364825 49.5640478, 15.9356841 49.5636926, 15.9355137 49.5636246, 15.9353584 49.5635692, 15.9352445 49.5635423, 15.9351087 49.5635231, 15.9350543 49.5635168, 15.93493 49.5635023, 15.9347012 49.5634878, 15.9344884 49.5634893, 15.9342135 49.5635051)",50,2,19,,,
5087597,False,nám. Republiky,residential,True,48.042,"LINESTRING (15.9400791 49.5620731, 15.9403076 49.5622009, 15.9404798 49.5622918, 15.9405902 49.5623501)",,,,,,
"[102871092, 22884855]",False,nám. Republiky,residential,False,128.67000000000002,"LINESTRING (15.9400791 49.5620731, 15.9400127 49.5621135, 15.9393198 49.5625271, 15.9391818 49.5626095, 15.9387698 49.5628591)",,,,,,
112862774,False,nám. Republiky,residential,False,17.331000000000003,"LINESTRING (15.9400791 49.5620731, 15.9401696 49.5620247, 15.9402683 49.5619771)",,,,,,
610452219,False,Veselská,residential,False,65.769,"LINESTRING (15.9332405 49.5587517, 15.9333126 49.5588319, 15.9336997 49.5592627)",,,,,,
28482149,False,Smetanova,tertiary,False,157.906,"LINESTRING (15.9402221 49.5587918, 15.9403736 49.5588133, 15.9408696 49.5588933, 15.9423495 49.5591268)",30,,,,,
56460010,False,Smetanova,tertiary,True,82.236,"LINESTRING (15.9402221 49.5587918, 15.9400285 49.5587625, 15.9399054 49.5587439, 15.939277 49.5586327, 15.9391164 49.5586126)",,,,,,
22884840,True,Hutařova,residential,False,138.335,"LINESTRING (15.9403171 49.5601662, 15.9402147 49.5589239)",,,,,,
22904309,False,Tyršova,residential,False,34.025999999999996,"LINESTRING (15.9403171 49.5601662, 15.9401607 49.5602644, 15.9399598 49.5603653)",,,,,,
"[510206380, 510206381, 510206382]",False,Doležalovo nám.,residential,False,81.911,"LINESTRING (15.9403171 49.5601662, 15.9403906 49.5602311, 15.9406294 49.5604499, 15.9408691 49.5606531, 15.9409898 49.5607596)",,,,,destination,
"[22884842, 936660247]",False,Nádražní,residential,False,193.232,"LINESTRING (15.9391924 49.5604332, 15.9391702 49.5603539, 15.9391592 49.5602861, 15.9391222 49.5601202, 15.9391078 49.5600556, 15.9389138 49.5591857, 15.9388832 49.559051, 15.9388722 49.5589368, 15.9388611 49.5588227, 15.9388524 49.5587106)",,,,,,
"[749802202, 22884844]",False,Husova,residential,False,94.71100000000001,"LINESTRING (15.9391924 49.5604332, 15.9390865 49.5604437, 15.9386293 49.5604889, 15.9378954 49.5605662)",,,,,,
730968847,False,Tyršova,residential,True,55.861999999999995,"LINESTRING (15.9391924 49.5604332, 15.9392845 49.560425, 15.9399598 49.5603653)",,,,,,
22884848,True,Drdlova,residential,False,157.221,"LINESTRING (15.9378954 49.5605662, 15.937879 49.560498, 15.9375592 49.5591692)",,,,,,
"[713957600, 713957601]",False,Husova,residential,False,75.663,"LINESTRING (15.9378954 49.5605662, 15.9373672 49.5606071, 15.9368546 49.5606512)",,,,,,
"[749802202, 22884844]",False,Husova,residential,True,94.71100000000001,"LINESTRING (15.9378954 49.5605662, 15.9386293 49.5604889, 15.9390865 49.5604437, 15.9391924 49.5604332)",,,,,,
713957600,False,Husova,residential,False,75.821,"LINESTRING (15.9368546 49.5606512, 15.9365265 49.5606804, 15.9358131 49.5607438)",,,,,,
