osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction
"[420802058, 420802059]",2,473,Petřvaldská,secondary,50,False,False,89.51299999999999,"LINESTRING (18.3709199 49.7943189, 18.3712113 49.7946551, 18.3712156 49.79466, 18.3712718 49.7947224, 18.3713668 49.7948345, 18.3714268 49.7949049, 18.3715288 49.7950214)",,
437436487,,473,Petřvaldská,secondary,50,True,False,40.182,"LINESTRING (18.3709199 49.7943189, 18.3708141 49.7942402, 18.3707254 49.794157, 18.3706096 49.7940199)",,
"[1205081185, 50895227]",2,473,Kaštanová,secondary,50,False,True,28.702999999999996,"LINESTRING (18.3704541 49.7936655, 18.370438 49.7936299, 18.3704032 49.7935432, 18.3704139 49.7934119)",,
437436486,,473,Kaštanová,secondary,50,True,False,26.919,"LINESTRING (18.3704541 49.7936655, 18.3705231 49.7937212, 18.3705807 49.7937586, 18.3706966 49.7938499)",,
315272785,2,473,Petřvaldská,secondary,50,False,False,11.363,"LINESTRING (18.3730142 49.7968141, 18.3730828 49.7969062)",,
"[315272785, 1008725346]",2,473,Petřvaldská,secondary,50,False,True,46.117999999999995,"LINESTRING (18.3730142 49.7968141, 18.3728918 49.7966498, 18.372748 49.7964367)",,
1008725346,2,473,Petřvaldská,secondary,50,False,False,52.201,"LINESTRING (18.3721126 49.7956571, 18.3724598 49.7960696)",,
33754748,,,Čalounická,residential,40,False,False,193.19299999999998,"LINESTRING (18.3721126 49.7956571, 18.3746203 49.7951461, 18.3746723 49.7951245)",3,
"[1008725346, 420802059]",2,473,Petřvaldská,secondary,50,False,True,82.17399999999999,"LINESTRING (18.3721126 49.7956571, 18.3717925 49.7953058, 18.3717623 49.7952733, 18.3717441 49.7952537, 18.3716362 49.7951373, 18.3715288 49.7950214)",,
33755614,,,Místní,residential,,False,False,191.691,"LINESTRING (18.372748 49.7964367, 18.3752731 49.7958754)",3,
1008725346,2,473,Petřvaldská,secondary,50,False,True,45.762,"LINESTRING (18.372748 49.7964367, 18.3724598 49.7960696)",,
"[315272785, 1008725346]",2,473,Petřvaldská,secondary,50,False,False,46.117999999999995,"LINESTRING (18.372748 49.7964367, 18.3728918 49.7966498, 18.3730142 49.7968141)",,
33755614,,,Místní,residential,,False,True,191.691,"LINESTRING (18.3752731 49.7958754, 18.372748 49.7964367)",3,
315272785,2,473,Petřvaldská,secondary,50,False,True,83.473,"LINESTRING (18.3735869 49.7975827, 18.3730828 49.7969062)",,
33884037,,,Pod Školou,residential,40,False,False,75.452,"LINESTRING (18.3824579 49.7924855, 18.3824266 49.7924457, 18.3824087 49.7924231, 18.3823912 49.7923973, 18.3823066 49.7922725, 18.3820287 49.7918662)",,
315272788,2,479,Těšínská,secondary,50,False,True,349.852,"LINESTRING (18.3824579 49.7924855, 18.3799683 49.7928071, 18.3776733 49.7930843)",,
315272788,2,479,Těšínská,secondary,50,False,False,104.931,"LINESTRING (18.376237 49.7932598, 18.3776733 49.7930843)",,
33882974,,,Březová,residential,,False,False,129.64600000000002,"LINESTRING (18.376237 49.7932598, 18.3762708 49.7933037, 18.3763098 49.7933603, 18.37704 49.7943041)",,
"[33884033, 315272782, 213772126]",,,Lipová,residential,,False,False,417.605,"LINESTRING (18.376237 49.7932598, 18.3762162 49.7932288, 18.3761948 49.7931967, 18.3761834 49.7931669, 18.3758151 49.7923087, 18.3755195 49.7916805, 18.3753498 49.7912836, 18.3753346 49.7912477, 18.3750405 49.7905524, 18.3749629 49.7903651, 18.3746652 49.7896448)",,
"[315934387, 315934390]",2,479,Těšínská,secondary,50,False,True,364.988,"LINESTRING (18.376237 49.7932598, 18.3761798 49.7932672, 18.3760737 49.7932815, 18.3760123 49.7932894, 18.374248 49.7935035, 18.3724886 49.7937207, 18.3723964 49.7937317, 18.3712395 49.7938649)",,
"[112938186, 112938172, 33882974]",,,Březová,residential,40,False,True,258.596,"LINESTRING (18.379421 49.7973946, 18.3788919 49.7967278, 18.3786083 49.7963812, 18.3785263 49.7962579, 18.3784673 49.7961858, 18.3782795 49.7959562, 18.3781144 49.7957545, 18.3777806 49.7953245)",,
101163798,,,Lipová,residential,,False,False,81.863,"LINESTRING (18.3746652 49.7896448, 18.3746378 49.7896728, 18.3746003 49.7897112, 18.3744899 49.7898243, 18.3744045 49.7903454)",,
"[213772126, 33884033, 315272782]",,,Lipová,residential,,False,True,417.605,"LINESTRING (18.3746652 49.7896448, 18.3749629 49.7903651, 18.3750405 49.7905524, 18.3753346 49.7912477, 18.3753498 49.7912836, 18.3755195 49.7916805, 18.3758151 49.7923087, 18.3761834 49.7931669, 18.3761948 49.7931967, 18.3762162 49.7932288, 18.376237 49.7932598)",,
315272788,2,479,Těšínská,secondary,50,False,True,104.931,"LINESTRING (18.3776733 49.7930843, 18.376237 49.7932598)",,
33884036,,,U Školky,residential,,False,False,69.132,"LINESTRING (18.3776733 49.7930843, 18.3776622 49.7930446, 18.3776382 49.7929701, 18.3775022 49.7924725)",,
315272788,2,479,Těšínská,secondary,50,False,False,349.852,"LINESTRING (18.3776733 49.7930843, 18.3799683 49.7928071, 18.3824579 49.7924855)",,
213784624,,,U Školky,residential,,False,True,54.883,"LINESTRING (18.376501 49.7890291, 18.3759374 49.7893626)",,
33884036,,,U Školky,residential,,False,True,179.905,"LINESTRING (18.376501 49.7890291, 18.3766684 49.7895874, 18.3768671 49.7902778, 18.3769763 49.7906176)",,
33884037,,,Pod Školou,residential,40,False,False,107.96100000000001,"LINESTRING (18.3820287 49.7918662, 18.3817412 49.7913103, 18.3815767 49.7909404)",,
33884037,,,Pod Školou,residential,40,False,True,75.452,"LINESTRING (18.3820287 49.7918662, 18.3823066 49.7922725, 18.3823912 49.7923973, 18.3824087 49.7924231, 18.3824266 49.7924457, 18.3824579 49.7924855)",,
33884042,,,Na Široké,residential,,False,True,234.865,"LINESTRING (18.3820287 49.7918662, 18.3799156 49.7921525, 18.3796597 49.7921955, 18.3788277 49.7923023)",,
33884042,,,Na Široké,residential,,False,False,97.012,"LINESTRING (18.3775022 49.7924725, 18.3788277 49.7923023)",,
33884036,,,U Školky,residential,,False,False,209.683,"LINESTRING (18.3775022 49.7924725, 18.3772131 49.791441, 18.3769763 49.7906176)",,
33884036,,,U Školky,residential,,False,True,69.132,"LINESTRING (18.3775022 49.7924725, 18.3776382 49.7929701, 18.3776622 49.7930446, 18.3776733 49.7930843)",,
33884036,,,U Školky,residential,,False,False,179.905,"LINESTRING (18.3769763 49.7906176, 18.3768671 49.7902778, 18.3766684 49.7895874, 18.376501 49.7890291)",,
33884036,,,U Školky,residential,,False,True,209.683,"LINESTRING (18.3769763 49.7906176, 18.3772131 49.791441, 18.3775022 49.7924725)",,
33884043,,,Kolmá,residential,,False,False,312.64300000000003,"LINESTRING (18.3769763 49.7906176, 18.3786493 49.790356, 18.3787761 49.7903317, 18.3812333 49.7900289)",,
33884037,,,Pod Školou,residential,40,False,False,102.77000000000001,"LINESTRING (18.3812333 49.7900289, 18.3810691 49.7895283, 18.3809062 49.7891294)",,
33884037,,,Pod Školou,residential,40,False,True,104.31,"LINESTRING (18.3812333 49.7900289, 18.3813798 49.7904278, 18.3815626 49.7909038, 18.3815767 49.7909404)",,
33884043,,,Kolmá,residential,,False,True,312.64300000000003,"LINESTRING (18.3812333 49.7900289, 18.3787761 49.7903317, 18.3786493 49.790356, 18.3769763 49.7906176)",,
33884037,,,Pod Školou,residential,40,False,True,102.77000000000001,"LINESTRING (18.3809062 49.7891294, 18.3810691 49.7895283, 18.3812333 49.7900289)",,
33884044,,,Krátká,residential,,False,False,221.91000000000003,"LINESTRING (18.3809062 49.7891294, 18.3783475 49.7894707, 18.3778806 49.7895382)",,
33884044,,,Krátká,residential,,False,True,221.91000000000003,"LINESTRING (18.3778806 49.7895382, 18.3783475 49.7894707, 18.3809062 49.7891294)",,
33884045,,,Slepá,residential,,False,False,173.671,"LINESTRING (18.3815767 49.7909404, 18.3792098 49.7912638)",,
33884037,,,Pod Školou,residential,40,False,False,104.31,"LINESTRING (18.3815767 49.7909404, 18.3815626 49.7909038, 18.3813798 49.7904278, 18.3812333 49.7900289)",,
33884037,,,Pod Školou,residential,40,False,True,107.96100000000001,"LINESTRING (18.3815767 49.7909404, 18.3817412 49.7913103, 18.3820287 49.7918662)",,
320926954,,,Kaštanová,residential,,False,True,8.555,"LINESTRING (18.3709165 49.7919101, 18.3708146 49.7918702)",,
33888821,,,Na Výsluní,residential,,False,False,94.015,"LINESTRING (18.3709165 49.7919101, 18.3710217 49.7919246, 18.372196 49.7920906)",,
