osmid,name,highway,oneway,reversed,length,geometry,width,ref,maxspeed,lanes,junction,tunnel
30997640,Kasárenská,residential,False,False,131.663,"LINESTRING (17.8979922 49.9413537, 17.8973862 49.9414468, 17.896595 49.9415233, 17.8964709 49.9415, 17.89636 49.9414446, 17.8962434 49.9413869)",,,50,,,
"[445032161, 394282007]",Oblouková,residential,False,False,107.73799999999999,"LINESTRING (17.8979922 49.9413537, 17.8980533 49.9414124, 17.8982667 49.9416172, 17.8985484 49.9418357, 17.8986311 49.9418998, 17.8988875 49.9420523, 17.8989515 49.9420956)",,,50,"['2', '3']",,
445032160,Kasárenská,residential,False,True,93.667,"LINESTRING (17.8979922 49.9413537, 17.8981633 49.9413125, 17.8986013 49.9412072, 17.8991508 49.9409735)",,,50,,,
30997617,Oblouková,residential,False,False,114.393,"LINESTRING (17.8999627 49.9426241, 17.9001982 49.9426794, 17.900458 49.942719, 17.9006919 49.9427306, 17.9009421 49.9427318, 17.9015361 49.9426997)",,,50,,,
30997617,Oblouková,residential,False,True,76.969,"LINESTRING (17.8999627 49.9426241, 17.8996194 49.9424716, 17.8991936 49.9422413, 17.8991193 49.9421961)",,,50,,,
30997617,Oblouková,residential,False,False,81.963,"LINESTRING (17.9023697 49.9426515, 17.9027141 49.9426451, 17.9033858 49.942736, 17.9034978 49.9427511)",,,50,,,
30997617,Oblouková,residential,False,True,59.893,"LINESTRING (17.9023697 49.9426515, 17.9016736 49.9426918, 17.9015361 49.9426997)",,,50,,,
30997617,Oblouková,residential,False,True,81.963,"LINESTRING (17.9034978 49.9427511, 17.9033858 49.942736, 17.9027141 49.9426451, 17.9023697 49.9426515)",,,50,,,
31248838,Pekařská,residential,False,False,119.916,"LINESTRING (17.9034978 49.9427511, 17.9034774 49.942626, 17.9033381 49.9417703, 17.9033305 49.9417224, 17.9033174 49.9416791)",,,,,,
30997634,U Pošty,residential,False,False,9.4,"LINESTRING (17.9028109 49.936929, 17.9029212 49.9368831)",,,,,,
30997634,U Pošty,residential,False,True,78.043,"LINESTRING (17.9038358 49.9365009, 17.9029212 49.9368831)",,,,,,
"[30997633, 167183166]","['sady Svobody', 'Masarykova třída']",residential,False,"[False, True]",175.543,"LINESTRING (17.9038358 49.9365009, 17.903699 49.936371, 17.9032625 49.9359566, 17.9030424 49.935742, 17.9021413 49.9360652)",,,,,,
30997633,Masarykova třída,residential,False,True,92.557,"LINESTRING (17.9038358 49.9365009, 17.9042011 49.9368329, 17.9043319 49.9369572, 17.9044466 49.937072, 17.9045502 49.9371939)",,,,,,
30997633,Masarykova třída,residential,False,False,92.557,"LINESTRING (17.9045502 49.9371939, 17.9044466 49.937072, 17.9043319 49.9369572, 17.9042011 49.9368329, 17.9038358 49.9365009)",,,,,,
30997633,Masarykova třída,residential,False,True,63.153999999999996,"LINESTRING (17.9045502 49.9371939, 17.9047872 49.9374518, 17.9050322 49.9376689)",,,,,,
30997635,Hrnčířská,residential,True,False,109.724,"LINESTRING (17.9045502 49.9371939, 17.9047537 49.9370806, 17.9050608 49.9369227, 17.9054323 49.9367604, 17.9057902 49.9366165)",,,,,,
30997638,Matiční,residential,False,False,91.546,"LINESTRING (17.8998402 49.9370891, 17.9004208 49.9378227)",,,,,,
30997638,Matiční,residential,False,True,21.772,"LINESTRING (17.8998402 49.9370891, 17.899689 49.9369192)",,,,,,
"[102655939, 30997636]","['sady Svobody', 'Beethovenova']",residential,True,False,200.70899999999997,"LINESTRING (17.8998402 49.9370891, 17.9007225 49.9366422, 17.9014513 49.9363205, 17.9015103 49.9362908, 17.9015792 49.9362561, 17.9021413 49.9360652)",,,,,,
30997638,Matiční,residential,False,False,21.772,"LINESTRING (17.899689 49.9369192, 17.8998402 49.9370891)",,,,,,
52565688,Rybí trh,residential,False,False,22.04,"LINESTRING (17.9005291 49.9379615, 17.9006338 49.9381479)",,,,,,
52565688,Rybí trh,residential,False,True,74.74000000000001,"LINESTRING (17.9005291 49.9379615, 17.9003556 49.9381316, 17.9002734 49.9382123, 17.9001644 49.9385778)",,,,,,
1235568243,Matiční,residential,False,True,17.271,"LINESTRING (17.9005291 49.9379615, 17.9004758 49.9378932, 17.9004208 49.9378227)",,,,,,
52565688,Rybí trh,residential,False,False,53.872,"LINESTRING (17.9000225 49.9390536, 17.9000464 49.9389735, 17.9001644 49.9385778)",,,,,,
52565688,Rybí trh,residential,False,True,53.071,"LINESTRING (17.9000225 49.9390536, 17.9000303 49.9391012, 17.9000747 49.9393711, 17.9000985 49.9394276, 17.9001495 49.9395215)",,,,,,
"[219751485, 219751484, 52566125]",Čapkova,residential,False,False,119.75300000000001,"LINESTRING (17.9000225 49.9390536, 17.8999123 49.9390517, 17.899898 49.9390515, 17.8997283 49.9390484, 17.8988858 49.9390328, 17.8988355 49.9390346, 17.8988042 49.9390318, 17.8983502 49.9390235)",,,,,,yes
52656720,Pivovarská,residential,False,True,82.89,"LINESTRING (17.8995217 49.9416797, 17.8991508 49.9409735)",,,,,,
52656720,Pivovarská,residential,False,False,82.89,"LINESTRING (17.8991508 49.9409735, 17.8995217 49.9416797)",,,,,,
52656720,Pivovarská,residential,False,True,80.73499999999999,"LINESTRING (17.8991508 49.9409735, 17.8989426 49.9405882, 17.8987034 49.9403458, 17.8986798 49.9403188)",,,,,,
