osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,access
171525603,Karlovarská,residential,False,True,39.783,"LINESTRING (12.7347838 50.3214976, 12.7350787 50.3214748, 12.7353112 50.3213959)",,,,,
"[191431232, 171525601, 171525602, 205707725]",Karlovarská,tertiary,False,"[False, True]",271.211,"LINESTRING (12.7347838 50.3214976, 12.7344998 50.3216723, 12.7340643 50.3220307, 12.733565 50.3223749, 12.7331158 50.3226891, 12.7326972 50.3230703, 12.7325158 50.3232075, 12.732339 50.3233136, 12.7322877 50.3233349)",21047,50,yes,,
205707725,Karlovarská,tertiary,False,True,240.238,"LINESTRING (12.7347838 50.3214976, 12.7351568 50.321353, 12.7378033 50.3205246)",21047,50,,,
159314983,náměstí Karla IV.,tertiary,False,True,50.591,"LINESTRING (12.7315982 50.3235883, 12.7312421 50.3231942)",21047,50,,2,
171525602,Karlovarská,tertiary,False,False,56.48,"LINESTRING (12.7315982 50.3235883, 12.7322877 50.3233349)",21047,50,,,
205707726,náměstí Karla IV.,tertiary,False,False,31.098,"LINESTRING (12.7315982 50.3235883, 12.731667 50.3236621, 12.7318223 50.3238286)",2194,50,,2,
205707726,náměstí Karla IV.,tertiary,False,True,31.098,"LINESTRING (12.7318223 50.3238286, 12.731667 50.3236621, 12.7315982 50.3235883)",2194,50,,2,
364350664,Poštovní,residential,True,False,75.68500000000002,"LINESTRING (12.7318223 50.3238286, 12.7315896 50.3239195, 12.7313607 50.3239644, 12.7310632 50.3239819, 12.7308988 50.3239915, 12.7308092 50.3239968)",,50,,,
801724419,náměstí Karla IV.,tertiary,False,False,77.113,"LINESTRING (12.7318223 50.3238286, 12.7321813 50.3242391, 12.7323936 50.3244166)",2194,50,,,
142333058,Závodu míru,tertiary,False,False,87.819,"LINESTRING (12.733914 50.3264473, 12.7337271 50.3264461, 12.7333324 50.3263883, 12.7326965 50.3263185)",2194,50,,,
"[142340565, 171525797]",,residential,False,False,115.838,"LINESTRING (12.733914 50.3264473, 12.7338597 50.3265674, 12.7338218 50.3266022, 12.7336662 50.3267251, 12.7335494 50.3268065, 12.7335934 50.3270323, 12.7341837 50.326998)",,,yes,,no
294322301,náměstí Karla IV.,tertiary,False,True,95.467,"LINESTRING (12.733914 50.3264473, 12.7340399 50.3264036, 12.7341354 50.3263327, 12.7343376 50.3261107, 12.7343449 50.3259387, 12.7342376 50.3257038)",2194,50,,,
142333058,Závodu míru,tertiary,False,True,89.806,"LINESTRING (12.7272872 50.3274144, 12.7277769 50.3271598, 12.7278319 50.3271312, 12.7282484 50.3270037, 12.7283413 50.3269789)",2194,50,,,
498178438,,residential,False,False,127.80199999999999,"LINESTRING (12.7272872 50.3274144, 12.7277105 50.3277217, 12.7277932 50.3277358, 12.7278815 50.327727, 12.7279725 50.3276883, 12.7280662 50.3276284, 12.7282207 50.3275193, 12.7285137 50.3272512)",,,,,
159314983,náměstí Karla IV.,tertiary,False,False,50.591,"LINESTRING (12.7312421 50.3231942, 12.7315982 50.3235883)",21047,50,,2,
159314983,náměstí Karla IV.,tertiary,False,True,131.758,"LINESTRING (12.7312421 50.3231942, 12.7310965 50.3229664, 12.7309642 50.3226857, 12.7309372 50.3224888, 12.7309802 50.3221853, 12.7310644 50.3220524)",21047,50,,2,
27835053,Nádražní,tertiary,False,False,137.90200000000002,"LINESTRING (12.7310644 50.3220524, 12.7310952 50.321992, 12.7311281 50.3219276, 12.7311695 50.3217737, 12.7311586 50.3216278, 12.7311095 50.321407, 12.7310973 50.3213116, 12.7310743 50.3211398, 12.7310401 50.320825)",21047,50,,,
159314983,náměstí Karla IV.,tertiary,False,False,131.758,"LINESTRING (12.7310644 50.3220524, 12.7309802 50.3221853, 12.7309372 50.3224888, 12.7309642 50.3226857, 12.7310965 50.3229664, 12.7312421 50.3231942)",21047,50,,2,
26331355,Rooseveltova,tertiary,False,False,58.021,"LINESTRING (12.7302508 50.3209301, 12.7303973 50.3208848, 12.7306426 50.3208369, 12.7310401 50.320825)",21047,50,,2,
