osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction,access
46982273,57,H. Synkové,primary,50,False,False,27.662,"LINESTRING (18.0225148 49.0913209, 18.0224782 49.0913911, 18.0224548 49.0914518, 18.0224347 49.0915103, 18.0224215 49.0915616)",,,
46982273,57,H. Synkové,primary,50,False,True,55.251000000000005,"LINESTRING (18.0225148 49.0913209, 18.0225896 49.0911977, 18.0226742 49.0910785, 18.0228272 49.0908683)",,,
602971465,,H. Synkové,residential,,False,True,13.902000000000001,"LINESTRING (18.0225148 49.0913209, 18.0224436 49.091309, 18.0223332 49.0912828)",,,
36979873,,,residential,,False,False,16.145,"LINESTRING (18.0241416 49.0871092, 18.0242055 49.0871167, 18.0243598 49.0871349)",,,
174751436,57,1. května,primary,50,False,False,202.942,"LINESTRING (18.0241416 49.0871092, 18.0239103 49.0880347, 18.0238114 49.0883973, 18.0237354 49.0886138, 18.0236154 49.0889)",,,
36979911,,H. Synkové,residential,30,False,True,142.381,"LINESTRING (18.0225139 49.0917717, 18.0230694 49.0916873, 18.0231364 49.0916724, 18.0231594 49.0916256, 18.02303 49.0910532, 18.0230256 49.0910338, 18.0230002 49.0909913, 18.022963 49.0909574, 18.0228272 49.0908683)",,,
395010887,50736,Jos. Polácha,tertiary,50,False,True,110.16299999999998,"LINESTRING (18.0241416 49.0920358, 18.0240951 49.0920288, 18.0240685 49.0920271, 18.0240425 49.0920279, 18.0240044 49.0920327, 18.0239386 49.0920451, 18.0232722 49.0921851, 18.0231138 49.0922214, 18.0229647 49.0922576, 18.0228353 49.0922895, 18.0227053 49.0923239)",,,
416902373,50736,Jos. Polácha,tertiary,50,False,False,14.693000000000001,"LINESTRING (18.0241416 49.0920358, 18.0241868 49.0920464, 18.024229 49.0920591, 18.0242688 49.0920733, 18.02432 49.0920962)",,,
28291825,,Družba,residential,,False,False,34.804,"LINESTRING (18.0221965 49.0873754, 18.0220991 49.0874279, 18.0218213 49.0874279, 18.0217523 49.0874104)",,,
28291824,,Školní,residential,,False,False,175.581,"LINESTRING (18.0217523 49.0874104, 18.0219813 49.0889823)",,,
28291825,,Družba,residential,,False,True,34.804,"LINESTRING (18.0217523 49.0874104, 18.0218213 49.0874279, 18.0220991 49.0874279, 18.0221965 49.0873754)",,,
28291824,,Školní,residential,,False,False,51.13,"LINESTRING (18.0219813 49.0889823, 18.0220281 49.0894411)",,,
