osmid,lanes,ref,name,highway,oneway,reversed,length,maxspeed,geometry,bridge
324087680,2,9,Rumburská,primary,False,False,22.749,,"LINESTRING (14.4488762 50.4082793, 14.44915 50.4083861)",
"[263974225, 236374209, 43138255]",,,Pod Kostelíčkem,residential,False,"[False, True]",183.74400000000003,15,"LINESTRING (14.4488762 50.4082793, 14.4488041 50.4081993, 14.448654 50.408123, 14.4484941 50.4080585, 14.448256 50.4079519, 14.4478703 50.4078029, 14.4476422 50.4076765, 14.4474993 50.407581, 14.4473826 50.4074592, 14.4472226 50.4073156, 14.4472176 50.4071856, 14.447221 50.4071148)",
"[640938395, 38028887]",2,9,Rumburská,primary,False,True,138.71099999999998,30,"LINESTRING (14.4488762 50.4082793, 14.4485223 50.408208, 14.4478974 50.408087, 14.4476196 50.4080295, 14.4471358 50.4078896, 14.4470366 50.4078597)",
"[38028902, 316690967]",2,261,Litoměřická,secondary,False,True,386.626,90,"LINESTRING (14.4454042 50.4098393, 14.4448308 50.4099529, 14.4434761 50.4101672, 14.443134 50.4103355, 14.4428841 50.4105142, 14.4426408 50.4107279, 14.4422562 50.4110728, 14.4415766 50.4116557, 14.4412928 50.4118651)",
"[135206933, 233599389, 987791701, 987791702]",2,261,"['Litoměřická', 'nám. V. Levého']",secondary,False,"[False, True]",200.528,50,"LINESTRING (14.4454042 50.4098393, 14.4454986 50.4097999, 14.4456085 50.409745, 14.445873 50.409611, 14.44614 50.409434, 14.446247 50.409328, 14.446376 50.409123, 14.4466158 50.4086807, 14.446672 50.4085564, 14.4466849 50.4085278, 14.4467481 50.4083241)",yes
38028887,2,9,Rumburská,primary,False,False,10.719,30,"LINESTRING (14.4469013 50.4078166, 14.4470366 50.4078597)",
233599389,2,,nám. V. Levého,secondary,False,False,57.469,50,"LINESTRING (14.4469013 50.4078166, 14.4468351 50.4080243, 14.4467481 50.4083241)",
263974498,2,9,nám. V. Levého,primary,False,True,48.248000000000005,30,"LINESTRING (14.4469013 50.4078166, 14.4466036 50.4077119, 14.4465387 50.4076756, 14.4464962 50.4076287, 14.4464533 50.4075242)",
324087680,2,9,Rumburská,primary,False,True,152.269,,"LINESTRING (14.4530245 50.4092707, 14.4527705 50.409212, 14.4523177 50.4091434, 14.4516257 50.4090648, 14.4509322 50.4089672)",
"[38028902, 316690967]",2,261,Litoměřická,secondary,False,False,386.62600000000003,90,"LINESTRING (14.4412928 50.4118651, 14.4415766 50.4116557, 14.4422562 50.4110728, 14.4426408 50.4107279, 14.4428841 50.4105142, 14.443134 50.4103355, 14.4434761 50.4101672, 14.4448308 50.4099529, 14.4454042 50.4098393)",
38103936,,,Pod Kostelíčkem,residential,False,False,104.992,,"LINESTRING (14.4509322 50.4089672, 14.4512254 50.4087143, 14.4516991 50.4081616)",
324087680,2,9,Rumburská,primary,False,False,152.269,,"LINESTRING (14.4509322 50.4089672, 14.4516257 50.4090648, 14.4523177 50.4091434, 14.4527705 50.409212, 14.4530245 50.4092707)",
324087680,2,9,Rumburská,primary,False,True,143.322,,"LINESTRING (14.4509322 50.4089672, 14.4507538 50.4089332, 14.4503677 50.4088596, 14.4500459 50.4087742, 14.4497857 50.4086802, 14.44915 50.4083861)",
"[38103936, 263974225, 402338268]",,,Pod Kostelíčkem,residential,False,False,399.99999999999994,,"LINESTRING (14.4516991 50.4081616, 14.4517161 50.408093, 14.4516452 50.4080027, 14.4511463 50.407691, 14.4502788 50.4073016, 14.449999 50.4071789, 14.449705 50.4069689, 14.4496254 50.4069166, 14.449122 50.4068378, 14.4486535 50.406804, 14.4482994 50.4067788, 14.4477251 50.4067316, 14.4475698 50.406793, 14.447221 50.4071148)",
38103936,,,Pod Kostelíčkem,residential,False,True,104.992,,"LINESTRING (14.4516991 50.4081616, 14.4512254 50.4087143, 14.4509322 50.4089672)",
43138257,,,Pod Kostelíčkem,residential,False,False,139.38099999999997,,"LINESTRING (14.4516991 50.4081616, 14.4525938 50.4082582, 14.4530753 50.4082631, 14.4532384 50.4083077, 14.4532778 50.4083817, 14.4532614 50.408468, 14.4531999 50.4085491)",
43138256,,,,residential,False,False,39.473,,"LINESTRING (14.447221 50.4071148, 14.4467511 50.4069242)",
"[263974225, 236374209, 43138255]",,,Pod Kostelíčkem,residential,False,"[False, True]",183.74399999999997,15,"LINESTRING (14.447221 50.4071148, 14.4472176 50.4071856, 14.4472226 50.4073156, 14.4473826 50.4074592, 14.4474993 50.407581, 14.4476422 50.4076765, 14.4478703 50.4078029, 14.448256 50.4079519, 14.4484941 50.4080585, 14.448654 50.408123, 14.4488041 50.4081993, 14.4488762 50.4082793)",
"[38103936, 263974225, 402338268]",,,Pod Kostelíčkem,residential,False,True,400.0,,"LINESTRING (14.447221 50.4071148, 14.4475698 50.406793, 14.4477251 50.4067316, 14.4482994 50.4067788, 14.4486535 50.406804, 14.449122 50.4068378, 14.4496254 50.4069166, 14.449705 50.4069689, 14.449999 50.4071789, 14.4502788 50.4073016, 14.4511463 50.407691, 14.4516452 50.4080027, 14.4517161 50.408093, 14.4516991 50.4081616)",
43138256,,,,residential,False,True,39.473,,"LINESTRING (14.4467511 50.4069242, 14.447221 50.4071148)",
316690969,2,9,Pražská,primary,False,False,72.06099999999999,30,"LINESTRING (14.4467511 50.4069242, 14.4465033 50.4072023, 14.4464555 50.4072979, 14.4464332 50.4074214, 14.4464533 50.4075242)",
43138254,,,,residential,False,False,169.67399999999998,,"LINESTRING (14.44872 50.4073826, 14.4491017 50.407451, 14.4497538 50.4076943, 14.4497337 50.4077158, 14.44915 50.4083861)",
324087680,2,9,Rumburská,primary,False,True,22.749,,"LINESTRING (14.44915 50.4083861, 14.4488762 50.4082793)",
43138254,,,,residential,False,True,169.67399999999998,,"LINESTRING (14.44915 50.4083861, 14.4497337 50.4077158, 14.4497538 50.4076943, 14.4491017 50.407451, 14.44872 50.4073826)",
324087680,2,9,Rumburská,primary,False,False,143.322,,"LINESTRING (14.44915 50.4083861, 14.4497857 50.4086802, 14.4500459 50.4087742, 14.4503677 50.4088596, 14.4507538 50.4089332, 14.4509322 50.4089672)",
263974498,2,9,nám. V. Levého,primary,False,False,48.248000000000005,30,"LINESTRING (14.4464533 50.4075242, 14.4464962 50.4076287, 14.4465387 50.4076756, 14.4466036 50.4077119, 14.4469013 50.4078166)",
263974499,,,nám. V. Levého,residential,False,True,62.291000000000004,,"LINESTRING (14.4464533 50.4075242, 14.4465651 50.4075961, 14.4467627 50.4076557, 14.4468821 50.4076927, 14.4470672 50.4077771, 14.4470745 50.4078224, 14.4470366 50.4078597)",
316690969,2,9,Pražská,primary,False,True,72.06099999999999,30,"LINESTRING (14.4464533 50.4075242, 14.4464332 50.4074214, 14.4464555 50.4072979, 14.4465033 50.4072023, 14.4467511 50.4069242)",
38028887,2,9,Rumburská,primary,False,True,10.719,30,"LINESTRING (14.4470366 50.4078597, 14.4469013 50.4078166)",
"[640938395, 38028887]",2,9,Rumburská,primary,False,False,138.711,30,"LINESTRING (14.4470366 50.4078597, 14.4471358 50.4078896, 14.4476196 50.4080295, 14.4478974 50.408087, 14.4485223 50.408208, 14.4488762 50.4082793)",
263974499,,,nám. V. Levého,residential,False,False,62.291,,"LINESTRING (14.4470366 50.4078597, 14.4470745 50.4078224, 14.4470672 50.4077771, 14.4468821 50.4076927, 14.4467627 50.4076557, 14.4465651 50.4075961, 14.4464533 50.4075242)",
"[135206933, 987791701, 233599389, 987791702]",2,261,"['Litoměřická', 'nám. V. Levého']",secondary,False,"[False, True]",200.528,50,"LINESTRING (14.4467481 50.4083241, 14.4466849 50.4085278, 14.446672 50.4085564, 14.4466158 50.4086807, 14.446376 50.409123, 14.446247 50.409328, 14.44614 50.409434, 14.445873 50.409611, 14.4456085 50.409745, 14.4454986 50.4097999, 14.4454042 50.4098393)",yes
233599389,2,,nám. V. Levého,secondary,False,True,57.469,50,"LINESTRING (14.4467481 50.4083241, 14.4468351 50.4080243, 14.4469013 50.4078166)",
263974270,,,U Strouhy,residential,False,False,167.119,,"LINESTRING (14.4467481 50.4083241, 14.4468027 50.408348, 14.4470349 50.4083044, 14.4472509 50.4082912, 14.4475206 50.408368, 14.4475999 50.4084688, 14.4478202 50.4085374, 14.4480249 50.4087206, 14.4485917 50.4090457)",
263974270,,,U Strouhy,residential,False,True,167.119,,"LINESTRING (14.4485917 50.4090457, 14.4480249 50.4087206, 14.4478202 50.4085374, 14.4475999 50.4084688, 14.4475206 50.408368, 14.4472509 50.4082912, 14.4470349 50.4083044, 14.4468027 50.408348, 14.4467481 50.4083241)",
43138257,,,Pod Kostelíčkem,residential,False,True,139.381,,"LINESTRING (14.4531999 50.4085491, 14.4532614 50.408468, 14.4532778 50.4083817, 14.4532384 50.4083077, 14.4530753 50.4082631, 14.4525938 50.4082582, 14.4516991 50.4081616)",
