osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,bridge,junction
321983625,Malinová,residential,False,True,10.033,,,"LINESTRING (15.385533 49.908229, 15.3855065 49.9081404)",,,
230690335,Žacká,secondary,False,False,147.93200000000002,338,50,"LINESTRING (15.385533 49.908229, 15.3856359 49.9082439, 15.3857397 49.908268, 15.3858677 49.9083103, 15.3859528 49.9083466, 15.386055 49.9084057, 15.3862235 49.9085356, 15.3866506 49.9088648, 15.3868522 49.909018, 15.386919 49.909072, 15.3869775 49.9091385)",,,
27188704,Dusíkova,residential,False,False,166.249,,50,"LINESTRING (15.394304 49.9111555, 15.3941998 49.9110929, 15.3938305 49.9109042, 15.393529 49.9107551, 15.3935008 49.9107411, 15.3925709 49.9102401, 15.3925601 49.9102338, 15.3925089 49.910208)",,,
27188704,Dusíkova,residential,False,True,128.635,,50,"LINESTRING (15.394304 49.9111555, 15.3944231 49.9112387, 15.3953625 49.9118326, 15.3955911 49.9119619)",,,
27259597,Masarykova,secondary,False,False,241.803,337,50,"LINESTRING (15.394304 49.9111555, 15.3941377 49.9112636, 15.3939365 49.9114064, 15.392965 49.9121465, 15.392069 49.9127849)",,,
27259597,Masarykova,secondary,False,True,100.695,337,50,"LINESTRING (15.394304 49.9111555, 15.3944496 49.9110439, 15.394484 49.9110141, 15.39471 49.910791, 15.3947835 49.9107131, 15.3948631 49.9106315, 15.3949829 49.9105133, 15.3950907 49.9104062)",,,
27189191,Koželuhy,residential,False,False,90.78799999999998,,50,"LINESTRING (15.3880694 49.912984, 15.3878921 49.9128706, 15.3878435 49.9128325, 15.3877486 49.9127477, 15.3876889 49.9126926, 15.3876516 49.9126655, 15.3875928 49.9126312, 15.3875122 49.9125945, 15.3874414 49.9125736, 15.3873762 49.912562, 15.3872926 49.9125612, 15.3872161 49.9125703, 15.3870908 49.9126001)",,,
556458833,Tylova,secondary,False,False,208.289,337,50,"LINESTRING (15.3880694 49.912984, 15.38796 49.912859, 15.387657 49.912492, 15.387235 49.911972, 15.3871292 49.9118165, 15.3870322 49.9116569, 15.3869074 49.9114183, 15.386868 49.911351, 15.3868287 49.9112939)",,,
556458833,Tylova,secondary,False,True,42.721000000000004,337,50,"LINESTRING (15.3880694 49.912984, 15.3883753 49.9132706, 15.3884074 49.9133006)",,,
536157513,Chrudimská,secondary,True,False,43.265,337,50,"LINESTRING (15.3973881 49.9111103, 15.397187 49.9110731, 15.3971051 49.9110541, 15.3969985 49.9110225, 15.396973 49.9110149, 15.396922 49.9110057, 15.3968669 49.9109989, 15.3968135 49.9109988)",1,,
