osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,bridge
9581325,285,Národní,secondary,False,False,94.05300000000001,"LINESTRING (15.9128653 50.3568877, 15.913584 50.3568725, 15.9137598 50.3568653, 15.913912 50.3568486, 15.9140503 50.3568203, 15.9141687 50.3567848)",,,,
28609429,,Národní,residential,False,True,71.357,"LINESTRING (15.9128653 50.3568877, 15.9129238 50.3572002, 15.9129183 50.3573161, 15.9128511 50.3573532, 15.9127812 50.3573666, 15.9126164 50.3573428)",,,,
192323723,,Na Obci,residential,False,False,71.063,"LINESTRING (15.9136385 50.3519592, 15.913753 50.3519358, 15.9138383 50.3519071, 15.913919 50.3518702, 15.9140568 50.3517872, 15.914215 50.3516694, 15.91433 50.3516054, 15.9144184 50.351575)",,,,
918817123,33,Husova,primary,False,True,181.407,"LINESTRING (15.9136385 50.3519592, 15.9137763 50.3531972, 15.9138158 50.3535867)",2,50,,
9580967,33,,primary,True,False,21.696,"LINESTRING (15.9149612 50.3562546, 15.9149239 50.3562325, 15.9148983 50.3562043, 15.9148866 50.3561727, 15.9148899 50.3561402, 15.9149078 50.3561098, 15.9149387 50.3560839)",,50,roundabout,
9581325,285,Národní,secondary,False,True,81.924,"LINESTRING (15.9149612 50.3562546, 15.9148981 50.356302, 15.9144454 50.3566415, 15.9144196 50.3566609, 15.9143561 50.3567022, 15.9142622 50.3567484, 15.9141687 50.3567848)",,,,
9580967,33,,primary,True,False,17.664,"LINESTRING (15.9149387 50.3560839, 15.9149791 50.3560653, 15.9150261 50.3560548, 15.9150758 50.3560531, 15.9151242 50.3560606, 15.9151673 50.3560765)",,50,roundabout,
"[695663210, 695663213, 23030103]",33,Husova,primary,False,False,114.89399999999999,"LINESTRING (15.9149387 50.3560839, 15.9148927 50.3560503, 15.9147692 50.3559603, 15.914582 50.355813, 15.9144052 50.3556015, 15.9142717 50.355429, 15.914183 50.355285, 15.914143 50.355196)",2,50,,
799457353,33,Na Valech,primary,False,False,47.777,"LINESTRING (15.9229208 50.3568394, 15.9235842 50.3567654)",2,50,,
799457353,33,Na Valech,primary,False,True,252.964,"LINESTRING (15.9229208 50.3568394, 15.9228258 50.3568473, 15.9225455 50.3568602, 15.9220819 50.3568643, 15.9214662 50.3568636, 15.9213023 50.35686, 15.920765 50.3568532, 15.9201 50.3568416, 15.9193576 50.3568241)",2,50,,
"[934186211, 934186212, 934186214, 934186215]",,Na Valech,residential,False,False,262.614,"LINESTRING (15.9229208 50.3568394, 15.9228171 50.3567852, 15.9226352 50.3567244, 15.9225167 50.3566928, 15.921873 50.3565773, 15.9215825 50.3565343, 15.9213284 50.3564953, 15.9205542 50.3563403, 15.9204019 50.3563099, 15.9202527 50.3562869, 15.9201604 50.3562727, 15.9198793 50.3562452, 15.9194857 50.3562347, 15.9193779 50.3562318)",,50,,
918817123,33,Husova,primary,False,False,181.407,"LINESTRING (15.9138158 50.3535867, 15.9137763 50.3531972, 15.9136385 50.3519592)",2,50,,
918817123,33,Husova,primary,False,True,180.87599999999998,"LINESTRING (15.9138158 50.3535867, 15.9138252 50.3536678, 15.913889 50.35422, 15.9139726 50.3547214, 15.914063 50.355021, 15.9141333 50.3551748, 15.914143 50.355196)",2,50,,
28609438,,Husova,residential,True,False,125.80000000000001,"LINESTRING (15.914143 50.355196, 15.9144775 50.3554048, 15.9148038 50.3556297, 15.9149996 50.3557004, 15.9152014 50.355737, 15.9155912 50.3557472)",,,,
"[695663210, 695663213, 23030103]",33,Husova,primary,False,True,114.894,"LINESTRING (15.914143 50.355196, 15.914183 50.355285, 15.9142717 50.355429, 15.9144052 50.3556015, 15.914582 50.355813, 15.9147692 50.3559603, 15.9148927 50.3560503, 15.9149387 50.3560839)",2,50,,
918817123,33,Husova,primary,False,False,180.876,"LINESTRING (15.914143 50.355196, 15.9141333 50.3551748, 15.914063 50.355021, 15.9139726 50.3547214, 15.913889 50.35422, 15.9138252 50.3536678, 15.9138158 50.3535867)",2,50,,
28609428,,Na Vinicích,residential,False,False,17.697,"LINESTRING (15.9141687 50.3567848, 15.9141547 50.3569437)",,,,
9581325,285,Národní,secondary,False,False,81.924,"LINESTRING (15.9141687 50.3567848, 15.9142622 50.3567484, 15.9143561 50.3567022, 15.9144196 50.3566609, 15.9144454 50.3566415, 15.9148981 50.356302, 15.9149612 50.3562546)",,,,
9581325,285,Národní,secondary,False,True,94.053,"LINESTRING (15.9141687 50.3567848, 15.9140503 50.3568203, 15.913912 50.3568486, 15.9137598 50.3568653, 15.913584 50.3568725, 15.9128653 50.3568877)",,,,
28609432,,Labská,residential,False,True,75.632,"LINESTRING (15.9141687 50.3567848, 15.9141669 50.3566463, 15.9141741 50.3565664, 15.9142421 50.3561068)",,20,,
9580967,33,,primary,True,False,20.265,"LINESTRING (15.9151673 50.3560765, 15.9152057 50.3561035, 15.9152282 50.356137, 15.9152325 50.3561733, 15.9152182 50.3562086, 15.9151866 50.356239)",,50,roundabout,
