osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,bridge,lanes,width,access
33463164,Zahradní,residential,False,True,184.47200000000004,"LINESTRING (16.255058 49.5259235, 16.2551938 49.5260301, 16.255517 49.5262112, 16.2555975 49.5262512, 16.2557133 49.5262841, 16.2559423 49.526286, 16.2561833 49.5262899, 16.2570979 49.5264925, 16.2573465 49.5265172)",,,,,,
179420721,Novoměstská,secondary,False,True,138.498,"LINESTRING (16.255058 49.5259235, 16.2553472 49.525845, 16.2559511 49.5256961, 16.2568145 49.5254246)",357,50,,,,
1196803621,Kulturní,residential,False,False,114.79599999999999,"LINESTRING (16.255058 49.5259235, 16.2549418 49.5258447, 16.2548797 49.5257579, 16.2548071 49.5256564, 16.2546341 49.5253988, 16.2544662 49.5252116, 16.2544417 49.5251883, 16.2542743 49.5250326)",,50,,,,
"[9587026, 184067085]",Pod Horou,secondary,False,True,228.46499999999997,"LINESTRING (16.2666413 49.5213299, 16.2663548 49.5211683, 16.2663152 49.5211415, 16.2662715 49.5211119, 16.2661818 49.5210511, 16.2658823 49.5208141, 16.2657705 49.5207055, 16.2647699 49.5196861)",388,50,,,,
"[348002881, 179419226]",Na Příkopech,residential,False,True,33.141999999999996,"LINESTRING (16.2666413 49.5213299, 16.2665271 49.5214414, 16.2663312 49.5215452)",,,yes,,,
33463181,Na Skřipci,living_street,False,False,371.533,"LINESTRING (16.2591269 49.5185038, 16.2592294 49.5190366, 16.259394 49.5196965, 16.2594043 49.5197406, 16.2594242 49.5198923, 16.2594616 49.5200446, 16.2595125 49.5202514, 16.2595351 49.5203636, 16.2595717 49.5204347, 16.260851 49.5209393, 16.2608092 49.5211475, 16.260603 49.5213034)",,,,,,
9587026,Pod Horou,secondary,False,False,138.78799999999998,"LINESTRING (16.2637464 49.5186295, 16.2638986 49.5187875, 16.2647512 49.5196668, 16.2647699 49.5196861)",388,50,,,,
33463199,Višňová,residential,False,True,130.59900000000002,"LINESTRING (16.2637464 49.5186295, 16.263557 49.5187949, 16.2630687 49.5192398, 16.2630111 49.5192797, 16.2628498 49.5193402, 16.2624719 49.5193642)",,,,,,
199194756,Masarykovo náměstí,secondary,False,False,53.126000000000005,"LINESTRING (16.2581023 49.5248497, 16.2577965 49.5249909, 16.2575037 49.5251277)",357,30,,,,
199194756,Masarykovo náměstí,secondary,False,True,176.355,"LINESTRING (16.2581023 49.5248497, 16.2582394 49.5247899, 16.258369 49.5247225, 16.2590153 49.5243266, 16.2594642 49.5240115, 16.2597824 49.5237106)",357,30,,,,
1149853956,Ant. Štourače,residential,False,True,30.139,"LINESTRING (16.2651507 49.5256427, 16.2650489 49.5255051, 16.2649293 49.5254157)",,,,,,
