osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed,access
28765792,Lidická,residential,False,False,64.487,,"LINESTRING (16.0446807 50.3937716, 16.0453933 50.3941321)",,,
232638294,Zelená,secondary,False,False,60.456,304,"LINESTRING (16.0446807 50.3937716, 16.044097 50.3933752)",,,
28765798,Sportovní,residential,False,True,123.422,,"LINESTRING (16.0446807 50.3937716, 16.0447061 50.3930019, 16.0448412 50.3926729)",,,
"[475276321, 59849189]",Husovo náměstí,secondary,False,True,111.193,304,"LINESTRING (16.0446807 50.3937716, 16.0445204 50.3943352, 16.0445161 50.3943486, 16.0444765 50.3944729, 16.0444199 50.3947573)",,,
"[28765785, 28765786]",Podskalní,residential,False,True,269.44199999999995,,"LINESTRING (16.0391687 50.3953645, 16.0392692 50.3954337, 16.0392382 50.3956345, 16.0393553 50.3959014, 16.0396966 50.3961085, 16.039961 50.3961839, 16.0405613 50.3961902, 16.0409765 50.3961695, 16.0412466 50.3961248, 16.0413259 50.3960749, 16.0412932 50.3956076)",,,
56066810,E. Beneše,secondary,False,False,27.394,304,"LINESTRING (16.0391687 50.3953645, 16.0389737 50.3953793, 16.0387843 50.395369)",,,
"[76715744, 9587275, 987977725]","['E. Beneše', 'Husovo náměstí']",secondary,False,True,400.4269999999999,304,"LINESTRING (16.0391687 50.3953645, 16.0392793 50.3953217, 16.0395489 50.3952208, 16.0399567 50.3950857, 16.0407517 50.3948205, 16.0412027 50.3946517, 16.041474 50.3945881, 16.0415424 50.3945775, 16.0416098 50.3945698, 16.0417074 50.3945638, 16.0418094 50.3945575, 16.0420393 50.3945612, 16.0422426 50.3945802, 16.0425449 50.3946237, 16.0428626 50.394684, 16.0428813 50.3946881, 16.0430196 50.394726, 16.0431545 50.3947622, 16.0434818 50.3948481, 16.0435331 50.3948616, 16.0436517 50.3948929, 16.0439036 50.3949572, 16.0441094 50.3950091, 16.0443648 50.3950734)",,,
28765772,Křenkova,residential,False,False,124.607,,"LINESTRING (16.0429673 50.391231, 16.0415852 50.390889, 16.0413179 50.3908474)",,,
232638294,Zelená,secondary,False,True,131.768,304,"LINESTRING (16.0429673 50.391231, 16.0431956 50.3917856, 16.0434636 50.3921333, 16.0436375 50.3923282)",,,
9587280,Husovo náměstí,secondary,False,False,35.365,304,"LINESTRING (16.0443648 50.3950734, 16.0444199 50.3947573)",,,
