osmid,oneway,lanes,ref,highway,maxspeed,width,reversed,length,geometry,junction
890793823,True,1,268,secondary,50,5,False,39.694,"LINESTRING (14.8030713 50.586529, 14.8033459 50.5863684, 14.8034113 50.5863323, 14.8034448 50.5863102, 14.8034602 50.5862953, 14.8034687 50.5862798)",
"[971185682, 971185683, 971185684, 971185678]",False,2,268,secondary,50,7,True,424.5850000000001,"LINESTRING (14.8030713 50.586529, 14.8029399 50.5865937, 14.8028159 50.5866589, 14.8026585 50.5867534, 14.8025644 50.5868164, 14.8024504 50.5868973, 14.8021631 50.5871147, 14.801833 50.5873633, 14.8012887 50.5877665, 14.799509 50.5891095, 14.7993957 50.5891938, 14.7993123 50.589256, 14.7992097 50.5893334, 14.7991151 50.589399)",
32893028,False,,,residential,,,False,110.406,"LINESTRING (14.8062551 50.584177, 14.80515 50.5848795)",
"[970972456, 32893027]",False,2,,residential,,7,True,115.411,"LINESTRING (14.8062551 50.584177, 14.8064411 50.5842365, 14.8068011 50.5845284, 14.8071996 50.584868, 14.807235 50.5848981, 14.8073035 50.5849578)",
"[1180768633, 32893028, 32893037]",False,,,residential,,,True,933.826,"LINESTRING (14.8062551 50.584177, 14.8069202 50.5837207, 14.8069898 50.5836747, 14.8070517 50.5836244, 14.8071051 50.5835704, 14.8071576 50.583497, 14.8071798 50.5834448, 14.807206 50.5833771, 14.8072285 50.5832361, 14.8072423 50.5830455, 14.807249 50.5820923, 14.8072797 50.5819542, 14.8073279 50.5818182, 14.8076121 50.5812959, 14.8077527 50.5810375, 14.8073279 50.5811726, 14.8055313 50.5819624, 14.805107 50.582149, 14.8050463 50.5821744, 14.8011948 50.5837825)",
32893044,False,,,residential,,,False,108.405,"LINESTRING (14.8062551 50.584177, 14.8061701 50.5841581, 14.8059439 50.5840533, 14.805091 50.5835491)",
32893028,False,,,residential,,,True,110.406,"LINESTRING (14.80515 50.5848795, 14.8062551 50.584177)",
"[970990163, 32893028]",False,2,,residential,,6,False,172.93400000000005,"LINESTRING (14.80515 50.5848795, 14.8049958 50.5850035, 14.8045014 50.585276, 14.8040041 50.5855502, 14.8039135 50.5855963, 14.8038067 50.5856604, 14.8037326 50.5856975, 14.8036735 50.5857196, 14.8036232 50.5857363, 14.8035353 50.5857584, 14.8033539 50.5857962, 14.8032415 50.5858211)",
32893040,False,,,residential,,,False,90.865,"LINESTRING (14.80515 50.5848795, 14.8043857 50.5845267, 14.8041736 50.5846971)",
"[32893049, 970990161, 970990162]",False,2,,residential,,5.5,False,168.77599999999998,"LINESTRING (14.8032415 50.5858211, 14.8027997 50.5859183, 14.8026312 50.5859552, 14.8025227 50.5859789, 14.8023867 50.5860083, 14.8022742 50.5860471, 14.8020547 50.5861106, 14.8016068 50.5862203, 14.8012473 50.5863319, 14.8010408 50.5864056)",
"[970990163, 32893028]",False,2,,residential,,6,True,172.93400000000003,"LINESTRING (14.8032415 50.5858211, 14.8033539 50.5857962, 14.8035353 50.5857584, 14.8036232 50.5857363, 14.8036735 50.5857196, 14.8037326 50.5856975, 14.8038067 50.5856604, 14.8039135 50.5855963, 14.8040041 50.5855502, 14.8045014 50.585276, 14.8049958 50.5850035, 14.80515 50.5848795)",
"[970990187, 970990182]",False,2,27235,tertiary,50,,False,150.124,"LINESTRING (14.8032415 50.5858211, 14.8031609 50.585728, 14.8030755 50.5856293, 14.8021014 50.5846821)",
970990185,True,,27235,tertiary,50,5,False,49.71999999999999,"LINESTRING (14.8032415 50.5858211, 14.8034054 50.5859713, 14.8034648 50.5860324, 14.803538 50.5861079, 14.8035756 50.5861411, 14.8036071 50.5861603, 14.8036307 50.5861697, 14.8036563 50.5861766)",
426855152,False,,,residential,,,False,68.981,"LINESTRING (14.8021014 50.5846821, 14.8012717 50.5850097)",
14858944,False,,27235,tertiary,50,,False,107.07,"LINESTRING (14.8021014 50.5846821, 14.8020529 50.5846338, 14.8012868 50.5838699)",
"[970990187, 970990182]",False,2,27235,tertiary,50,,True,150.124,"LINESTRING (14.8021014 50.5846821, 14.8030755 50.5856293, 14.8031609 50.585728, 14.8032415 50.5858211)",
32893033,False,,,residential,,,False,8.11,"LINESTRING (14.8012717 50.5850097, 14.8011983 50.5849536)",
426855152,False,,,residential,,,True,68.981,"LINESTRING (14.8012717 50.5850097, 14.8021014 50.5846821)",
32893032,False,,,residential,,,False,41.554,"LINESTRING (14.8012717 50.5850097, 14.8010363 50.5851173, 14.8007941 50.5852281)",
32893032,False,,,residential,,,True,41.554,"LINESTRING (14.8007941 50.5852281, 14.8010363 50.5851173, 14.8012717 50.5850097)",
32893033,False,,,residential,,,False,92.934,"LINESTRING (14.8008064 50.5848081, 14.8003104 50.5848324, 14.7995352 50.5848688, 14.7994938 50.5848708)",
32893033,False,,,residential,,,True,34.159,"LINESTRING (14.8008064 50.5848081, 14.8009584 50.5848117, 14.801073 50.584858, 14.8011983 50.5849536)",
32907023,True,,,residential,,,False,121.95,"LINESTRING (14.8008064 50.5848081, 14.8007661 50.5844377, 14.8007297 50.5842465, 14.8007726 50.5840185, 14.8007961 50.5839858, 14.8009206 50.5839388, 14.8011892 50.5838982)",
32893033,False,,,residential,,,True,54.49,"LINESTRING (14.7987241 50.5849069, 14.7994938 50.5848708)",
"[32893033, 426855154]",False,,,residential,,,False,141.393,"LINESTRING (14.7987241 50.5849069, 14.7985361 50.5849154, 14.7981548 50.5849331, 14.7980475 50.5840265)",
331897678,False,,,residential,,,True,42.521,"LINESTRING (14.7980475 50.5840265, 14.7986483 50.5839999)",
"[32893035, 331897676]",True,,,residential,,,False,67.336,"LINESTRING (14.7980475 50.5840265, 14.7978244 50.5840067, 14.7977643 50.5836511, 14.7977726 50.5835819, 14.7977971 50.58355)",
"[32893033, 426855154]",False,,,residential,,,True,141.39299999999997,"LINESTRING (14.7980475 50.5840265, 14.7981548 50.5849331, 14.7985361 50.5849154, 14.7987241 50.5849069)",
331897678,False,,,residential,,,False,42.521,"LINESTRING (14.7986483 50.5839999, 14.7980475 50.5840265)",
32893034,True,,,residential,,,False,100.996,"LINESTRING (14.7986483 50.5839999, 14.7987153 50.5848023, 14.7987241 50.5849069)",
