osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,junction,tunnel,access
39150018,2,367,Kotojedská,secondary,50,False,False,70.78,"LINESTRING (17.3984556 49.2944607, 17.3987212 49.2942186, 17.398802 49.2941364, 17.3989885 49.2939281)",,,,
39150018,2,367,Kotojedská,secondary,50,False,True,95.685,"LINESTRING (17.3984556 49.2944607, 17.3984061 49.2945016, 17.397638 49.2951361)",,,,
39150011,2,432,náměstí Míru,secondary,50,False,False,48.031,"LINESTRING (17.3884634 49.2960373, 17.3884586 49.296081, 17.3884829 49.2962105, 17.3886034 49.2964559)",,,,
104975946,,43215,Havlíčkova,tertiary,50,False,True,140.977,"LINESTRING (17.3884634 49.2960373, 17.3884131 49.2960312, 17.3883603 49.2960202, 17.3883045 49.296006, 17.3882471 49.295986, 17.38818 49.2959622, 17.3881306 49.2959413, 17.3868071 49.2953818)",,,,
"[1185883801, 1185883802, 42833468]","['2', '3']",432,Velehradská,secondary,50,False,True,168.10600000000002,"LINESTRING (17.3884634 49.2960373, 17.3884723 49.2959986, 17.3884915 49.2959605, 17.3885135 49.2959334, 17.3885437 49.2958961, 17.3886049 49.2958366, 17.3889115 49.2955684, 17.3893819 49.2951418, 17.3895795 49.2949549, 17.3897544 49.2947893)",,,,
30033511,,,Kollárova,residential,,False,False,224.131,"LINESTRING (17.3917799 49.296173, 17.3917832 49.2961313, 17.3917881 49.2960949, 17.391799 49.2960688, 17.3918118 49.2960441, 17.3918214 49.2960302, 17.3929936 49.2943247)",4,,,
"[874417521, 874417522]","['1', '2']",367,1. máje,secondary,50,True,False,194.463,"LINESTRING (17.3917799 49.296173, 17.3919225 49.2961346, 17.3920253 49.2961187, 17.392112 49.296112, 17.393349 49.2960627, 17.3936735 49.2960465, 17.3939679 49.2960312, 17.3941631 49.296025, 17.394442 49.2960251)",,,,
"[1186181730, 39150014]","['2', '3']",367,Milíčovo náměstí,secondary,50,False,False,137.37,"LINESTRING (17.3917799 49.296173, 17.3916548 49.2961996, 17.3915586 49.2962267, 17.3914873 49.2962464, 17.3913997 49.2962756, 17.3910193 49.2964256, 17.390766 49.296511, 17.3905258 49.2965797, 17.390263 49.2966507, 17.390071 49.2966989)",,,,
24859561,,,náměstí Míru,secondary,50,True,False,28.421,"LINESTRING (17.3889406 49.2967964, 17.3889357 49.2968158, 17.3889254 49.2968343, 17.3889102 49.2968513, 17.3888905 49.2968662, 17.3888671 49.2968785, 17.3888405 49.2968878, 17.3888118 49.2968939, 17.3887819 49.2968964, 17.3887518 49.2968954, 17.3887225 49.2968908, 17.388695 49.2968829, 17.3886701 49.2968718, 17.3886487 49.2968579)",,roundabout,,
39150013,3,367,náměstí Míru,secondary,50,False,True,83.605,"LINESTRING (17.3889406 49.2967964, 17.3890461 49.2968025, 17.3891688 49.2968095, 17.3893544 49.2968083, 17.389563 49.29679, 17.3897978 49.2967583, 17.390071 49.2966989)",,,,
24859561,,,náměstí Míru,secondary,50,True,False,23.965999999999998,"LINESTRING (17.3886487 49.2968579, 17.3886301 49.2968401, 17.3886173 49.2968202, 17.3886108 49.2967991, 17.3886109 49.2967775, 17.3886175 49.2967564, 17.3886304 49.2967366, 17.3886492 49.2967188, 17.3886729 49.2967038, 17.3887008 49.2966922, 17.3887316 49.2966845)",,roundabout,,
