osmid,name,highway,oneway,reversed,length,ref,maxspeed,access,geometry,bridge
37013378,Nádražní,residential,False,False,68.47,,,,"LINESTRING (18.7660393 49.5800902, 18.7651387 49.5798948)",
214726358,Nádražní,secondary,False,False,99.385,474,50,,"LINESTRING (18.7660393 49.5800902, 18.7665659 49.5792642)",
"[37013376, 37013374]",Bezručova,residential,False,False,374.71099999999996,,,yes,"LINESTRING (18.7660393 49.5800902, 18.7694017 49.5809766, 18.7696238 49.5805435, 18.7697791 49.580236, 18.7697983 49.5801253, 18.7697581 49.580003)",
49133823,Mariánské náměstí,residential,False,False,88.04,,,,"LINESTRING (18.7636509 49.5760664, 18.7642385 49.5763117, 18.7645785 49.5765687)",
"[122622593, 122622595]",Dukelská,secondary,False,True,89.865,474,50,,"LINESTRING (18.7636509 49.5760664, 18.7635853 49.5760307, 18.7635438 49.5760083, 18.7634409 49.575956, 18.7631112 49.5757558, 18.7628285 49.5754695)",
122622599,Mariánské náměstí,secondary,False,False,72.71900000000001,474,50,,"LINESTRING (18.7636509 49.5760664, 18.7638907 49.5762083, 18.7641166 49.5763782, 18.7643053 49.57656)",
616388452,Mariánské náměstí,secondary,False,True,18.576,474,50,,"LINESTRING (18.7644577 49.5766947, 18.7643053 49.57656)",
"[481369684, 178609495, 122622591]",Nádražní,secondary,False,"[False, True]",105.197,474,50,,"LINESTRING (18.7644577 49.5766947, 18.7645134 49.5767445, 18.764539 49.5767644, 18.7645821 49.5767988, 18.7647675 49.5769472, 18.7649931 49.5771073, 18.7654338 49.5773675, 18.7654594 49.5773786)",
122622593,Dukelská,secondary,False,True,28.286,474,50,,"LINESTRING (18.7628285 49.5754695, 18.7626243 49.5752523)",
37012882,Hasičská,residential,False,False,54.528999999999996,,,,"LINESTRING (18.7628285 49.5754695, 18.7627892 49.5754919, 18.7627735 49.5755009, 18.7625402 49.5756342, 18.7622932 49.5758146)",
"[122622593, 122622595]",Dukelská,secondary,False,False,89.865,474,50,,"LINESTRING (18.7628285 49.5754695, 18.7631112 49.5757558, 18.7634409 49.575956, 18.7635438 49.5760083, 18.7635853 49.5760307, 18.7636509 49.5760664)",
"[37012868, 37012869, 993291596, 481369682, 1032609842]",Nádražní,secondary,False,True,204.993,474,50,,"LINESTRING (18.7659392 49.5775867, 18.7660648 49.5776695, 18.7661244 49.5777087, 18.7662878 49.5778381, 18.7664135 49.5779619, 18.7666032 49.578241, 18.7666366 49.5782941, 18.7666747 49.5783548, 18.7667227 49.5784551, 18.766745 49.5786875, 18.7667294 49.5788731, 18.7666655 49.5790366, 18.7666117 49.5791547, 18.7665659 49.5792642)",yes
232185622,Bukovecká,secondary,False,True,77.583,01149,,,"LINESTRING (18.7659392 49.5775867, 18.7661935 49.5774049, 18.7664282 49.5772752, 18.7667488 49.5771322)",
481369684,Nádražní,secondary,False,False,41.619,474,50,,"LINESTRING (18.7659392 49.5775867, 18.7656721 49.5774709, 18.7654594 49.5773786)",
214726358,Nádražní,secondary,False,True,99.385,474,50,,"LINESTRING (18.7665659 49.5792642, 18.7660393 49.5800902)",
993291605,Bezručova,residential,False,False,54.836,,,,"LINESTRING (18.7665659 49.5792642, 18.767284 49.5794267)",
"[37012868, 37012869, 993291596, 481369682, 1032609842]",Nádražní,secondary,False,False,204.993,474,50,,"LINESTRING (18.7665659 49.5792642, 18.7666117 49.5791547, 18.7666655 49.5790366, 18.7667294 49.5788731, 18.766745 49.5786875, 18.7667227 49.5784551, 18.7666747 49.5783548, 18.7666366 49.5782941, 18.7666032 49.578241, 18.7664135 49.5779619, 18.7662878 49.5778381, 18.7661244 49.5777087, 18.7660648 49.5776695, 18.7659392 49.5775867)",yes
37012880,Školní,residential,False,False,162.877,,,,"LINESTRING (18.7687224 49.57288, 18.7667656 49.5736117)",
178609500,Zahradní,residential,False,False,96.923,,,,"LINESTRING (18.7687224 49.57288, 18.7695395 49.5735721)",
37012878,Příčná,residential,False,False,173.686,,,,"LINESTRING (18.7695395 49.5735721, 18.7675965 49.5744953)",
178609500,Zahradní,residential,False,False,86.11,,,,"LINESTRING (18.7695395 49.5735721, 18.770328 49.5741537)",
178609500,Zahradní,residential,False,True,96.923,,,,"LINESTRING (18.7695395 49.5735721, 18.7687224 49.57288)",
178609500,Zahradní,residential,False,True,27.626,,,,"LINESTRING (18.7706593 49.5742746, 18.770592 49.5742558, 18.7704541 49.5742172, 18.770328 49.5741537)",
512926082,Bukovecká,secondary,False,False,213.228,01149,,,"LINESTRING (18.7706593 49.5742746, 18.7705966 49.5744809, 18.7704443 49.5747916, 18.7702537 49.5751056, 18.7700557 49.5753289, 18.7698419 49.5754877, 18.7693625 49.5757785, 18.7692121 49.5758922)",
37012878,Příčná,residential,False,True,173.686,,,,"LINESTRING (18.7675965 49.5744953, 18.7695395 49.5735721)",
37012879,Sadová,residential,False,True,115.078,,,,"LINESTRING (18.7675965 49.5744953, 18.7667656 49.5736117)",
37012879,Sadová,residential,False,False,194.81799999999998,,,,"LINESTRING (18.7675965 49.5744953, 18.7681709 49.5751054, 18.7685497 49.5754145, 18.7691735 49.5758643, 18.7692121 49.5758922)",
37012879,Sadová,residential,False,False,115.078,,,,"LINESTRING (18.7667656 49.5736117, 18.7675965 49.5744953)",
37012880,Školní,residential,False,True,162.877,,,,"LINESTRING (18.7667656 49.5736117, 18.7687224 49.57288)",
512926081,Školní,residential,False,False,98.561,,,,"LINESTRING (18.7667656 49.5736117, 18.7656003 49.574075)",
37012879,Sadová,residential,False,True,194.81799999999998,,,,"LINESTRING (18.7692121 49.5758922, 18.7691735 49.5758643, 18.7685497 49.5754145, 18.7681709 49.5751054, 18.7675965 49.5744953)",
232185622,Bukovecká,secondary,False,False,227.29,01149,,,"LINESTRING (18.7692121 49.5758922, 18.7689452 49.5761312, 18.7688206 49.5762347, 18.7686395 49.5763417, 18.7681398 49.5765473, 18.7680825 49.5765716, 18.767009 49.5770279, 18.7667488 49.5771322)",
512926082,Bukovecká,secondary,False,True,213.228,01149,,,"LINESTRING (18.7692121 49.5758922, 18.7693625 49.5757785, 18.7698419 49.5754877, 18.7700557 49.5753289, 18.7702537 49.5751056, 18.7704443 49.5747916, 18.7705966 49.5744809, 18.7706593 49.5742746)",
122622593,Dukelská,secondary,False,False,28.286,474,50,,"LINESTRING (18.7626243 49.5752523, 18.7628285 49.5754695)",
513227756,Dukelská,secondary,False,True,48.595,474,50,,"LINESTRING (18.7626243 49.5752523, 18.7622701 49.5748805)",
178609520,Školní,residential,False,False,115.188,,,,"LINESTRING (18.7656003 49.574075, 18.7642281 49.5746054)",
512926081,Školní,residential,False,True,98.561,,,,"LINESTRING (18.7656003 49.574075, 18.7667656 49.5736117)",
37012881,Za učilištěm,residential,True,False,191.418,,,,"LINESTRING (18.7669611 49.5755531, 18.7656003 49.574075)",
590033114,Čs. armády,residential,False,True,155.453,,,,"LINESTRING (18.7669611 49.5755531, 18.7650988 49.5762575)",
37012884,Plk. Velebnovského,residential,True,False,61.851,,,,"LINESTRING (18.7622932 49.5758146, 18.7616124 49.5754762)",
37012882,Hasičská,residential,False,True,54.52900000000001,,,,"LINESTRING (18.7622932 49.5758146, 18.7625402 49.5756342, 18.7627735 49.5755009, 18.7627892 49.5754919, 18.7628285 49.5754695)",
"[49133554, 49133555, 728996588]",Hasičská,residential,False,False,256.319,,,,"LINESTRING (18.7622932 49.5758146, 18.7621855 49.5759087, 18.7613965 49.5765975, 18.7611265 49.5768197, 18.7601486 49.5776529)",yes
"[49133554, 49133555, 728996588]",Hasičská,residential,False,True,256.31899999999996,,,,"LINESTRING (18.7601486 49.5776529, 18.7611265 49.5768197, 18.7613965 49.5765975, 18.7621855 49.5759087, 18.7622932 49.5758146)",yes
211170516,Bělá,residential,False,True,75.551,,50,,"LINESTRING (18.7601486 49.5776529, 18.7599465 49.5775565, 18.7597829 49.5774696, 18.7596676 49.5773704, 18.7595458 49.5771275)",
233740812,Bělá,residential,False,False,192.85600000000002,,,,"LINESTRING (18.7601486 49.5776529, 18.7600631 49.577847, 18.7598553 49.5781164, 18.7595743 49.578366, 18.7587433 49.5788137, 18.7586118 49.5790184)",
233740813,Bělá,residential,False,False,169.151,,50,,"LINESTRING (18.7601486 49.5776529, 18.760349 49.577751, 18.7607049 49.5778406, 18.7609422 49.577862, 18.7613826 49.5778726, 18.7615919 49.5778881, 18.7619401 49.5780037, 18.7622748 49.5781798)",
55413232,Bělá,residential,False,False,275.618,,,,"LINESTRING (18.7586118 49.5790184, 18.7575938 49.5786087, 18.7580519 49.5774842, 18.757771 49.5769772)",
233740812,Bělá,residential,False,False,167.077,,,,"LINESTRING (18.7586118 49.5790184, 18.7597431 49.5795364, 18.759918 49.579654, 18.7603458 49.5799971)",
233740812,Bělá,residential,False,True,192.856,,,,"LINESTRING (18.7586118 49.5790184, 18.7587433 49.5788137, 18.7595743 49.578366, 18.7598553 49.5781164, 18.7600631 49.577847, 18.7601486 49.5776529)",
37012883,Bělá,residential,False,False,273.106,,,,"LINESTRING (18.7603458 49.5799971, 18.7607175 49.5799423, 18.7608146 49.579915, 18.7609734 49.5798437, 18.7613167 49.5796162, 18.7617814 49.5793525, 18.7619388 49.5792415, 18.7621408 49.5790494, 18.7621492 49.5790047, 18.7621588 49.5789048, 18.7620488 49.578572, 18.7620621 49.5784749, 18.7621458 49.5782959, 18.7622748 49.5781798)",
233740812,Bělá,residential,False,True,167.077,,,,"LINESTRING (18.7603458 49.5799971, 18.759918 49.579654, 18.7597431 49.5795364, 18.7586118 49.5790184)",
37012883,Bělá,residential,False,True,273.10599999999994,,,,"LINESTRING (18.7622748 49.5781798, 18.7621458 49.5782959, 18.7620621 49.5784749, 18.7620488 49.578572, 18.7621588 49.5789048, 18.7621492 49.5790047, 18.7621408 49.5790494, 18.7619388 49.5792415, 18.7617814 49.5793525, 18.7613167 49.5796162, 18.7609734 49.5798437, 18.7608146 49.579915, 18.7607175 49.5799423, 18.7603458 49.5799971)",
178609516,Bělá,residential,False,False,30.979,,,,"LINESTRING (18.7622748 49.5781798, 18.7623711 49.5781128, 18.7625689 49.5779767)",
233740813,Bělá,residential,False,True,169.151,,50,,"LINESTRING (18.7622748 49.5781798, 18.7619401 49.5780037, 18.7615919 49.5778881, 18.7613826 49.5778726, 18.7609422 49.577862, 18.7607049 49.5778406, 18.760349 49.577751, 18.7601486 49.5776529)",
87556378,Bělá,residential,False,False,71.85,,,,"LINESTRING (18.7625689 49.5779767, 18.7628959 49.5780344, 18.7630965 49.5781412, 18.7633839 49.5783198)",
178609516,Bělá,residential,False,False,82.562,,,,"LINESTRING (18.7625689 49.5779767, 18.7626074 49.5777011, 18.7625446 49.5776203, 18.762507 49.5774667, 18.7625435 49.5773374, 18.7626152 49.5772623)",
178609516,Bělá,residential,False,True,30.979,,,,"LINESTRING (18.7625689 49.5779767, 18.7623711 49.5781128, 18.7622748 49.5781798)",
178609512,Kamiynica,residential,False,True,98.962,,,,"LINESTRING (18.7633897 49.5762503, 18.7630961 49.5765631, 18.7629973 49.5767516, 18.7629393 49.576903, 18.7628239 49.5770542)",
233740815,Plk. Velebnovského,residential,True,False,92.804,,,,"LINESTRING (18.7633897 49.5762503, 18.7628372 49.5760509, 18.7622932 49.5758146)",
513227756,Dukelská,secondary,False,False,53.765,474,50,,"LINESTRING (18.7610014 49.5735357, 18.7613909 49.573948)",
37012884,Plk. Velebnovského,residential,True,False,232.14,,,,"LINESTRING (18.7616124 49.5754762, 18.7612239 49.5751966, 18.7611017 49.5749509, 18.7610834 49.5743962, 18.7610182 49.5740115, 18.7610162 49.574, 18.7608757 49.5736672, 18.7609099 49.5736314, 18.7610014 49.5735357)",
41815516,,residential,False,True,85.67500000000001,,,,"LINESTRING (18.7616124 49.5754762, 18.7614753 49.5755283, 18.7612547 49.5754829, 18.7610796 49.5753988, 18.7609255 49.5753285, 18.760768 49.5753216, 18.7605474 49.5753716)",
513227756,Dukelská,secondary,False,True,53.765,474,50,,"LINESTRING (18.7613909 49.573948, 18.7610014 49.5735357)",
37012885,Polní,residential,True,False,110.531,,,,"LINESTRING (18.7613909 49.573948, 18.7617001 49.5738903, 18.7617668 49.5738779, 18.7623277 49.5737732, 18.7626338 49.5737161, 18.7626659 49.5737101, 18.762864 49.5736731)",
513227756,Dukelská,secondary,False,False,121.53299999999999,474,50,,"LINESTRING (18.7613909 49.573948, 18.7619106 49.5744981, 18.7620691 49.5746658, 18.7622701 49.5748805)",
49133234,Polní,residential,False,True,37.402,,,,"LINESTRING (18.7633724 49.5736064, 18.762864 49.5736731)",
37012886,Polní,residential,False,True,132.25900000000001,,,,"LINESTRING (18.7633724 49.5736064, 18.7630431 49.572618, 18.762985 49.5724438)",
49133237,Školní,residential,True,False,127.332,,,,"LINESTRING (18.7633724 49.5736064, 18.7636992 49.574063, 18.7641947 49.5745711, 18.7642281 49.5746054)",
178609520,Školní,residential,False,True,115.188,,,,"LINESTRING (18.7642281 49.5746054, 18.7656003 49.574075)",
49133236,Školní,residential,True,False,136.192,,,,"LINESTRING (18.7642281 49.5746054, 18.7631901 49.5750238, 18.7626989 49.5752245, 18.7626243 49.5752523)",
1073642553,Lipová,residential,True,False,88.217,,,,"LINESTRING (18.7642281 49.5746054, 18.7648104 49.5751688, 18.7648953 49.5752699)",
37012887,Lipová,residential,False,False,132.787,,,,"LINESTRING (18.7648953 49.5752699, 18.7650505 49.575455, 18.7652259 49.5756641, 18.7648894 49.5758116, 18.7649922 49.5759581, 18.7649597 49.5760502, 18.7649814 49.5760994, 18.7650988 49.5762575)",
993291605,Bezručova,residential,False,True,35.327,,,,"LINESTRING (18.7702282 49.5800926, 18.7697581 49.580003)",
163976353,Lesní,residential,False,False,498.132,,,,"LINESTRING (18.7709315 49.5762851, 18.7708528 49.5764031, 18.7707954 49.5765319, 18.7707304 49.577559, 18.7705545 49.5779774, 18.7702074 49.5782785, 18.7699714 49.578398, 18.7697102 49.5785033, 18.7694644 49.5785689, 18.7692212 49.5786022, 18.7688122 49.5786397, 18.7683696 49.578662, 18.767959 49.5787602, 18.7675631 49.5790074, 18.767284 49.5794267)",
