osmid,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,bridge
4884319,secondary,50,roundabout,True,False,21.861,"LINESTRING (13.7696073 49.8593542, 13.7695689 49.8593322, 13.7695427 49.8593037, 13.7695315 49.8592719, 13.7695356 49.8592394, 13.7695547 49.8592093, 13.769587 49.8591842)",,,
"[555000721, 474942620]",secondary,50,,False,True,111.153,"LINESTRING (13.7696073 49.8593542, 13.7695903 49.8593683, 13.7695657 49.8593888, 13.7695379 49.8594151, 13.7693868 49.8595894, 13.769209 49.8598293, 13.7690695 49.8600415, 13.7689844 49.8602628)",235,Bezručova,
42776368,residential,50,,True,False,64.367,"LINESTRING (13.7694295 49.8580682, 13.7695296 49.8580991, 13.7702392 49.8583184)",,Československé armády,
474942626,secondary,50,,False,False,92.894,"LINESTRING (13.7694295 49.8580682, 13.7692479 49.8584715, 13.7691924 49.8585997, 13.769174 49.8586602, 13.7691633 49.8587111, 13.7691619 49.8588232, 13.7691849 49.8588785)",235,Sládkova,
474942626,secondary,50,,False,True,101.523,"LINESTRING (13.7694295 49.8580682, 13.7696497 49.8576411, 13.7698657 49.8571996)",235,Sládkova,
4884316,secondary,50,,False,True,44.891,"LINESTRING (13.7691849 49.8588785, 13.7692813 49.8589797, 13.7693939 49.8590706, 13.7695134 49.8591447, 13.7695629 49.859171, 13.769587 49.8591842)",235,Sládkova,
474942626,secondary,50,,False,True,92.894,"LINESTRING (13.7691849 49.8588785, 13.7691619 49.8588232, 13.7691633 49.8587111, 13.769174 49.8586602, 13.7691924 49.8585997, 13.7692479 49.8584715, 13.7694295 49.8580682)",235,Sládkova,
"[415121052, 125956150, 474948495]","['residential', 'living_street']","['20', '50']",,False,"[False, True]",117.17599999999999,"LINESTRING (13.7691849 49.8588785, 13.7691235 49.8588861, 13.7690694 49.8588941, 13.7689784 49.8589075, 13.7684551 49.8589348, 13.7683756 49.8589027, 13.7684351 49.8588115, 13.768506 49.8587101, 13.7685312 49.8586739, 13.7684152 49.8585907, 13.7682495 49.8584758)",,Pod Zámkem,
4884316,secondary,50,,False,False,44.891,"LINESTRING (13.769587 49.8591842, 13.7695629 49.859171, 13.7695134 49.8591447, 13.7693939 49.8590706, 13.7692813 49.8589797, 13.7691849 49.8588785)",235,Sládkova,
4884319,secondary,50,roundabout,True,False,32.552,"LINESTRING (13.769587 49.8591842, 13.7696353 49.859165, 13.7696908 49.8591574, 13.7697471 49.8591624, 13.7697974 49.8591792, 13.769836 49.8592061, 13.7698583 49.8592397, 13.7698617 49.8592762, 13.7698458 49.8593114)",,,
42776389,residential,50,,False,False,228.38400000000001,"LINESTRING (13.7689844 49.8602628, 13.7690633 49.8603057, 13.769131 49.8603204, 13.7695475 49.8604117, 13.7698874 49.8605096, 13.770721 49.8607397, 13.770934 49.8607938, 13.7718996 49.8610811)",,Pujmanové,
"[555000721, 474942620]",secondary,50,,False,False,111.15300000000002,"LINESTRING (13.7689844 49.8602628, 13.7690695 49.8600415, 13.769209 49.8598293, 13.7693868 49.8595894, 13.7695379 49.8594151, 13.7695657 49.8593888, 13.7695903 49.8593683, 13.7696073 49.8593542)",235,Bezručova,
555000721,secondary,50,,False,True,377.52700000000004,"LINESTRING (13.7689844 49.8602628, 13.7688278 49.8607712, 13.7687476 49.8609698, 13.7686024 49.8611529, 13.7679614 49.8618793, 13.7676319 49.862172, 13.7670422 49.8626191, 13.7663279 49.8631219)",235,Bezručova,
415548302,living_street,20,,False,False,144.27,"LINESTRING (13.7698657 49.8571996, 13.7697927 49.8571891, 13.7696241 49.8571643, 13.7693653 49.8575232, 13.7690514 49.8577777, 13.7685569 49.8580462)",,Karla Vokáče,
474942626,secondary,50,,False,False,101.523,"LINESTRING (13.7698657 49.8571996, 13.7696497 49.8576411, 13.7694295 49.8580682)",235,Sládkova,
"[474942626, 557057034]",secondary,50,,False,"[False, True]",105.91199999999999,"LINESTRING (13.7698657 49.8571996, 13.7699381 49.8570339, 13.7699619 49.8569528, 13.7699724 49.8568688, 13.7699669 49.8567744, 13.7699533 49.8566977, 13.7699316 49.8566106, 13.7699021 49.8565297, 13.7698612 49.8564458, 13.7698127 49.856363, 13.7697528 49.8562772)",235,Sládkova,
42776385,residential,50,,True,False,18.616,"LINESTRING (13.7684385 49.8547895, 13.7686908 49.8547499)",,Divadelní,
474942627,secondary,50,,False,True,191.377,"LINESTRING (13.7684385 49.8547895, 13.7685061 49.8549389, 13.7685514 49.8550268, 13.7685943 49.8550941, 13.7686415 49.8551546, 13.7686979 49.8552166, 13.7687782 49.8552959, 13.7694378 49.8559356, 13.7696273 49.8561285, 13.7697528 49.8562772)",235,Sládkova,
4884319,secondary,50,roundabout,True,False,19.938000000000002,"LINESTRING (13.7698458 49.8593114, 13.7698132 49.8593405, 13.7697676 49.859361, 13.769714 49.8593706, 13.7696585 49.8593682, 13.7696073 49.8593542)",,,
"[156050364, 474942621]",tertiary,50,,False,False,212.19600000000003,"LINESTRING (13.7698458 49.8593114, 13.7698885 49.8593211, 13.7702279 49.8594044, 13.7703847 49.8594444, 13.7725273 49.860117)",2352,Masarykovo náměstí,
43311617,tertiary,50,,False,False,30.551,"LINESTRING (13.7770402 49.8612696, 13.7774417 49.8613618)",2352,Zámostí,
"[43311618, 477070452]",tertiary,"['90', '50']",,False,True,435.935,"LINESTRING (13.7770402 49.8612696, 13.777096 49.8611849, 13.7771472 49.8611071, 13.7773893 49.8605645, 13.7773863 49.8603476, 13.7773519 49.8601541, 13.7772223 49.8596733, 13.7771637 49.859472, 13.7770427 49.8586846, 13.7770343 49.8575439, 13.7770426 49.8574968, 13.7770558 49.8574513, 13.7770823 49.8574052)",2353,Zámostí,
474522157,tertiary,50,,False,True,84.07499999999999,"LINESTRING (13.7770402 49.8612696, 13.7766722 49.8611935, 13.7764615 49.861145, 13.7762682 49.8611005, 13.7759331 49.8610203)",2352,Zámostí,
474942621,tertiary,50,,False,False,13.154,"LINESTRING (13.7725273 49.860117, 13.7726959 49.8601637)",2352,Masarykovo náměstí,
