osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,width,bridge
38138643,Nerudova,residential,False,False,83.007,"LINESTRING (14.51224 50.9142927, 14.5124022 50.914102, 14.5130237 50.9140809, 14.5132372 50.9141099)",,,,,
229066674,Masarykova,secondary,False,False,117.064,"LINESTRING (14.51224 50.9142927, 14.5120506 50.9140115, 14.5119294 50.9138409, 14.5116669 50.9135283, 14.5115541 50.913435, 14.5114486 50.9133754)",2,263,50,,
229066674,Masarykova,secondary,False,True,86.09,"LINESTRING (14.51224 50.9142927, 14.5123889 50.9145017, 14.5126339 50.9148522, 14.512771 50.9149893)",2,263,50,,
38138638,Pletařská,residential,False,True,80.897,"LINESTRING (14.512771 50.9149893, 14.5125946 50.9149976, 14.5122708 50.914908, 14.5119825 50.9145595)",,,,,
229066674,Masarykova,secondary,False,False,86.09,"LINESTRING (14.512771 50.9149893, 14.5126339 50.9148522, 14.5123889 50.9145017, 14.51224 50.9142927)",2,263,50,,
"[276625240, 107859829]",Kyjovská,secondary,False,False,224.60299999999995,"LINESTRING (14.5073106 50.9137879, 14.5071192 50.9138449, 14.5070719 50.9138558, 14.5070185 50.9138623, 14.5067002 50.9138766, 14.50653 50.9138828, 14.5064093 50.9138802, 14.5062756 50.9138675, 14.5061649 50.9138504, 14.5055452 50.9137354, 14.5052909 50.9136862, 14.5051638 50.9136665, 14.5050124 50.9136642, 14.5046554 50.9136842, 14.5045444 50.9136991, 14.5043988 50.9137526, 14.5042562 50.9138346)",2,265,50,,
299892801,Dittrichova,tertiary,False,True,56.391000000000005,"LINESTRING (14.5073106 50.9137879, 14.5071828 50.9136498, 14.5071096 50.9135741, 14.5068504 50.9133737)",,2652,50,,
1271096052,Kyovská,secondary,False,False,40.295,"LINESTRING (14.5073106 50.9137879, 14.507655 50.9136959, 14.5078398 50.9136465)",,,,,
"[799345203, 276625188]",Stradalova,secondary,True,False,155.092,"LINESTRING (14.499624 50.9150459, 14.4996904 50.915024, 14.5000715 50.9149802, 14.5007428 50.9149217, 14.5012798 50.9148715, 14.5018035 50.9148226)",1,265,50,,
"[276625205, 238632726]",Stradalova,residential,False,True,104.616,"LINESTRING (14.499624 50.9150459, 14.4995882 50.9149493, 14.4991428 50.9141559)",,,,,
37865659,Komenského,residential,False,False,76.604,"LINESTRING (14.5093747 50.9106214, 14.5094513 50.9106923, 14.5094724 50.9107442, 14.5094818 50.9107994, 14.509468 50.9110082, 14.509487 50.911293)",,,,,
229066677,Pražská,secondary,False,False,53.510999999999996,"LINESTRING (14.5093747 50.9106214, 14.5094206 50.9105859, 14.5094433 50.9105609, 14.5094606 50.9105393, 14.509479 50.9105125, 14.5094961 50.9104848, 14.5095115 50.9104549, 14.5095315 50.9104022, 14.5095502 50.9103511, 14.5096082 50.9101693)",2,263,50,,
229066677,Pražská,secondary,False,True,219.904,"LINESTRING (14.5093747 50.9106214, 14.5093475 50.910636, 14.5093054 50.9106574, 14.5092815 50.9106692, 14.5090047 50.9108163, 14.508976 50.9108315, 14.5087753 50.9109465, 14.5086664 50.9110249, 14.5086204 50.9110631, 14.5085204 50.9111489, 14.5083752 50.9113118, 14.5083313 50.9113979, 14.5082426 50.9115717, 14.5080747 50.9121517, 14.5080665 50.9121801, 14.508026 50.9123198)",2,263,50,,
37866148,U Tiskárny,residential,False,False,48.698,"LINESTRING (14.5115596 50.9124885, 14.5116946 50.9120589)",1,,,4,
380282598,Varnsdorfská,secondary,False,False,40.079,"LINESTRING (14.5115596 50.9124885, 14.511331 50.912547, 14.511061 50.912661)",,265,50,6,
380282598,Varnsdorfská,secondary,False,True,70.57900000000001,"LINESTRING (14.5115596 50.9124885, 14.5117648 50.9124876, 14.5119779 50.9125049, 14.5121802 50.9125335, 14.5122735 50.9125539, 14.5124067 50.912606, 14.5124813 50.9126683)",,265,50,6,
238508133,Stradalova,secondary,True,False,21.523,"LINESTRING (14.5025367 50.9147887, 14.5027477 50.9149293)",,265,50,,
276625184,Stradalova,secondary,True,False,60.462999999999994,"LINESTRING (14.5025367 50.9147887, 14.5028135 50.9146798, 14.5032538 50.9144869)",1,265,50,,
238632720,,residential,False,True,56.724999999999994,"LINESTRING (14.511061 50.912661, 14.5109297 50.9125848, 14.5107246 50.9123957, 14.5106487 50.9122341)",,,,,
380282598,Varnsdorfská,secondary,False,False,51.102000000000004,"LINESTRING (14.511061 50.912661, 14.5108174 50.9128607, 14.5107452 50.9129415, 14.5106638 50.9130443)",,265,50,6,
380282598,Varnsdorfská,secondary,False,True,40.079,"LINESTRING (14.511061 50.912661, 14.511331 50.912547, 14.5115596 50.9124885)",,265,50,6,
176055777,Masarykova,secondary,False,False,58.373000000000005,"LINESTRING (14.5101417 50.9130069, 14.5100002 50.9130468, 14.5099144 50.9130854, 14.5097923 50.9131555, 14.5094725 50.9133143)",2,263,50,,
176055777,Masarykova,secondary,False,True,37.744,"LINESTRING (14.5101417 50.9130069, 14.5102861 50.9129883, 14.5103922 50.9129947, 14.5104978 50.9130043, 14.5106638 50.9130443)",2,263,50,,
1210101253,Masarykova,secondary,False,False,19.207,"LINESTRING (14.5114486 50.9133754, 14.5112251 50.9132755)",2,263,50,,
229066674,Masarykova,secondary,False,True,117.064,"LINESTRING (14.5114486 50.9133754, 14.5115541 50.913435, 14.5116669 50.9135283, 14.5119294 50.9138409, 14.5120506 50.9140115, 14.51224 50.9142927)",2,263,50,,
253081576,Dvořákova,residential,False,False,116.27099999999999,"LINESTRING (14.5114486 50.9133754, 14.5116658 50.9133929, 14.5123947 50.9133238, 14.5129556 50.9133091, 14.5130912 50.9133335)",,,,,
