osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,width,junction,bridge,access
6297278,Vídeňská,residential,False,False,12.505,"LINESTRING (13.2939891 49.3947989, 13.2940733 49.3947007)",,,,,,,
171049761,nám. Míru,residential,False,False,79.20599999999999,"LINESTRING (13.2939891 49.3947989, 13.2939573 49.39485, 13.2939399 49.3949013, 13.2939481 49.3949691, 13.2939645 49.3951053, 13.2939854 49.3952784, 13.2939943 49.3953527, 13.2940126 49.3955041)",,,,,,,
245066601,Pražská,residential,False,True,14.927,"LINESTRING (13.2940126 49.3955041, 13.294185 49.3955778)",30,,,,,,
171049761,nám. Míru,residential,False,True,79.20599999999999,"LINESTRING (13.2940126 49.3955041, 13.2939943 49.3953527, 13.2939854 49.3952784, 13.2939645 49.3951053, 13.2939481 49.3949691, 13.2939399 49.3949013, 13.2939573 49.39485, 13.2939891 49.3947989)",,,,,,,
"[219689338, 186942350]",nám. Míru,residential,True,False,114.226,"LINESTRING (13.2940126 49.3955041, 13.2937496 49.3955213, 13.2931762 49.3955587, 13.2931267 49.395544, 13.293081 49.3955206, 13.2930354 49.3954783, 13.2930285 49.395414, 13.292998 49.3951239)",,,,,,,
36852737,Balbínova,residential,False,True,91.87800000000001,"LINESTRING (13.2930297 49.3949193, 13.2927728 49.3947982, 13.2927063 49.3947858, 13.2926571 49.3947898, 13.2922736 49.3948207, 13.291833 49.3948704)",,,,,,,
219689338,nám. Míru,residential,True,False,72.804,"LINESTRING (13.2930297 49.3949193, 13.2930761 49.3948819, 13.2931422 49.3948509, 13.2939891 49.3947989)",,,,,,,
85845700,Kollárova,residential,False,True,47.007999999999996,"LINESTRING (13.2932549 49.3992693, 13.2930089 49.3992184, 13.2926346 49.3991438)",,,,,,,
"[724250465, 29034101]",Maxima Gorkého,tertiary,False,False,110.32600000000001,"LINESTRING (13.2932549 49.3992693, 13.2934509 49.399327, 13.2937985 49.3993974, 13.2938394 49.3994059, 13.2939444 49.3994177, 13.2940014 49.3994187, 13.2940628 49.3994155, 13.2941768 49.3994062, 13.2946139 49.3993529, 13.2947291 49.3993371)",,3,19122,,,,
"[308934101, 871376246]",Plzeňská,primary,False,False,136.281,"LINESTRING (13.2932549 49.3992693, 13.293272 49.3991363, 13.2932986 49.3988589, 13.2932779 49.3986906, 13.2932473 49.3985608, 13.293204 49.3984321, 13.2931302 49.3982699, 13.2931182 49.398237, 13.2930044 49.3980737)",60,"['5', '6']",27,17,,,
"[1000507704, 9624401, 1000507705]",Dobrovského,secondary,False,False,85.913,"LINESTRING (13.2930044 49.3980737, 13.2931212 49.398038, 13.2932212 49.3980086, 13.2932786 49.3979893, 13.2940059 49.3977527, 13.2940696 49.3977327)",50,4,186,,,,
"[308934101, 871376246]",Plzeňská,primary,False,True,136.281,"LINESTRING (13.2930044 49.3980737, 13.2931182 49.398237, 13.2931302 49.3982699, 13.293204 49.3984321, 13.2932473 49.3985608, 13.2932779 49.3986906, 13.2932986 49.3988589, 13.293272 49.3991363, 13.2932549 49.3992693)",60,"['5', '6']",27,17,,,
"[551157289, 551157290, 879179124, 870870680, 870870681]",Plzeňská,primary,False,False,350.16,"LINESTRING (13.2930044 49.3980737, 13.292864 49.3978975, 13.2926737 49.3977366, 13.2925019 49.3976124, 13.2923892 49.3975503, 13.2922913 49.3975013, 13.2921849 49.3974528, 13.291885 49.3973389, 13.291467 49.3971755, 13.2912754 49.3971004, 13.2909573 49.396955, 13.2908442 49.3968964, 13.2907514 49.3968417, 13.2905208 49.3966908, 13.2903108 49.396532, 13.2902025 49.3964343, 13.2901078 49.3963344, 13.2900186 49.3962227, 13.2899356 49.3960948, 13.2898796 49.3959854, 13.2898715 49.3959643, 13.2898672 49.3959531, 13.2898253 49.3958276)",60,"['4', '5']",27,"['14', '17']",,,
102339281,Plánická,secondary,False,False,77.86,"LINESTRING (13.2972819 49.3946681, 13.2983575 49.3946832)",50,2,186,,,,
"[102339276, 1174697798]",Jiráskova,secondary,False,True,286.542,"LINESTRING (13.2972819 49.3946681, 13.2972578 49.3947397, 13.2972466 49.3947938, 13.2971275 49.3953711, 13.2970692 49.3956694, 13.2970338 49.3957987, 13.297019 49.3958529, 13.2968671 49.3963232, 13.2968435 49.396384, 13.2967012 49.396744, 13.2966104 49.3969533, 13.2965468 49.3970901, 13.2965132 49.3971174, 13.2964315 49.3971615)",50,,186,,,,
171138881,Plánická,residential,False,True,93.75300000000001,"LINESTRING (13.2972819 49.3946681, 13.2971007 49.3946631, 13.2962503 49.3946848, 13.2959873 49.3946882)",,,,,,,
329304008,Komenského,residential,False,True,62.77400000000001,"LINESTRING (13.2972819 49.3946681, 13.2972634 49.3946002, 13.2972239 49.3943629, 13.2972018 49.3942992, 13.2971824 49.394232, 13.2971468 49.3941796, 13.2971032 49.3941201)",,,,,,,
102339281,Plánická,secondary,False,True,77.86,"LINESTRING (13.2983575 49.3946832, 13.2972819 49.3946681)",50,2,186,,,,
102339278,Měchurova,residential,False,False,76.683,"LINESTRING (13.2983575 49.3946832, 13.2983574 49.3947855, 13.2983568 49.3951413, 13.2983567 49.3952099, 13.2983467 49.3953727)",,,,,,,
102339279,Šmilovského,residential,False,True,130.382,"LINESTRING (13.2983575 49.3946832, 13.2982976 49.394401, 13.2981488 49.3937007, 13.2981298 49.3936111, 13.2981097 49.3935218)",,,,,,,
102339281,Plánická,secondary,False,False,135.227,"LINESTRING (13.2983575 49.3946832, 13.29853 49.3946841, 13.2987241 49.3946887, 13.2989264 49.3947054, 13.2993268 49.3947529, 13.3002033 49.3948567)",50,2,186,,,,
36852742,Kličkova,residential,False,False,72.919,"LINESTRING (13.3002033 49.3948567, 13.3001828 49.394911, 13.3000396 49.3954202, 13.3000504 49.3954665, 13.3000704 49.3954994)",,,,,,,
36852742,Kličkova,residential,False,True,105.209,"LINESTRING (13.3002033 49.3948567, 13.3002938 49.3945398, 13.3003089 49.3944821, 13.3003356 49.3943806, 13.3004555 49.3939249)",,,,,,,
102339281,Plánická,secondary,False,True,135.227,"LINESTRING (13.3002033 49.3948567, 13.2993268 49.3947529, 13.2989264 49.3947054, 13.2987241 49.3946887, 13.29853 49.3946841, 13.2983575 49.3946832)",50,2,186,,,,
36852744,Palackého,residential,False,False,221.27700000000002,"LINESTRING (13.2964315 49.3971615, 13.2967518 49.3972071, 13.2975851 49.3972858, 13.2993801 49.3976663)",,,,,,,
245066600,Dobrovského,secondary,False,True,170.161,"LINESTRING (13.2964315 49.3971615, 13.296331 49.3972101, 13.2962144 49.3972571, 13.2960249 49.3972966, 13.2948817 49.3975068, 13.2945849 49.3975749, 13.2944417 49.3976159, 13.2942337 49.3976812)",50,2,186,,,,
