osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,maxspeed,access,lanes,junction
32449813,Jiráskova,residential,False,False,131.279,"LINESTRING (16.0327026 49.897265, 16.0340637 49.8966455, 16.0341482 49.8965533)",,,,,,
32449815,Poděbradova,secondary,False,True,116.31400000000001,"LINESTRING (16.0327026 49.897265, 16.0327112 49.8969087, 16.0326719 49.8966251, 16.0325995 49.8963837, 16.0325121 49.8962349)",305,,,,,
"[32449752, 32449753]","['Jeronýmova', 'Nábřeží']",residential,False,"[False, True]",694.1630000000001,"LINESTRING (16.0281073 49.8948013, 16.0268276 49.8938208, 16.0266367 49.8936445, 16.0266054 49.893392, 16.0266049 49.8933268, 16.0266193 49.8932339, 16.0266374 49.8931403, 16.0264583 49.8929363, 16.0263467 49.8927751, 16.0262707 49.8925414, 16.0260864 49.892318, 16.0259044 49.8921043, 16.0258236 49.8919636, 16.0257844 49.891571, 16.0258184 49.891269, 16.0258567 49.8908042, 16.0258711 49.8902772, 16.0259453 49.8899354, 16.026031 49.8896995, 16.0261299 49.8894743, 16.0262691 49.8892025, 16.0264275 49.8890956)",,,,,,
345688775,Husova,secondary,False,True,20.3,"LINESTRING (16.0281073 49.8948013, 16.0281588 49.894764, 16.0282106 49.894717, 16.0282495 49.894674, 16.0282684 49.8946519)",305,,,,,
345688777,Husova,secondary,False,False,24.478,"LINESTRING (16.0281073 49.8948013, 16.0279684 49.8949007, 16.0278728 49.8949613)",305,,,,,
"[345688777, 345688778, 603373452]",Husova,secondary,False,False,320.584,"LINESTRING (16.0278728 49.8949613, 16.0278108 49.8949878, 16.0277387 49.8950143, 16.0276549 49.8950335, 16.0275765 49.895043, 16.0274879 49.8950485, 16.0273994 49.8950471, 16.0273026 49.8950399, 16.0272268 49.8950215, 16.0271305 49.8949866, 16.0270373 49.894938, 16.0268928 49.8948497, 16.0266972 49.8947312, 16.0266362 49.8947046, 16.0265112 49.8946603, 16.0263769 49.8946155, 16.0256913 49.8944786, 16.0252135 49.8943319, 16.0243883 49.8940873, 16.0239961 49.8940043, 16.0238376 49.8939931)",305,yes,,,,
345688777,Husova,secondary,False,True,24.478,"LINESTRING (16.0278728 49.8949613, 16.0279684 49.8949007, 16.0281073 49.8948013)",305,,,,,
345688798,Pod Ptákem,residential,False,True,120.794,"LINESTRING (16.0278728 49.8949613, 16.0281396 49.895332, 16.0287818 49.8958688)",,,30,,,
9586686,Dukelská,secondary,False,True,14.358,"LINESTRING (16.0305347 49.8945167, 16.0305228 49.8946456)",356,,,,,
9586686,Dukelská,secondary,False,False,63.419,"LINESTRING (16.0305347 49.8945167, 16.0304455 49.8943201, 16.0301601 49.8940042)",356,,,,,
