osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,junction,bridge
173831074,398,secondary,50,False,True,106.933,"LINESTRING (15.9898327 48.9874594, 15.9898781 48.9874568, 15.9899373 48.9874467, 15.989999 48.9874276, 15.9900637 48.9873948, 15.9907394 48.986919, 15.9907839 48.9868977, 15.9908326 48.9868813, 15.9908884 48.9868704, 15.9909377 48.9868668)",,
810164049,361,secondary,,True,False,17.558000000000003,"LINESTRING (15.9898327 48.9874594, 15.9898332 48.9874857, 15.9898225 48.9875111, 15.9898014 48.9875335, 15.9897717 48.9875512, 15.9897357 48.9875627, 15.9896962 48.9875672)",roundabout,
309900211,361,secondary,50,False,True,180.315,"LINESTRING (15.9873341 48.9886333, 15.9861535 48.9890851, 15.9860946 48.9891306, 15.9860507 48.9891895, 15.9859503 48.9893594, 15.9857426 48.9897538)",,
643337015,,residential,,False,True,203.18400000000003,"LINESTRING (15.9873341 48.9886333, 15.9863463 48.9888745, 15.9859947 48.9890026, 15.985716 48.9892216, 15.9855551 48.9894925, 15.9856296 48.9896685, 15.9857426 48.9897538)",,
517185083,361,secondary,50,False,False,52.993,"LINESTRING (15.9873341 48.9886333, 15.9876318 48.9884928, 15.9879117 48.9883447)",,
810164056,,residential,,False,True,7.711,"LINESTRING (15.9925374 48.9877873, 15.9925209 48.9878558)",,
1217570416,398,secondary,50,False,False,72.33,"LINESTRING (15.9925374 48.9877873, 15.992471 48.9877684, 15.9924073 48.9877434, 15.9918062 48.987354)",,
1217570416,398,secondary,50,False,True,12.527,"LINESTRING (15.9925374 48.9877873, 15.9926134 48.9878013, 15.9926684 48.9878069, 15.9927054 48.9878086)",,
45401854,,residential,,False,False,115.989,"LINESTRING (15.9889367 48.9867832, 15.9887411 48.987049, 15.9885207 48.9872399, 15.9882791 48.9874076, 15.9879919 48.9876115)",,
83091564,361,secondary,,False,False,112.798,"LINESTRING (15.9889367 48.9867832, 15.9889238 48.9865885, 15.9889188 48.9864941, 15.9888933 48.9864006, 15.9885567 48.9858105)",,
