osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,bridge,junction,access,width
28922083,True,Dlouhá,living_street,False,53.135999999999996,"LINESTRING (15.8344869 50.2106583, 15.8340513 50.2106561, 15.8337499 50.2106068)",,,,,,
25491645,True,Tomkova,living_street,False,35.304,"LINESTRING (15.8344234 50.2102374, 15.8339416 50.2101617)",,,,,,
25491648,True,Úzká,living_street,False,47.02,"LINESTRING (15.8344234 50.2102374, 15.8344869 50.2106583)",,,,,,
25491649,True,Klicperova,living_street,False,51.452,"LINESTRING (15.8337499 50.2106068, 15.8338561 50.2101491)",,,,,,
28922083,True,Dlouhá,living_street,False,23.479,"LINESTRING (15.8337499 50.2106068, 15.8334274 50.2105622)",,,,,,
25491646,True,Špitálská,living_street,False,7.592,"LINESTRING (15.8327719 50.2100984, 15.8326683 50.2100821)",,,,,,
25491646,True,Špitálská,living_street,False,45.383,"LINESTRING (15.8327978 50.2105062, 15.8327719 50.2100984)",,,,,,
"[28922203, 28922083, 25491644]",True,"['Zieglerova', 'Tomkova', 'Dlouhá']",living_street,False,181.986,"LINESTRING (15.8327978 50.2105062, 15.8319966 50.2105258, 15.8318665 50.210344, 15.8316779 50.2100806, 15.8326683 50.2100821)",,,,,,
28922124,True,V Kopečku,residential,False,106.722,"LINESTRING (15.8312473 50.2099524, 15.8311397 50.2100194, 15.8305894 50.2103694, 15.8305318 50.210406, 15.8304286 50.2104716, 15.8301824 50.2106282)",,,,,,
176605083,False,Československé armády,tertiary,False,9.995,"LINESTRING (15.8382098 50.2100215, 15.8382765 50.2101006)",2,,,,,
"[28922095, 25491643, 23347655]",True,"['Mýtská', 'Malé náměstí']",residential,False,185.844,"LINESTRING (15.8382098 50.2100215, 15.8379909 50.2100627, 15.8378819 50.2100882, 15.837315 50.2102604, 15.8369587 50.2103461, 15.8368231 50.2103507, 15.8365934 50.2103228, 15.8364452 50.2102866, 15.8362246 50.2102143, 15.8360303 50.2101068, 15.835844 50.2100246)",,,,,,
25491652,False,Komenského,tertiary,False,18.066,"LINESTRING (15.8382098 50.2100215, 15.8381374 50.2099379, 15.8380867 50.2098794)",2,,,,,
176605083,False,Československé armády,tertiary,True,9.995,"LINESTRING (15.8382765 50.2101006, 15.8382098 50.2100215)",2,,,,,
176605083,False,Československé armády,tertiary,False,82.004,"LINESTRING (15.8382765 50.2101006, 15.8383334 50.2101887, 15.838347 50.2102467, 15.8383472 50.2103012, 15.8383049 50.2105265, 15.8382645 50.2106621, 15.8381973 50.2108204)",2,,,,,
28090329,False,Pospíšilova,residential,False,69.85600000000001,"LINESTRING (15.8377357 50.2114401, 15.837937 50.2114927, 15.8385369 50.2117957)",,,,,,
"[965529979, 207973070]",False,Československé armády,tertiary,False,70.563,"LINESTRING (15.8377357 50.2114401, 15.8376074 50.2115429, 15.8374625 50.2116362, 15.837307 50.2117289, 15.8371233 50.2118308, 15.8370277 50.2118822)","['2', '4']",,,,,
757303224,False,Československé armády,tertiary,True,76.407,"LINESTRING (15.8377357 50.2114401, 15.837818 50.2113401, 15.8380045 50.2111136, 15.8381973 50.2108204)",4,,,,,
207959673,False,Československé armády,tertiary,False,66.607,"LINESTRING (15.8360003 50.2122332, 15.835608 50.2122839, 15.8350741 50.2123129)",2,,,,,
207959673,False,Československé armády,tertiary,True,83.099,"LINESTRING (15.8360003 50.2122332, 15.8363988 50.2121223, 15.8367035 50.2120198, 15.8370277 50.2118822)",2,,,,,
26316819,False,Opletalova,residential,False,78.35499999999999,"LINESTRING (15.8350741 50.2123129, 15.8350695 50.2126525, 15.8350788 50.2129696, 15.8350794 50.2130175)",2,,,,,
