osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,tunnel,junction
222536358,Vodňanská,residential,50,False,True,87.999,"LINESTRING (14.0034624 49.0153351, 14.003243 49.0152737, 14.0025179 49.0150968, 14.0023376 49.015049)",,,,
268980169,Vodňanská,secondary,,False,True,76.076,"LINESTRING (14.0034624 49.0153351, 14.0034711 49.015428, 14.0035233 49.0155517, 14.0036209 49.0158786, 14.0036351 49.0160079)",141,,,
"[690013776, 690013777, 680338523, 36962979]",Nemocniční,secondary,50,False,False,129.086,"LINESTRING (14.0034624 49.0153351, 14.0034917 49.0152592, 14.003503 49.0152139, 14.0036071 49.0148317, 14.0036262 49.0147539, 14.0036901 49.0146381, 14.0038187 49.014473, 14.0039903 49.0142374)",141,3,,
680338524,Vodňanská,secondary,,False,False,134.47899999999998,"LINESTRING (14.0041138 49.0172588, 14.0038917 49.0169836, 14.0036491 49.0166561, 14.0036034 49.0165874, 14.0035759 49.0165218, 14.0035665 49.0164537, 14.0035711 49.0163923, 14.0036226 49.0161334)",141,,,
"[777663744, 222542979]",Krumlovská,secondary,,False,False,19.163,"LINESTRING (14.0014809 49.009353, 14.0015137 49.009325, 14.0016347 49.0092133)",143,,,
367464653,Krumlovská,secondary,50,False,False,31.019999999999996,"LINESTRING (14.0014809 49.009353, 14.0012591 49.0094959, 14.0012497 49.009502, 14.0011808 49.0095506)",143,2,,
36894173,Slámova,residential,,False,False,124.52700000000002,"LINESTRING (14.0027683 49.0139654, 14.0027295 49.014064, 14.0025366 49.0145549, 14.0024545 49.0147637, 14.0023764 49.014942, 14.0023376 49.015049)",,,,
"[36962984, 777663746]",Slámova,secondary,50,False,False,172.00400000000002,"LINESTRING (14.0027683 49.0139654, 14.0028367 49.0137848, 14.0028661 49.0136755, 14.0028724 49.0136222, 14.002868 49.0135585, 14.0028423 49.0134618, 14.002802 49.0133468, 14.0026786 49.0129711, 14.0025648 49.0126319, 14.0025052 49.0124513)",143,"['2', '3']",,
"[222376952, 24562634]",Zvolenská,secondary,50,False,True,82.672,"LINESTRING (14.0027683 49.0139654, 14.0034747 49.0140932, 14.0036434 49.0141197, 14.0038689 49.0141386)",143,3,,
833568951,Zvolenská,tertiary,,False,True,124.60700000000001,"LINESTRING (14.0027683 49.0139654, 14.0025957 49.0139359, 14.0020002 49.0138339, 14.0015048 49.0137491, 14.0011151 49.0136824)",14130,,,
36962985,Zvolenská,tertiary,,False,True,95.94,"LINESTRING (14.0011151 49.0136824, 14.0008748 49.0136769, 14.0007217 49.0136828, 14.0004422 49.0137117, 14.0001991 49.0137639, 14.0000205 49.0138127, 13.999855 49.0138732)",14130,,,
833568951,Zvolenská,tertiary,,False,False,124.60700000000001,"LINESTRING (14.0011151 49.0136824, 14.0015048 49.0137491, 14.0020002 49.0138339, 14.0025957 49.0139359, 14.0027683 49.0139654)",14130,,,
"[36966788, 688292173, 305607557]",Malé náměstí,tertiary,50,False,False,51.697,"LINESTRING (13.9992399 49.0141034, 13.9993476 49.0140547, 13.9996561 49.0139406, 13.9997891 49.0138956, 13.999855 49.0138732)",14130,,,
37035051,Hradební,residential,,False,True,88.539,"LINESTRING (13.9992399 49.0141034, 13.9991437 49.014092, 13.9990303 49.0141008, 13.998799 49.0141352, 13.9985946 49.0141912, 13.9983195 49.0142802, 13.9982387 49.0143056, 13.9980956 49.0143278)",,,,
166827130,Pivovarská,tertiary,50,False,True,192.628,"LINESTRING (13.9992399 49.0141034, 13.9991401 49.0141712, 13.9991064 49.0142424, 13.9990334 49.0143956, 13.9990088 49.0144655, 13.9988349 49.0149586, 13.9986243 49.0153568, 13.9984806 49.015612, 13.9984516 49.0156634, 13.9983913 49.0157293)",14130,,,
222540139,U Stadionu,residential,,False,True,61.826,"LINESTRING (14.0019627 49.0116118, 14.0021486 49.0115241, 14.0025119 49.0113505, 14.0026209 49.0112656)",,,,
"[548317323, 437358039]",Slámova,secondary,50,False,False,145.88899999999995,"LINESTRING (14.0019627 49.0116118, 14.0017768 49.0114547, 14.0016443 49.0113575, 14.0014752 49.0112495, 14.001232 49.0111053, 14.0009426 49.0109572, 14.0008497 49.010912, 14.0007504 49.0108795, 14.0006782 49.010854, 14.0005795 49.0108374, 14.0004227 49.0108352)",143,2,,
