osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,width,access,tunnel
24565740,1,14;16,Úpské nábřeží,primary,50,roundabout,True,False,13.300999999999998,"LINESTRING (15.917876 50.5628281, 15.9178258 50.5628521, 15.9177665 50.562865, 15.9177037 50.5628656)",,,,
"[1180139208, 1110393885]",3,14;16,Pražská,primary,50,,False,True,76.12100000000001,"LINESTRING (15.909293 50.558972, 15.9092261 50.558943, 15.9089601 50.5588279, 15.9086577 50.5586971, 15.9085375 50.5586435, 15.9084048 50.5585844)",,,,
"[1180139209, 24676563]","['4', '3']",14;16,Pražská,primary,50,,False,False,104.828,"LINESTRING (15.909293 50.558972, 15.9095585 50.5590784, 15.909817 50.559182, 15.9100244 50.5592363, 15.910245 50.559283, 15.9103983 50.559309, 15.9105751 50.5593295, 15.9106439 50.5593341)",,,,
237189524,3,14;16,Na Struze,primary,50,,False,True,30.157,"LINESTRING (15.9171633 50.5615083, 15.9169448 50.5612753)",,,,
817586895,,,,residential,,,True,False,29.705,"LINESTRING (15.9171633 50.5615083, 15.9170437 50.5614721, 15.9168734 50.5614397, 15.9167715 50.5614129)",,,,
1007420453,2,14;16,Na Struze,primary,50,,False,False,85.36500000000001,"LINESTRING (15.9171633 50.5615083, 15.9172038 50.561558, 15.9173778 50.5617712, 15.9174405 50.5618847, 15.9174827 50.5619998, 15.9175207 50.5620981, 15.9175602 50.5622276)",,,,
237189515,2,14;16,Pražská,primary,50,,False,False,21.877,"LINESTRING (15.9069572 50.5583307, 15.9072661 50.5583448)",,,,
420304744,2,,Na Struze,residential,,,False,False,23.209,"LINESTRING (15.9126366 50.5594701, 15.9127 50.5592653)",,,,
"[234919603, 229919860, 1180139213, 24676567]","['2', '4', '3']",14;16,"['Pražská', 'Na Struze']",primary,50,,False,False,368.733,"LINESTRING (15.9126366 50.5594701, 15.9129746 50.5595452, 15.9132701 50.5596394, 15.9138684 50.5598561, 15.9148586 50.5602228, 15.9153683 50.5604086, 15.9158381 50.5605915, 15.9160913 50.5606991, 15.9163365 50.5608245, 15.9165292 50.5609363, 15.9166189 50.5609983, 15.9167075 50.5610642, 15.9168038 50.5611462, 15.9169448 50.5612753)",,,,
"[1180139210, 1180139212]",3,14;16,Pražská,primary,50,,False,True,141.781,"LINESTRING (15.9126366 50.5594701, 15.9124002 50.5594362, 15.9123488 50.5594313, 15.912112 50.5594085, 15.911671 50.559379, 15.911385 50.55937, 15.911083 50.55936, 15.9108993 50.5593518, 15.9106439 50.5593341)",,,,
24565740,1,14;16,Úpské nábřeží,primary,50,roundabout,True,False,35.446,"LINESTRING (15.9176975 50.562614, 15.9177602 50.5626134, 15.9178202 50.5626251, 15.9178715 50.562648, 15.9179092 50.5626799, 15.9179295 50.5627176, 15.9179305 50.5627574, 15.9179121 50.5627955, 15.917876 50.5628281)",,,,
"[24588016, 24588017, 1007420453]",2,14;16,Na Struze,primary,50,,False,True,44.097,"LINESTRING (15.9176975 50.562614, 15.9176916 50.5625702, 15.9176168 50.5623751, 15.9176092 50.5623554, 15.9175602 50.5622276)",yes,,,
360681872,,,Palackého,residential,,,True,False,59.127,"LINESTRING (15.9109332 50.5602226, 15.9101624 50.5600153)",,,,
1152510831,,,Pražská,residential,,,True,False,44.544,"LINESTRING (15.9109332 50.5602226, 15.9111516 50.5598468)",,,,
"[1110393883, 237189523]",,,Žižkova,residential,,,False,False,58.551,"LINESTRING (15.9068498 50.5590344, 15.9070026 50.5589576, 15.907347 50.5587788, 15.9074935 50.5587027)",,,,
24519514,,3012,Úpická,tertiary,,,False,False,32.655,"LINESTRING (15.9080923 50.5583321, 15.9081414 50.558316, 15.908181 50.5583071, 15.9084553 50.5582598, 15.9085299 50.5582401)",,,,
1042142284,1,14;16,Pražská,primary,50,roundabout,True,False,16.655,"LINESTRING (15.9080923 50.5583321, 15.9081183 50.5583657, 15.908129 50.5584025, 15.9081234 50.5584398, 15.908102 50.5584747)",,6,,
24519287,2,,Komenského,residential,,,False,True,78.106,"LINESTRING (15.9070046 50.5619463, 15.9069242 50.5618121, 15.9068397 50.5617167, 15.9063939 50.5613678)",,,,
