osmid,ref,highway,maxspeed,oneway,reversed,length,name,geometry,junction,access,lanes
48143354,49027,tertiary,50,False,False,35.29,Mariánské nám.,"LINESTRING (17.6449282 49.0253791, 17.6449416 49.0253862, 17.644952 49.0253938, 17.6449698 49.0254172, 17.6449826 49.0254411, 17.6449878 49.0254653, 17.6449962 49.0255867, 17.6450028 49.0256091, 17.6450166 49.0256301, 17.6450344 49.0256541, 17.6450617 49.025673)",,,
27777501,49027,tertiary,50,False,False,95.633,Svatopluka Čecha,"LINESTRING (17.6423041 49.025608, 17.6420758 49.0256462, 17.6419952 49.0256651, 17.6419093 49.0256908, 17.641772 49.0257384, 17.6415262 49.0258282, 17.6412999 49.0259173, 17.6411323 49.0259831)",,,
36886552,,residential,,False,False,99.58699999999999,Weberova,"LINESTRING (17.6423041 49.025608, 17.6423968 49.0259809, 17.6425106 49.0263262, 17.6425629 49.0264871)",,,
48143340,49027,tertiary,50,False,False,72.949,Hradišťská,"LINESTRING (17.6423041 49.025608, 17.6427729 49.0255527, 17.6432895 49.0254945)",,,
88738521,49714,tertiary,50,False,False,383.838,Horní Valy,"LINESTRING (17.6481673 49.0280211, 17.6482788 49.0280035, 17.6483909 49.0279765, 17.6485704 49.0279203, 17.6486674 49.0278809, 17.6487761 49.0278111, 17.6488601 49.027734, 17.6489436 49.0276404, 17.6499236 49.0260072, 17.6504125 49.025198, 17.6505069 49.0250453)",,,2
88738521,49714,tertiary,50,False,True,22.614,Horní Valy,"LINESTRING (17.6481673 49.0280211, 17.6480083 49.0280366, 17.6478597 49.0280468)",,,2
222670437,,residential,,False,False,31.404000000000003,,"LINESTRING (17.6481673 49.0280211, 17.6480943 49.028159, 17.6480452 49.0282916)",,,
27777523,05019,tertiary,50,False,True,85.97699999999999,Pod Valy,"LINESTRING (17.6476126 49.0211476, 17.6480373 49.0211342, 17.6481945 49.0211413, 17.6483406 49.0211551, 17.648492 49.0211788, 17.6485418 49.0211922, 17.6486445 49.0212199, 17.6487537 49.0212639)",,,
101755781,05019,tertiary,50,True,False,105.896,Pod Valy,"LINESTRING (17.6476126 49.0211476, 17.647873 49.021112, 17.6481769 49.0210907, 17.6484677 49.0210833, 17.6486324 49.0210763, 17.6487391 49.0210563, 17.6490326 49.0209839)",,,
159698582,05019,tertiary,50,False,False,31.668,Pod Valy,"LINESTRING (17.6476126 49.0211476, 17.6474189 49.0211666, 17.6471845 49.0211952)",,,
36886521,,tertiary,50,False,True,43.628,Mariánské náměstí,"LINESTRING (17.6456726 49.0256907, 17.6458253 49.0257453, 17.6459447 49.0257971, 17.6460466 49.0258675, 17.6461186 49.025941)",,,
211443929,49027,tertiary,50,False,True,45.344,Mariánské náměstí,"LINESTRING (17.6456726 49.0256907, 17.6452166 49.0257042, 17.6451541 49.0257011, 17.6451203 49.0256941, 17.6450882 49.0256855, 17.6450617 49.025673)",,,
36886522,,residential,50,False,True,58.918,Komenského,"LINESTRING (17.6449248 49.0248522, 17.6449286 49.0249393, 17.6449532 49.0252711, 17.6449515 49.0253291, 17.6449416 49.0253589, 17.6449282 49.0253791)",,,
"[333626339, 36886534]",,residential,50,True,False,159.098,Masarykovo nám.,"LINESTRING (17.6449248 49.0248522, 17.6460772 49.0247887, 17.646824 49.0247411, 17.6469792 49.0247322, 17.6470984 49.0247273)",,,
417636414,,residential,50,False,True,44.994,Masarykovo náměstí,"LINESTRING (17.6449248 49.0248522, 17.644877 49.0247567, 17.6448443 49.0246633, 17.6448152 49.0245422, 17.6448025 49.0244569)",,,
48143360,,residential,50,False,False,4.588,Masarykovo náměstí,"LINESTRING (17.6447598 49.0244266, 17.6448025 49.0244569)",,,
36886531,,residential,50,True,False,118.181,Nerudova,"LINESTRING (17.6447598 49.0244266, 17.64418 49.0244795, 17.6435588 49.0245449, 17.643163 49.024605)",,,
48203557,,residential,,False,False,110.188,Naardenská,"LINESTRING (17.6460001 49.0224515, 17.6460044 49.0227947, 17.6459927 49.0231638, 17.6459958 49.0232056, 17.6459998 49.0234423)",,,
"[435769520, 48143357, 435769519]",,residential,50,True,False,176.29199999999997,"['Komenského', 'Seichertova']","LINESTRING (17.6460001 49.0224515, 17.6456601 49.0224463, 17.6454605 49.0224747, 17.6452998 49.0225055, 17.6451105 49.0225662, 17.6447915 49.0227181, 17.6446766 49.0227799, 17.644687 49.0234044)",,,
48143356,,residential,50,True,False,98.58699999999999,Bří Lužů,"LINESTRING (17.6476815 49.0225765, 17.6477539 49.0222666, 17.6478098 49.0220926, 17.6478953 49.0218944, 17.6479856 49.0217146)",,,
48203558,,residential,50,True,False,70.806,Seichertova,"LINESTRING (17.6476815 49.0225765, 17.647611 49.0225491, 17.6468746 49.022494, 17.6467271 49.0224868)",,,
"[711110090, 85526141]",,residential,50,True,False,142.53,Prim. Hájka,"LINESTRING (17.650495 49.0228359, 17.6503667 49.0228213, 17.6495709 49.0227287, 17.6494854 49.0227197, 17.6493003 49.0227, 17.6487938 49.0226726, 17.6485605 49.0226617)",,,
224456720,,residential,,False,False,72.991,,"LINESTRING (17.650495 49.0228359, 17.6504843 49.022693, 17.6504515 49.0226349, 17.6504124 49.0225739, 17.650365 49.0225353, 17.6503146 49.0224999, 17.6502326 49.0224723, 17.6499091 49.0223921)",,,
36886524,,residential,50,True,False,91.175,U Fortny,"LINESTRING (17.650445 49.0236519, 17.6505012 49.0233699, 17.6505286 49.0230807, 17.650495 49.0228359)",,,
36886528,,residential,,True,False,173.23700000000002,Tkalcovská,"LINESTRING (17.650445 49.0236519, 17.6494766 49.0235103, 17.6493475 49.0234915, 17.6487355 49.0234368, 17.6481033 49.0234077)",,,
"[48145128, 1204375070]",49027,tertiary,50,True,False,207.81100000000004,Moravská,"LINESTRING (17.6499544 49.0250371, 17.649752 49.0250411, 17.6472745 49.0250597, 17.6472424 49.0250602, 17.6471046 49.0250621)",,,
87543309,,residential,50,False,True,17.556,U Fortny,"LINESTRING (17.6499544 49.0250371, 17.6499738 49.0249785, 17.6500047 49.0248827)",,,
542314672,49027,tertiary,50,False,False,40.331,Moravská,"LINESTRING (17.6499544 49.0250371, 17.650251 49.0250355, 17.6503943 49.0250378, 17.6505069 49.0250453)",,,
87543309,,residential,50,False,False,50.58,U Fortny,"LINESTRING (17.6501723 49.0244413, 17.6500047 49.0248827)",,,
36886524,,residential,50,True,False,90.006,U Fortny,"LINESTRING (17.6501723 49.0244413, 17.6502826 49.0241403, 17.650445 49.0236519)",,,
48143356,,residential,50,True,False,90.408,Bří Lužů,"LINESTRING (17.647259 49.0242051, 17.647482 49.0234053)",,,
36886525,,residential,50,True,False,214.799,Soukenická,"LINESTRING (17.647259 49.0242051, 17.6474269 49.0242093, 17.6480998 49.0242183, 17.6491615 49.0242869, 17.6497293 49.0243684, 17.6501723 49.0244413)",,,
48203559,,residential,50,True,False,169.116,Masarykovo nám.,"LINESTRING (17.6471185 49.0243758, 17.6462741 49.0244031, 17.6460252 49.0244105, 17.6455979 49.0244265, 17.6450458 49.0244498, 17.6448025 49.0244569)",,,
1204374592,,residential,50,True,False,22.883000000000003,Bří Lužů,"LINESTRING (17.6471185 49.0243758, 17.6471787 49.0243564, 17.6472148 49.0243191, 17.647259 49.0242051)",,,
84587192,,residential,,False,False,57.914,U Elektrárny,"LINESTRING (17.6479856 49.0217146, 17.648331 49.0212456)",,yes,
36886527,,residential,,True,False,122.44200000000001,Dolní Valy,"LINESTRING (17.6479856 49.0217146, 17.6481113 49.0216791, 17.6481241 49.0216755, 17.6482797 49.0216597, 17.6485951 49.021675, 17.6494834 49.0218109, 17.6496216 49.0217881)",,,
