osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,junction,bridge
30968804,True,Tkalcovská,residential,False,95.937,,,"LINESTRING (15.5061706 50.6064598, 15.5061522 50.6055971)",,
289928184,False,Tkalcovská,residential,False,82.538,,,"LINESTRING (15.5061706 50.6064598, 15.5062788 50.6071989)",,
"[289928185, 695034882]",False,Žižkova,secondary,False,80.56700000000001,286,50,"LINESTRING (15.5061706 50.6064598, 15.5062883 50.6064565, 15.5064535 50.6064518, 15.5067746 50.6064478, 15.5071881 50.6064426, 15.5073118 50.6064447)",,
289928185,False,Žižkova,secondary,True,150.028,286,50,"LINESTRING (15.5061706 50.6064598, 15.5060595 50.6064618, 15.5055464 50.6064715, 15.5051712 50.6064732, 15.5047904 50.6064686, 15.504451 50.6064558, 15.5041637 50.6064409, 15.5040469 50.6064349)",,
50437218,False,Jaroslava Havlíčka,residential,False,95.376,,,"LINESTRING (15.5073118 50.6064447, 15.5072802 50.6055872)",,
44704984,False,Ke Stadionu,residential,True,147.373,,,"LINESTRING (15.5073118 50.6064447, 15.5073286 50.6070824, 15.5072556 50.6071249, 15.5069066 50.607162, 15.5068235 50.6071669, 15.5062788 50.6071989)",,
695034882,False,Žižkova,secondary,False,69.496,286,50,"LINESTRING (15.5073118 50.6064447, 15.5075693 50.6064551, 15.5078987 50.6064868, 15.5082904 50.6065114)",,
"[289928185, 695034882]",False,Žižkova,secondary,True,80.56700000000001,286,50,"LINESTRING (15.5073118 50.6064447, 15.5071881 50.6064426, 15.5067746 50.6064478, 15.5064535 50.6064518, 15.5062883 50.6064565, 15.5061706 50.6064598)",,
9521513,True,,secondary,False,15.707,286,50,"LINESTRING (15.5096474 50.6067033, 15.5096816 50.6066754, 15.5097266 50.6066546, 15.5097789 50.6066425, 15.5098343 50.60664)",roundabout,
"[44618160, 9520958, 821895174, 44618159]",False,"['286-012A', 'Žižkova']",secondary,False,42.897000000000006,286,50,"LINESTRING (15.5096474 50.6067033, 15.5095465 50.6066659, 15.5094621 50.6066411, 15.5093537 50.6066212, 15.5092731 50.6066095, 15.509173 50.6065985, 15.5090733 50.6065886)",,yes
30968794,False,Na Vrších,residential,True,19.07,,,"LINESTRING (15.5096536 50.6076596, 15.5098864 50.6077467)",,
