osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,bridge,geometry,tunnel
"[130445804, 651604330, 44074564, 44014039]",False,2,34,"['Adámkova třída', 'Poděbradovo náměstí']",primary,50,True,76.245,yes,"LINESTRING (15.9074338 49.7612372, 15.907144 49.7612436, 15.9070561 49.7612434, 15.9069911 49.7612409, 15.9069387 49.7612337, 15.906892 49.7612215, 15.9068533 49.7612051, 15.906762 49.7611547, 15.9067324 49.7611369, 15.906555 49.7610337, 15.9065044 49.7610034)",
130445801,False,2,34,Adámkova třída,primary,50,False,80.534,,"LINESTRING (15.9074338 49.7612372, 15.9078008 49.761222, 15.9078877 49.7612211, 15.9079856 49.7612247, 15.9080771 49.7612341, 15.908367 49.7612745, 15.9085412 49.7613018)",
24318074,False,,343,Faráře Toufara,secondary,50,True,152.485,,"LINESTRING (15.902908 49.763343, 15.902883 49.7633337, 15.9021923 49.7630843, 15.9021307 49.763062, 15.9020153 49.7630203, 15.901879 49.762971, 15.9011276 49.7626784, 15.9010707 49.7626563)",
43306302,False,,343,Karla Lidického,secondary,50,False,62.361000000000004,,"LINESTRING (15.902908 49.763343, 15.903326 49.763495, 15.9033884 49.7635141, 15.9036825 49.7635947)",
24317724,False,2,343,Wilsonova,secondary,50,True,58.173,,"LINESTRING (15.9078045 49.7631025, 15.9075409 49.7631962, 15.9074064 49.7632381, 15.9070893 49.7633478)",
130445811,True,,,Komenského,residential,,False,71.51,,"LINESTRING (15.9078045 49.7631025, 15.9077989 49.7630512, 15.9076827 49.7624643)",
240417725,False,,343,Wilsonova,secondary,50,False,29.868,,"LINESTRING (15.9078045 49.7631025, 15.9081144 49.762999, 15.9081699 49.7629748)",
136451260,False,,343,Resslova,secondary,50,False,41.741,,"LINESTRING (15.9108195 49.7612187, 15.9112694 49.7609811)",
28752375,False,,,Šafaříkova,residential,,False,137.95499999999998,,"LINESTRING (15.9108195 49.7612187, 15.9108671 49.7612574, 15.9114224 49.7617066, 15.9120154 49.7621895)",
"[623424114, 148511023]",False,,343,Resslova,secondary,50,True,88.163,,"LINESTRING (15.9108195 49.7612187, 15.9107787 49.7612419, 15.9104302 49.7614152, 15.9100168 49.7617095, 15.9099375 49.761766)",
