osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,junction,bridge
1020443715,SH 30,Awakino Road,primary,False,False,21.15,"LINESTRING (175.1681494 -38.3374316, 175.1679691 -38.3375588)",,,,
50114390,,Lawrence Street,unclassified,False,False,68.494,"LINESTRING (175.1681494 -38.3374316, 175.16827 -38.3373708, 175.168532 -38.3372529, 175.1688448 -38.3371486)",,,,
"[1020443716, 1020443719]",SH 30,Waitete Road,primary,True,False,82.967,"LINESTRING (175.1681494 -38.3374316, 175.1682599 -38.3374653, 175.1682993 -38.3374879, 175.1683603 -38.3375412, 175.1684328 -38.3376152, 175.1685532 -38.3377262, 175.1687982 -38.337962)",,,,
1020443722,,Rora Street,unclassified,False,True,28.375,"LINESTRING (175.1681494 -38.3374316, 175.1680962 -38.3373702, 175.1679601 -38.3372241)",,,,
"[137624734, 812870935]",SH 3,Carroll Street,trunk,False,False,92.81,"LINESTRING (175.1672745 -38.3380728, 175.1672172 -38.3380316, 175.1669919 -38.3378462, 175.1668402 -38.3376962, 175.1665704 -38.3374481)",50,,,
"[1020443721, 1020443723, 137624743]",SH 30,Awakino Road,primary,False,True,83.30600000000001,"LINESTRING (175.1672745 -38.3380728, 175.1673553 -38.3380069, 175.1675484 -38.337864, 175.1678448 -38.3376454, 175.1678793 -38.3376215, 175.1679175 -38.3375952, 175.1679691 -38.3375588)",,,,
26791142,,Alexandra Street,unclassified,False,False,104.306,"LINESTRING (175.161964 -38.3316999, 175.1620057 -38.331668, 175.1620473 -38.3316361, 175.162883 -38.3311002)",,,,
137624741,,Rora Street,unclassified,False,False,103.12,"LINESTRING (175.161964 -38.3316999, 175.1624794 -38.3321466, 175.1625538 -38.3322111, 175.1627573 -38.3323875)",,,,
"[819888139, 137624741]",,Rora Street,unclassified,False,True,210.49,"LINESTRING (175.161964 -38.3316999, 175.161421 -38.331231, 175.1612425 -38.3310769, 175.1607009 -38.3305908, 175.1605801 -38.3304877, 175.1605225 -38.3304448, 175.1604568 -38.3304019, 175.1603816 -38.3303747, 175.1602953 -38.3303522)",,,,
26791141,,King Street East,unclassified,False,True,21.579,"LINESTRING (175.1645192 -38.3339065, 175.1643411 -38.3340412)",,,,
26791141,,King Street East,unclassified,False,False,97.013,"LINESTRING (175.1645192 -38.3339065, 175.1645618 -38.3338751, 175.1646117 -38.3338386, 175.1653189 -38.3333954, 175.1653786 -38.3333532)",,,,
137624740,,Rora Street,unclassified,False,False,237.67200000000003,"LINESTRING (175.1645192 -38.3339065, 175.1656437 -38.3349796, 175.1658554 -38.3351796, 175.166247 -38.3355593)",,2,,
137624741,,Rora Street,unclassified,False,True,228.355,"LINESTRING (175.1645192 -38.3339065, 175.1642293 -38.3336558, 175.1627573 -38.3323875)",,,,
814842957,,,residential,True,False,11.808,"LINESTRING (175.165518 -38.3332679, 175.1655318 -38.3332862, 175.1655379 -38.3333069, 175.1655357 -38.333328, 175.1655255 -38.3333477, 175.1655081 -38.333364)",,,roundabout,
