osmid,lanes,name,highway,oneway,reversed,length,bridge,geometry,ref,maxspeed
243664876,2,Itchen Street,tertiary,False,False,16.885,,"LINESTRING (170.9686418 -45.1020948, 170.9688515 -45.1021287)",,
"[196964794, 196964785, 19778242]",2,Thames Street,tertiary,True,False,146.103,yes,"LINESTRING (170.9686418 -45.1020948, 170.968821 -45.1017276, 170.9688347 -45.1016972, 170.9689458 -45.1014797, 170.9692502 -45.1008976, 170.9692703 -45.1008581)",,
24707049,,Tees Street,residential,False,False,240.90699999999998,,"LINESTRING (170.9686418 -45.1020948, 170.9686246 -45.1021542, 170.9680276 -45.1042175)",,
"[779455802, 19778278]",2,Itchen Street,tertiary,False,True,130.214,,"LINESTRING (170.9686418 -45.1020948, 170.9685657 -45.102082, 170.9685062 -45.1020702, 170.9684454 -45.1020481, 170.9672304 -45.1014887)",,
"[1171306233, 23948794]",,Tyne Street,residential,False,False,208.778,,"LINESTRING (170.9701301 -45.1023719, 170.970106 -45.1024173, 170.9700308 -45.102683, 170.9695916 -45.10421)",,
"[689547305, 24707210, 196964787]",,Humber Street,residential,False,"[False, True]",401.632,yes,"LINESTRING (170.9701301 -45.1023719, 170.9701837 -45.1023009, 170.9702392 -45.1022234, 170.9703005 -45.1021267, 170.9703575 -45.1020318, 170.9704755 -45.1018192, 170.9705493 -45.1017113, 170.9710775 -45.1009862, 170.9712898 -45.1006745, 170.9717848 -45.0999554, 170.9719717 -45.0997284, 170.9721528 -45.0995108, 170.9724518 -45.0991571)",,
"[779455803, 243664876]",2,Itchen Street,tertiary,False,True,104.46000000000001,,"LINESTRING (170.9701301 -45.1023719, 170.9700712 -45.1023534, 170.969968 -45.102317, 170.9698624 -45.1022838, 170.9697417 -45.1022561, 170.9696179 -45.1022328, 170.9691313 -45.1021667, 170.9688515 -45.1021287)",,
19778278,2,Itchen Street,tertiary,False,False,31.095,,"LINESTRING (170.9639021 -45.0999196, 170.9640211 -45.0999832, 170.9642219 -45.1000846)",,
"[158298786, 243664869, 243664870, 243664871, 243664872]",2,Severn Street,trunk,False,"[False, True]",190.31000000000003,yes,"LINESTRING (170.9639021 -45.0999196, 170.9645836 -45.0997054, 170.964974 -45.0995756, 170.9652534 -45.0994774, 170.9657618 -45.0992999, 170.9659883 -45.0992215, 170.9660919 -45.0991854)",SH 1,50
24706387,,Wansbeck Street,residential,False,False,119.989,,"LINESTRING (170.9680276 -45.1042175, 170.9665239 -45.1040226)",,
24707049,,Tees Street,residential,False,True,240.90699999999998,,"LINESTRING (170.9680276 -45.1042175, 170.9686246 -45.1021542, 170.9686418 -45.1020948)",,
24706387,,Wansbeck Street,residential,False,False,121.003,,"LINESTRING (170.9665239 -45.1040226, 170.9650101 -45.1038163)",,
24706387,,Wansbeck Street,residential,False,True,119.989,,"LINESTRING (170.9665239 -45.1040226, 170.9680276 -45.1042175)",,
24707131,2,Wharfe Street,tertiary,False,False,287.162,,"LINESTRING (170.9665239 -45.1040226, 170.9672304 -45.1014887)",,
243664876,2,Itchen Street,tertiary,False,True,16.885,,"LINESTRING (170.9688515 -45.1021287, 170.9686418 -45.1020948)",,
"[779455803, 243664876]",2,Itchen Street,tertiary,False,False,104.46000000000001,,"LINESTRING (170.9688515 -45.1021287, 170.9691313 -45.1021667, 170.9696179 -45.1022328, 170.9697417 -45.1022561, 170.9698624 -45.1022838, 170.969968 -45.102317, 170.9700712 -45.1023534, 170.9701301 -45.1023719)",,
19778278,2,Itchen Street,tertiary,False,True,130.437,,"LINESTRING (170.9672304 -45.1014887, 170.9658485 -45.1008371)",,
24707131,2,Wharfe Street,tertiary,False,True,287.162,,"LINESTRING (170.9672304 -45.1014887, 170.9665239 -45.1040226)",,
"[779455802, 19778278]",2,Itchen Street,tertiary,False,False,130.214,,"LINESTRING (170.9672304 -45.1014887, 170.9684454 -45.1020481, 170.9685062 -45.1020702, 170.9685657 -45.102082, 170.9686418 -45.1020948)",,
196964786,,Wear Street,residential,False,False,156.512,,"LINESTRING (170.9724518 -45.0991571, 170.9705766 -45.0986785)",,
"[689547305, 24707210, 196964787]",,Humber Street,residential,False,"[False, True]",401.63199999999995,yes,"LINESTRING (170.9724518 -45.0991571, 170.9721528 -45.0995108, 170.9719717 -45.0997284, 170.9717848 -45.0999554, 170.9712898 -45.1006745, 170.9710775 -45.1009862, 170.9705493 -45.1017113, 170.9704755 -45.1018192, 170.9703575 -45.1020318, 170.9703005 -45.1021267, 170.9702392 -45.1022234, 170.9701837 -45.1023009, 170.9701301 -45.1023719)",,
689547305,,Humber Street,residential,False,True,122.612,,"LINESTRING (170.9724518 -45.0991571, 170.9729968 -45.0985188, 170.973257 -45.0982122)",,
24707240,2,Cross Street,tertiary,False,False,103.569,,"LINESTRING (170.9660919 -45.0991854, 170.9655242 -45.0983446)",,
"[158298786, 243664869, 243664870, 243664871, 243664872]",2,Severn Street,trunk,False,"[False, True]",190.31,yes,"LINESTRING (170.9660919 -45.0991854, 170.9659883 -45.0992215, 170.9657618 -45.0992999, 170.9652534 -45.0994774, 170.964974 -45.0995756, 170.9645836 -45.0997054, 170.9639021 -45.0999196)",SH 1,50
"[342158042, 819879310]",2,Severn Street,trunk,False,True,342.50300000000004,,"LINESTRING (170.9660919 -45.0991854, 170.9671706 -45.0988249, 170.9683695 -45.0984195, 170.9685413 -45.0983638, 170.9693433 -45.0981036, 170.9700504 -45.0978902)",SH 1,50
24707240,2,Cross Street,tertiary,False,True,103.569,,"LINESTRING (170.9655242 -45.0983446, 170.9660919 -45.0991854)",,
197334318,,Cross Street,residential,False,False,21.432,,"LINESTRING (170.9655242 -45.0983446, 170.9654132 -45.0981685)",,
24706782,2,Thames Street,tertiary,True,False,86.323,,"LINESTRING (170.9709508 -45.0979485, 170.9705766 -45.0986785)",,
24706782,2,Thames Street,tertiary,True,False,33.458,,"LINESTRING (170.9712154 -45.0973777, 170.9712061 -45.0974604, 170.971107 -45.0976668)",,
