osmid,bridge,name,highway,oneway,reversed,length,geometry,maxspeed,junction,lanes
212195224,yes,Te Whakawhitinga-O-Ngati-Toa,primary_link,False,False,92.652,"LINESTRING (174.842656 -41.1323235, 174.843607 -41.1318978)",,,
212195228,,,primary_link,True,False,50.821,"LINESTRING (174.842656 -41.1323235, 174.8425572 -41.1323966, 174.8423903 -41.1324726, 174.8423699 -41.1324832, 174.8421455 -41.1325636)",,,
212195224,yes,Te Whakawhitinga-O-Ngati-Toa,primary_link,False,True,92.652,"LINESTRING (174.843607 -41.1318978, 174.842656 -41.1323235)",,,
799300492,,Mungavin Interchange,secondary,True,False,8.327,"LINESTRING (174.8453299 -41.1381038, 174.8453627 -41.1381255, 174.8453993 -41.1381572)",50,roundabout,
17336133,,Mungavin Interchange,secondary,True,False,37.121,"LINESTRING (174.8453993 -41.1381572, 174.8454437 -41.1382167, 174.8454628 -41.1382637, 174.8454704 -41.1383254, 174.8454624 -41.1383774, 174.845418 -41.1384739)",50,roundabout,2
545448354,yes,Mungavin Interchange,secondary,True,False,5.045,"LINESTRING (174.845418 -41.1384739, 174.8453857 -41.1385122)",50,roundabout,2
"[968775616, 16485937, 653675907, 653675908]",yes,,primary_link,True,False,373.61100000000005,"LINESTRING (174.8447496 -41.1347852, 174.8448088 -41.1348647, 174.8448445 -41.1349715, 174.844901 -41.1351873, 174.8449396 -41.1353698, 174.844978 -41.1355487, 174.8450155 -41.1357313, 174.8450762 -41.1361143, 174.8451006 -41.1362911, 174.8452054 -41.1371724, 174.8452359 -41.137455, 174.8452772 -41.1379658, 174.8452846 -41.1380064, 174.8452962 -41.13804, 174.8453299 -41.1381038)",,,2
545448448,,Mungavin Interchange,secondary,True,False,2.061,"LINESTRING (174.8444467 -41.1381756, 174.84446 -41.13816)",50,roundabout,
"[333527369, 971060991]",,Parumoana Street,secondary,False,False,50.391,"LINESTRING (174.8417487 -41.1334835, 174.8418226 -41.1332694, 174.8418866 -41.1330425)",50,,4
333527369,,Parumoana Street,secondary,False,True,46.064,"LINESTRING (174.8417487 -41.1334835, 174.8416903 -41.1335856, 174.8416239 -41.1336862, 174.8415057 -41.1338549)",50,,
649787175,,Bullock Lane,unclassified,False,False,69.719,"LINESTRING (174.8417487 -41.1334835, 174.8418585 -41.1335045, 174.84219 -41.1335677, 174.8423468 -41.1335962, 174.8425627 -41.1335983)",,,
16670547,,Parumoana Street,secondary,True,False,38.107,"LINESTRING (174.8416332 -41.1322216, 174.8418454 -41.1323132, 174.8419702 -41.1323593, 174.8420294 -41.1323894)",50,,
212195231,,Parumoana Street,secondary,False,False,144.015,"LINESTRING (174.8416332 -41.1322216, 174.8415841 -41.1321964, 174.8415185 -41.1321625, 174.8415025 -41.1321543, 174.840709 -41.1317447, 174.8405759 -41.1316806, 174.84033 -41.1315622, 174.8402059 -41.1314995)",50,,
822152899,,,primary_link,True,False,59.166,"LINESTRING (174.8416332 -41.1322216, 174.8418056 -41.1322588, 174.8419176 -41.1322972, 174.8420122 -41.1323194, 174.8421121 -41.1323361, 174.8421886 -41.1323442, 174.8423109 -41.132365)",,,1
212195227,,Parumoana Street,secondary,True,False,24.008,"LINESTRING (174.8419705 -41.1327701, 174.8419189 -41.1327098, 174.8419156 -41.1326513, 174.8418923 -41.1325675)",50,,
"[971060992, 815494871]",,Parumoana Street,secondary,False,True,31.096000000000004,"LINESTRING (174.8419705 -41.1327701, 174.8419618 -41.1327971, 174.8419282 -41.1329006, 174.8418916 -41.1330259, 174.8418866 -41.1330425)",50,,4
"[817725034, 971060994]",,Kenepuru Drive,secondary,False,False,42.468,"LINESTRING (174.8416156 -41.139489, 174.8415976 -41.1392831, 174.8415846 -41.1391078)",50,,4
"[971060996, 968775614]",,Lyttelton Avenue,secondary,False,False,22.922,"LINESTRING (174.8416156 -41.139489, 174.8418076 -41.139485, 174.8418892 -41.139483)",50,,"['4', '3']"
"[971060995, 836521909]",,Kenepuru Drive,secondary,False,True,25.901999999999997,"LINESTRING (174.8416156 -41.139489, 174.8416195 -41.1395862, 174.8416278 -41.1396676, 174.8416333 -41.1397215)",50,,4
212195222,,Titahi Bay Road,secondary,True,False,40.626000000000005,"LINESTRING (174.8384142 -41.1368991, 174.8383778 -41.1367087, 174.838355 -41.136633, 174.8383214 -41.136587, 174.8382961 -41.1365486)",70,,
649787151,,,secondary_link,True,False,48.914,"LINESTRING (174.8384142 -41.1368991, 174.8383261 -41.136789, 174.8382846 -41.1367314, 174.8382416 -41.1366845, 174.8382041 -41.1366618, 174.8381658 -41.1366416, 174.8381115 -41.1366274, 174.8380156 -41.136611)",50,,1
16671120,,,secondary,True,False,14.565,"LINESTRING (174.8382817 -41.1365408, 174.8382573 -41.1365222, 174.838239 -41.1364999, 174.8382279 -41.1364751, 174.8382244 -41.136449, 174.8382289 -41.136423)",70,roundabout,
18056544,,Hagley Street,unclassified,True,False,23.633,"LINESTRING (174.8382817 -41.1365408, 174.838196 -41.1365678, 174.8380156 -41.136611)",50,,
16671120,,,secondary,True,False,1.607,"LINESTRING (174.8382289 -41.136423, 174.8382346 -41.1364092)",70,roundabout,
