osmid,lanes,name,highway,oneway,reversed,length,ref,maxspeed,geometry,bridge,junction
34824707,2,Wai-Iti Road,secondary,False,False,13.509,,,"LINESTRING (171.2459299 -44.3907493, 171.2457637 -44.3907749)",,
762811506,2,Theodosia Street,trunk,True,False,79.69,SH 1,50,"LINESTRING (171.2459299 -44.3907493, 171.2460956 -44.3910212, 171.2461349 -44.3911085, 171.2463228 -44.3914082)",,
30794107,2,Theodosia Street,trunk,True,False,182.63399999999996,SH 1,50,"LINESTRING (171.2453757 -44.3891686, 171.2455098 -44.389322, 171.2455482 -44.3893977, 171.2456085 -44.3896125, 171.2456348 -44.3898262, 171.2457763 -44.3903435, 171.2458717 -44.3905956, 171.2459299 -44.3907493)",,
206992934,2,Theodosia Street,trunk,True,False,28.421,SH 1,50,"LINESTRING (171.2477032 -44.3930805, 171.2479107 -44.3932887)",,
819898893,2,Sefton Street East,primary,False,True,10.956,SH 78,50,"LINESTRING (171.2477032 -44.3930805, 171.2475806 -44.3931256)",,
24705899,2,Sefton Street East,primary,False,False,39.324,SH 78,50,"LINESTRING (171.2477032 -44.3930805, 171.2477971 -44.393054, 171.2479009 -44.3930289, 171.2480289 -44.3930134, 171.2481833 -44.3930084)",,
30794108,2,Theodosia Street,trunk,True,False,42.788,SH 1,50,"LINESTRING (171.2485522 -44.3951501, 171.2485255 -44.3950815, 171.2485121 -44.3950052, 171.2484986 -44.3947687)",,
1132599904,,Theodosia Street,trunk,False,True,69.197,SH 1,50,"LINESTRING (171.2485522 -44.3951501, 171.248552 -44.3954306, 171.2485353 -44.3957722)",,
24705944,1,Cains Terrace,unclassified,True,False,148.834,,30,"LINESTRING (171.2549952 -44.3969728, 171.254695 -44.3956516)",,
414285763,2,George Street,tertiary,False,False,69.465,,50,"LINESTRING (171.2549952 -44.3969728, 171.2555404 -44.3968342, 171.2556043 -44.396818, 171.2556627 -44.3967998, 171.2557029 -44.3967826, 171.2557411 -44.3967589, 171.2557786 -44.3967195)",,
414285773,2,Stafford Street,secondary,False,False,204.21699999999998,,30,"LINESTRING (171.2549952 -44.3969728, 171.2549204 -44.396923, 171.254852 -44.3968842, 171.2547867 -44.3968508, 171.2547675 -44.396841, 171.2544186 -44.3966659, 171.2542562 -44.3965844, 171.2537996 -44.3963536, 171.2533941 -44.3961053, 171.2533361 -44.3960698, 171.2529895 -44.3958301)",,
414289775,2,George Street,tertiary,False,True,117.03,,50,"LINESTRING (171.2549952 -44.3969728, 171.2542066 -44.3971361, 171.2538804 -44.3972037, 171.2537479 -44.3972296, 171.2535792 -44.3972627)",,
30908147,1,Beswick Street,unclassified,True,False,136.951,,30,"LINESTRING (171.2529895 -44.3958301, 171.254695 -44.3956516)",,
414285773,2,Stafford Street,secondary,False,False,60.434,,30,"LINESTRING (171.2529895 -44.3958301, 171.2525384 -44.3953925)",,
414285773,2,Stafford Street,secondary,False,True,204.21699999999996,,30,"LINESTRING (171.2529895 -44.3958301, 171.2533361 -44.3960698, 171.2533941 -44.3961053, 171.2537996 -44.3963536, 171.2542562 -44.3965844, 171.2544186 -44.3966659, 171.2547675 -44.396841, 171.2547867 -44.3968508, 171.254852 -44.3968842, 171.2549204 -44.396923, 171.2549952 -44.3969728)",,
24705899,2,Sefton Street East,primary,False,True,93.091,SH 78,50,"LINESTRING (171.2494543 -44.3929514, 171.2482851 -44.3930051)",,
1148979418,2,Stafford Street,secondary,False,True,126.931,,30,"LINESTRING (171.2494543 -44.3929514, 171.2506624 -44.3936983)",,
24705889,2,The Bay Hill,unclassified,False,False,241.85199999999998,,30,"LINESTRING (171.2494543 -44.3929514, 171.2480841 -44.3921284, 171.2477227 -44.3919136, 171.2476384 -44.3918704, 171.2471876 -44.3916395, 171.247072 -44.3916048)",,
688996715,2,Port Loop Road,primary,False,False,73.02799999999999,SH 78,50,"LINESTRING (171.2494543 -44.3929514, 171.2495945 -44.3929407, 171.2497294 -44.3929266, 171.2499441 -44.3928974, 171.2501965 -44.3928509, 171.2503484 -44.3928095)",,
