osmid,oneway,lanes,ref,highway,junction,reversed,length,geometry
215390773,True,2,RNIE 2;RNIE 3;RNIE 5,trunk,roundabout,False,4.313,"LINESTRING (2.1831237 7.7813389, 2.1831538 7.7813637)"
215390773,True,2,RNIE 2;RNIE 3;RNIE 5,trunk,roundabout,False,17.089,"LINESTRING (2.1831538 7.7813637, 2.1831809 7.7814073, 2.1831903 7.7814576, 2.1831805 7.781508)"
"[374824160, 374824161]",False,,RN 25,secondary,,True,226.23100000000002,"LINESTRING (2.1831538 7.7813637, 2.1833208 7.7812582, 2.1834737 7.7811771, 2.1839136 7.7809512, 2.1844554 7.7807041, 2.1849932 7.7804636)"
215390771,False,2,RNIE 2;RNIE 5,primary,,False,47.81,"LINESTRING (2.1840773 7.784392, 2.1841577 7.7846571, 2.1841993 7.7848046)"
215390771,False,2,RNIE 2;RNIE 5,primary,,True,305.89799999999997,"LINESTRING (2.1840773 7.784392, 2.183979 7.7840882, 2.1838425 7.7836725, 2.1835984 7.7829178, 2.1834697 7.7825231, 2.1833973 7.7822959, 2.1833289 7.7820886, 2.1832712 7.7819305, 2.1832336 7.7818335, 2.1832075 7.7817803)"
219077607,False,,,residential,,False,96.888,"LINESTRING (2.1840773 7.784392, 2.1837661 7.7844372, 2.1837077 7.7844319, 2.1836273 7.7844153, 2.1835146 7.784406, 2.1833785 7.7844119, 2.1832068 7.7844445)"
215390771,False,2,RNIE 2;RNIE 5,primary,,True,24.373,"LINESTRING (2.1842408 7.7850199, 2.1841993 7.7848046)"
616633269,False,,,residential,,False,27.927,"LINESTRING (2.1842408 7.7850199, 2.1844567 7.7848883)"
215390771,False,2,RNIE 2;RNIE 5,primary,,False,74.324,"LINESTRING (2.1842408 7.7850199, 2.1842583 7.7851713, 2.1842839 7.7853619, 2.1843024 7.7855497, 2.1843146 7.7856842)"
215390773,True,2,RNIE 2;RNIE 3;RNIE 5,trunk,roundabout,False,21.354,"LINESTRING (2.1829462 7.7813637, 2.1829758 7.7813392, 2.183011 7.7813237, 2.1830492 7.7813182, 2.183088 7.7813234, 2.1831237 7.7813389)"
630128421,True,2,RNIE 2,trunk,,False,42.939,"LINESTRING (2.1829462 7.7813637, 2.1829802 7.7812369, 2.1830057 7.7811545, 2.1830687 7.7809977)"
215390773,True,2,RNIE 2;RNIE 3;RNIE 5,trunk,roundabout,False,17.000999999999998,"LINESTRING (2.1829189 7.7815069, 2.1829103 7.7814697, 2.1829121 7.7814315, 2.1829244 7.7813952, 2.1829462 7.7813637)"
374823535,False,,RNIE 3;RNIE 5,trunk,,False,114.797,"LINESTRING (2.1827824 7.7817764, 2.1826825 7.781892, 2.1825832 7.7820062, 2.1824867 7.7821285, 2.1822184 7.7824633, 2.1821326 7.7825829)"
616558995,True,,RNIE 3;RNIE 5,trunk,,False,33.798,"LINESTRING (2.1827824 7.7817764, 2.1828112 7.7816953, 2.1828367 7.7816289, 2.1828675 7.7815757, 2.1829189 7.7815069)"
374824160,False,,RN 25,secondary,,False,58.096,"LINESTRING (2.1854706 7.7802417, 2.1849932 7.7804636)"
219077605,False,,,residential,,False,215.65300000000002,"LINESTRING (2.1854706 7.7802417, 2.1852535 7.7799955, 2.1850646 7.7797869, 2.1848612 7.7795381, 2.1846402 7.7792681, 2.1844632 7.7790548, 2.1842263 7.7787455)"
374824160,False,,RN 25,secondary,,True,76.538,"LINESTRING (2.1854706 7.7802417, 2.1857978 7.7801114, 2.1861184 7.7799932)"
215390773,True,2,RNIE 2;RNIE 3;RNIE 5,trunk,roundabout,False,4.722,"LINESTRING (2.1830531 7.7815961, 2.1830106 7.7815906)"
219077605,False,,,residential,,True,142.661,"LINESTRING (2.1834247 7.7777393, 2.1835362 7.7778889, 2.183898 7.778375, 2.1842263 7.7787455)"
630821433,False,2,RNIE 2,trunk,,False,179.452,"LINESTRING (2.1834247 7.7777393, 2.1832811 7.7790053, 2.1832481 7.7793436)"
219077605,False,,,residential,,False,142.661,"LINESTRING (2.1842263 7.7787455, 2.183898 7.778375, 2.1835362 7.7778889, 2.1834247 7.7777393)"
219077605,False,,,residential,,True,215.65300000000002,"LINESTRING (2.1842263 7.7787455, 2.1844632 7.7790548, 2.1846402 7.7792681, 2.1848612 7.7795381, 2.1850646 7.7797869, 2.1852535 7.7799955, 2.1854706 7.7802417)"
424540067,False,,,residential,,True,179.66,"LINESTRING (2.1842263 7.7787455, 2.1845546 7.7786657, 2.1852788 7.7785541, 2.1853432 7.7785913, 2.1854237 7.7785807, 2.1855095 7.7785222, 2.1857777 7.7783893)"
374824160,False,,RN 25,secondary,,True,58.096,"LINESTRING (2.1849932 7.7804636, 2.1854706 7.7802417)"
219077612,False,,,residential,,True,495.973,"LINESTRING (2.1849932 7.7804636, 2.1849892 7.7807094, 2.1849596 7.7810362, 2.1848993 7.7815199, 2.1848497 7.7820634, 2.1848229 7.7823876, 2.184788 7.782745, 2.1847478 7.783048, 2.1847115 7.7833456, 2.1846525 7.7837522, 2.1845828 7.7841548, 2.1845452 7.7844166, 2.1845064 7.7846558, 2.1844567 7.7848883)"
"[374824160, 374824161]",False,,RN 25,secondary,,False,226.23099999999997,"LINESTRING (2.1849932 7.7804636, 2.1844554 7.7807041, 2.1839136 7.7809512, 2.1834737 7.7811771, 2.1833208 7.7812582, 2.1831538 7.7813637)"
374823535,False,,RNIE 3;RNIE 5,trunk,,True,84.699,"LINESTRING (2.180699 7.7843036, 2.1811804 7.7837097)"
219077607,False,,,residential,,True,191.15800000000002,"LINESTRING (2.180699 7.7843036, 2.1808317 7.7844166, 2.1810242 7.7845568, 2.1810544 7.7845601, 2.1810812 7.7845441, 2.1811938 7.7844073, 2.1812475 7.78438, 2.1813092 7.7843634, 2.1815573 7.7843541, 2.181922 7.7843455, 2.182266 7.7843482)"
374823535,False,,RNIE 3;RNIE 5,trunk,,False,40.609,"LINESTRING (2.180699 7.7843036, 2.1805447 7.7844764, 2.1804535 7.784576)"
