osmid,lanes,ref,highway,oneway,reversed,length,geometry
80227678,2,RNIE 7,primary,False,False,258.71000000000004,"LINESTRING (2.4692088 11.3263731, 2.4693462 11.3265152, 2.4694937 11.3266441, 2.4696118 11.3267309, 2.4697512 11.3268202, 2.4698719 11.3268834, 2.4700892 11.3269913, 2.470226 11.3270491, 2.4703804 11.3271087, 2.4705237 11.327157, 2.4706766 11.3271938, 2.4708143 11.3272102, 2.4710306 11.3272306, 2.4712023 11.3272385, 2.4713315 11.327243)"
374922793,2,,tertiary,False,False,125.948,"LINESTRING (2.4692088 11.3263731, 2.4693811 11.3267283, 2.4695536 11.3270115, 2.469801 11.3273414)"
80227678,2,RNIE 7,primary,False,False,103.119,"LINESTRING (2.4719455 11.327136, 2.4728355 11.3268222)"
374922793,2,,tertiary,False,True,51.619,"LINESTRING (2.4719455 11.327136, 2.471506 11.3273086)"
80227678,2,RNIE 7,primary,False,True,68.11,"LINESTRING (2.4719455 11.327136, 2.4717656 11.3271806, 2.4716502 11.3272043, 2.4715081 11.3272253, 2.4713315 11.327243)"
238907118,2,RN 17 bis,secondary,False,False,20.376,"LINESTRING (2.4713315 11.327243, 2.471506 11.3273086)"
80227678,2,RNIE 7,primary,False,False,68.11,"LINESTRING (2.4713315 11.327243, 2.4715081 11.3272253, 2.4716502 11.3272043, 2.4717656 11.3271806, 2.4719455 11.327136)"
80227678,2,RNIE 7,primary,False,True,258.71000000000004,"LINESTRING (2.4713315 11.327243, 2.4712023 11.3272385, 2.4710306 11.3272306, 2.4708143 11.3272102, 2.4706766 11.3271938, 2.4705237 11.327157, 2.4703804 11.3271087, 2.470226 11.3270491, 2.4700892 11.3269913, 2.4698719 11.3268834, 2.4697512 11.3268202, 2.4696118 11.3267309, 2.4694937 11.3266441, 2.4693462 11.3265152, 2.4692088 11.3263731)"
238907118,2,RN 17 bis,secondary,False,False,188.626,"LINESTRING (2.471506 11.3273086, 2.4731347 11.3278807)"
238907118,2,RN 17 bis,secondary,False,True,20.376,"LINESTRING (2.471506 11.3273086, 2.4713315 11.327243)"
374922793,2,,tertiary,False,False,51.619,"LINESTRING (2.471506 11.3273086, 2.4719455 11.327136)"
374922793,2,,tertiary,False,True,104.03899999999999,"LINESTRING (2.471506 11.3273086, 2.4711019 11.3274438, 2.4706015 11.3276067)"
238907118,2,RN 17 bis,secondary,False,False,130.368,"LINESTRING (2.4762987 11.3290323, 2.4774519 11.3293422)"
238907118,2,RN 17 bis,secondary,False,True,231.81900000000002,"LINESTRING (2.4762987 11.3290323, 2.4762119 11.329009, 2.4743014 11.3283183)"
238907118,2,RN 17 bis,secondary,False,False,12.946,"LINESTRING (2.4741905 11.3282767, 2.4743014 11.3283183)"
238907118,2,RN 17 bis,secondary,False,True,81.165,"LINESTRING (2.4741905 11.3282767, 2.4734952 11.3280159)"
727835366,,,residential,False,True,433.70899999999995,"LINESTRING (2.4741905 11.3282767, 2.4740508 11.3282747, 2.4739891 11.3282694, 2.4733856 11.3280617, 2.4733159 11.3280459, 2.4732622 11.3280354, 2.4731979 11.3280301, 2.4730986 11.3280538, 2.4721894 11.3283588, 2.4719667 11.3284456, 2.4704406 11.3290426)"
727835375,,,residential,False,True,182.739,"LINESTRING (2.4694239 11.3293398, 2.4700409 11.3278118)"
727835366,,,residential,False,False,116.36699999999999,"LINESTRING (2.4694239 11.3293398, 2.4696332 11.3293214, 2.4697834 11.3292872, 2.4699095 11.3292425, 2.4704406 11.3290426)"
727835366,,,residential,False,False,433.709,"LINESTRING (2.4704406 11.3290426, 2.4719667 11.3284456, 2.4721894 11.3283588, 2.4730986 11.3280538, 2.4731979 11.3280301, 2.4732622 11.3280354, 2.4733159 11.3280459, 2.4733856 11.3280617, 2.4739891 11.3282694, 2.4740508 11.3282747, 2.4741905 11.3282767)"
727835366,,,residential,False,True,116.367,"LINESTRING (2.4704406 11.3290426, 2.4699095 11.3292425, 2.4697834 11.3292872, 2.4696332 11.3293214, 2.4694239 11.3293398)"
727835367,,,residential,False,False,148.081,"LINESTRING (2.4704406 11.3290426, 2.470462 11.3282721, 2.4704781 11.3281747, 2.4704808 11.328088, 2.4704754 11.3279933, 2.4704245 11.3277171)"
727835369,,,residential,False,False,201.752,"LINESTRING (2.4742068 11.3277946, 2.4759203 11.3271096)"
727835369,,,residential,False,True,81.394,"LINESTRING (2.4742068 11.3277946, 2.4734952 11.3280159)"
727835372,,,residential,False,False,72.068,"LINESTRING (2.4742068 11.3277946, 2.4740916 11.3271564)"
727835372,,,residential,False,True,59.139,"LINESTRING (2.4742068 11.3277946, 2.4743014 11.3283183)"
238907118,2,RN 17 bis,secondary,False,False,81.165,"LINESTRING (2.4734952 11.3280159, 2.4741905 11.3282767)"
238907118,2,RN 17 bis,secondary,False,True,42.082,"LINESTRING (2.4734952 11.3280159, 2.4731347 11.3278807)"
727835369,,,residential,False,False,81.394,"LINESTRING (2.4734952 11.3280159, 2.4742068 11.3277946)"
727835370,,,residential,False,True,169.563,"LINESTRING (2.4773741 11.3260234, 2.4759133 11.3265466)"
727835370,,,residential,False,False,169.563,"LINESTRING (2.4759133 11.3265466, 2.4773741 11.3260234)"
727835370,,,residential,False,True,209.874,"LINESTRING (2.4759133 11.3265466, 2.4740916 11.3271564)"
727835374,,,residential,False,False,62.607,"LINESTRING (2.4759133 11.3265466, 2.4759203 11.3271096)"
