osmid,oneway,highway,reversed,length,geometry,lanes,name,junction,maxspeed
288217405,False,residential,True,217.128,"LINESTRING (2.6234085 6.4953978, 2.6214878 6.4949842)",,,,
369265265,False,residential,False,89.327,"LINESTRING (2.6234085 6.4953978, 2.6242078 6.4955188)",,,,
620359843,False,residential,False,80.596,"LINESTRING (2.6234085 6.4953978, 2.6232341 6.494694)",,,,
620359843,False,residential,True,82.834,"LINESTRING (2.6234085 6.4953978, 2.6234754 6.4956834, 2.6235243 6.4959088, 2.6235706 6.4961251)",,,,
620359843,False,residential,True,80.596,"LINESTRING (2.6232341 6.494694, 2.6234085 6.4953978)",,,,
317919742,True,residential,False,27.855000000000004,"LINESTRING (2.6209844 6.4960987, 2.6210651 6.4960754, 2.6211491 6.4960749, 2.6212301 6.4960973)",2,Carrefour Fusion,roundabout,
318163664,True,residential,False,190.788,"LINESTRING (2.6233644 6.5007369, 2.6225722 6.4992123)",,,,
356356852,False,secondary,True,102.705,"LINESTRING (2.6233644 6.5007369, 2.6224783 6.5010162)",2,,,50
356356852,False,secondary,False,23.667,"LINESTRING (2.6233644 6.5007369, 2.6234687 6.5007152, 2.6235751 6.5006989)",2,,,50
318163590,False,residential,True,94.079,"LINESTRING (2.6295321 6.5011033, 2.6296694 6.5019383)",,,,
356356852,False,secondary,True,53.031,"LINESTRING (2.6295321 6.5011033, 2.6291053 6.5011786, 2.6290595 6.5011867)",2,,,50
288217405,False,residential,False,217.128,"LINESTRING (2.6214878 6.4949842, 2.6234085 6.4953978)",,,,
420245810,False,residential,False,80.208,"LINESTRING (2.6214878 6.4949842, 2.6213746 6.4956967)",,,,
288217374,False,tertiary,False,13.127,"LINESTRING (2.6243792 6.5006713, 2.624399 6.5005549)",,,,
356356852,False,secondary,False,58.1,"LINESTRING (2.6243792 6.5006713, 2.624905 6.500662)",2,,,50
356356852,False,secondary,True,75.033,"LINESTRING (2.6243792 6.5006713, 2.6237002 6.5006855)",2,,,50
452399374,False,tertiary,True,81.475,"LINESTRING (2.6243792 6.5006713, 2.6242198 6.5013867)",,,,
620342466,False,residential,True,162.231,"LINESTRING (2.6263049 6.4981606, 2.624885 6.4985325)",,,,
