osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,width,maxspeed
55482962,"כיכר קק""ל",secondary,roundabout,True,False,15.431999999999999,"LINESTRING (34.5901318 31.5325525, 34.5901095 31.5325103, 34.5901035 31.5324643, 34.5901143 31.532419)",,,
655266341,יהושע בן נון,tertiary,,False,True,168.277,"LINESTRING (34.5886547 31.5360952, 34.5888766 31.5360136, 34.5890336 31.5359633, 34.5894572 31.5358462, 34.5903493 31.5356516)",,,
941851879,כיכר יונתן פולארד,secondary,,True,False,14.526,"LINESTRING (34.5894394 31.5305381, 34.5894314 31.5305061, 34.5894363 31.5304737, 34.5894536 31.5304446, 34.5894812 31.530422)",,,
941582432,"כיכר קק""ל",secondary,roundabout,True,False,9.654,"LINESTRING (34.5904513 31.5324909, 34.5904435 31.5325191, 34.5904295 31.5325454, 34.5904098 31.532569)",,,
1019816640,כיכר מוטה גור,secondary,roundabout,True,False,5.1690000000000005,"LINESTRING (34.5892471 31.528623, 34.5892549 31.5286138, 34.589264 31.5286054, 34.589273 31.5285986, 34.5892861 31.5285911)",,,
56238478,הצדיק באבא יגו,secondary,,True,False,187.318,"LINESTRING (34.5894331 31.528737, 34.5894403 31.5290142, 34.5894653 31.5294298, 34.5894821 31.5299858, 34.5894878 31.5300458, 34.5894997 31.5301119, 34.5895841 31.5304113)",,,
1019816626,כיכר מוטה גור,secondary,roundabout,True,False,15.623999999999999,"LINESTRING (34.5894331 31.528737, 34.589422 31.5287471, 34.5894087 31.5287562, 34.5893945 31.5287633, 34.5893772 31.5287691, 34.5893585 31.5287726, 34.5893419 31.5287734, 34.5893209 31.5287714, 34.5893015 31.5287665, 34.5892842 31.5287591)",,,
1020325804,כיכר מוטה גור,secondary,roundabout,True,False,4.172,"LINESTRING (34.5892842 31.5287591, 34.5892723 31.528752, 34.5892613 31.5287435, 34.5892518 31.528734)",,,
941552413,"כיכר קק""ל",secondary,roundabout,True,False,14.747,"LINESTRING (34.5902607 31.5326192, 34.5902227 31.5326123, 34.5901874 31.5325983, 34.5901566 31.5325781, 34.5901318 31.5325525)",,,
941552409,"כיכר קק""ל",secondary,roundabout,True,False,5.824,"LINESTRING (34.5901143 31.532419, 34.5901275 31.5323954, 34.5901453 31.532374)",,,
43498797,הצדיק באבא יגו,secondary,,True,False,205.862,"LINESTRING (34.5901453 31.532374, 34.589923 31.5317314, 34.5895311 31.5305982)",,,
