osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed
44148973,Ozolu iela,residential,False,False,104.478,,"LINESTRING (26.7122396 56.9079668, 26.7123673 56.9070298)",,
24479867,Parka iela,primary,False,False,122.024,P82,"LINESTRING (26.7122396 56.9079668, 26.7125501 56.9078204, 26.7135135 56.9073661, 26.7137425 56.9072389)",,
44148969,Stacijas iela,primary,False,False,85.912,P82,"LINESTRING (26.7142148 56.9043106, 26.7128062 56.9042374)",,
172634827,Parka iela,unclassified,False,False,178.491,,"LINESTRING (26.7142148 56.9043106, 26.7144444 56.9027103)",,
24479867,Parka iela,primary,False,True,327.332,P82,"LINESTRING (26.7142148 56.9043106, 26.7138652 56.9069839, 26.7137425 56.9072389)",,
"[173706001, 61266861, 1072037215]","['Stacijas iela', 'Tilta iela']",secondary,False,"[False, True]",166.256,,"LINESTRING (26.7142148 56.9043106, 26.7152463 56.90434, 26.7168418 56.9043834, 26.7169495 56.9043862)",yes,
44148969,Stacijas iela,primary,False,True,110.406,P82,"LINESTRING (26.7104614 56.9042708, 26.7108573 56.9042118, 26.7110182 56.9041954, 26.7113359 56.9041896, 26.7117828 56.9041993, 26.7122606 56.9042191)",,
44148969,Stacijas iela,primary,False,False,33.19,P82,"LINESTRING (26.7128062 56.9042374, 26.7122606 56.9042191)",,
44148969,Stacijas iela,primary,False,True,85.912,P82,"LINESTRING (26.7128062 56.9042374, 26.7142148 56.9043106)",,
44148973,Ozolu iela,residential,False,False,177.419,,"LINESTRING (26.7128062 56.9042374, 26.7130172 56.902646)",,
44148973,Ozolu iela,residential,False,True,311.642,,"LINESTRING (26.7128062 56.9042374, 26.7127314 56.9047234, 26.7126531 56.9052318, 26.7123673 56.9070298)",,
44148973,Ozolu iela,residential,False,True,132.26,,"LINESTRING (26.713314 56.9014704, 26.7130983 56.9020846, 26.7130579 56.9021998, 26.7130172 56.902646)",,
1072037214,Tilta iela,residential,False,True,68.3,,"LINESTRING (26.7169495 56.9043862, 26.7180743 56.9043939)",,
65421677,Krasta iela,secondary,False,False,105.717,,"LINESTRING (26.7169495 56.9043862, 26.7169513 56.9043144, 26.716935 56.9041142, 26.716926 56.9035449, 26.7169275 56.9034357)",,50
881092295,Krasta iela,residential,False,True,290.664,,"LINESTRING (26.7169495 56.9043862, 26.7169448 56.9045804, 26.716949 56.9052691, 26.7170079 56.9055771, 26.7171101 56.9057265, 26.7174056 56.9060312, 26.7175485 56.9061879, 26.7176226 56.906375, 26.7176084 56.906791, 26.717541 56.9068442, 26.7174427 56.906889)",,50
"[173706001, 61266861, 1072037215]","['Stacijas iela', 'Tilta iela']",secondary,False,"[False, True]",166.256,,"LINESTRING (26.7169495 56.9043862, 26.7168418 56.9043834, 26.7152463 56.90434, 26.7142148 56.9043106)",yes,
615237695,Oskara Kalpaka iela,residential,False,True,85.724,,"LINESTRING (26.723038 56.9031529, 26.7220986 56.9025774)",,
137926527,Baznīcas iela,residential,False,True,147.025,,"LINESTRING (26.723038 56.9031529, 26.7236191 56.9030635, 26.7245745 56.9030383, 26.7254356 56.9030318)",,
1072037214,Tilta iela,residential,False,False,332.90999999999997,,"LINESTRING (26.723038 56.9031529, 26.7196705 56.9041041, 26.7191985 56.9042374, 26.7180743 56.9043939)",,
1072037214,Tilta iela,residential,False,False,68.3,,"LINESTRING (26.7180743 56.9043939, 26.7169495 56.9043862)",,
148228248,Sporta iela,residential,False,False,285.485,,"LINESTRING (26.7180743 56.9043939, 26.7182499 56.9047403, 26.7185005 56.9051656, 26.7189034 56.9058497, 26.7192215 56.9063551, 26.7194105 56.9066782, 26.7195048 56.9068392)",,
1072037214,Tilta iela,residential,False,True,332.91,,"LINESTRING (26.7180743 56.9043939, 26.7191985 56.9042374, 26.7196705 56.9041041, 26.723038 56.9031529)",,
24479867,Parka iela,primary,False,False,327.332,P82,"LINESTRING (26.7137425 56.9072389, 26.7138652 56.9069839, 26.7142148 56.9043106)",,
24479867,Parka iela,primary,False,True,122.024,P82,"LINESTRING (26.7137425 56.9072389, 26.7135135 56.9073661, 26.7125501 56.9078204, 26.7122396 56.9079668)",,
137926527,Baznīcas iela,residential,False,False,147.02499999999998,,"LINESTRING (26.7254356 56.9030318, 26.7245745 56.9030383, 26.7236191 56.9030635, 26.723038 56.9031529)",,
44148969,Stacijas iela,primary,False,True,33.19,P82,"LINESTRING (26.7122606 56.9042191, 26.7128062 56.9042374)",,
44148969,Stacijas iela,primary,False,False,110.406,P82,"LINESTRING (26.7122606 56.9042191, 26.7117828 56.9041993, 26.7113359 56.9041896, 26.7110182 56.9041954, 26.7108573 56.9042118, 26.7104614 56.9042708)",,
1072037213,,residential,False,False,43.918,,"LINESTRING (26.7167615 56.9070219, 26.7174427 56.906889)",,50
1072037213,,residential,False,True,43.918,,"LINESTRING (26.7174427 56.906889, 26.7167615 56.9070219)",,50
881092295,Krasta iela,residential,False,False,290.664,,"LINESTRING (26.7174427 56.906889, 26.717541 56.9068442, 26.7176084 56.906791, 26.7176226 56.906375, 26.7175485 56.9061879, 26.7174056 56.9060312, 26.7171101 56.9057265, 26.7170079 56.9055771, 26.716949 56.9052691, 26.7169448 56.9045804, 26.7169495 56.9043862)",,50
"[1072037212, 184773565]","['Krasta iela', 'Peldu iela']",living_street,False,False,366.14500000000004,,"LINESTRING (26.7174427 56.906889, 26.7171807 56.9078666, 26.7170795 56.9081118, 26.7171089 56.9082336, 26.7172666 56.9082052, 26.7174957 56.9081192, 26.7177749 56.9079785, 26.718141 56.9077087, 26.7184564 56.9075108, 26.7189439 56.9071954, 26.7193504 56.9069299, 26.7195048 56.9068392)",,
172634827,Parka iela,unclassified,False,True,178.491,,"LINESTRING (26.7144444 56.9027103, 26.7142148 56.9043106)",,
173706000,,residential,False,False,86.953,,"LINESTRING (26.7144444 56.9027103, 26.7130172 56.902646)",,
172634827,Parka iela,unclassified,False,False,170.132,,"LINESTRING (26.7144444 56.9027103, 26.7144833 56.9022701, 26.7145731 56.9016798, 26.7146405 56.9015408, 26.7147758 56.9014751, 26.7152414 56.9014806)",,
172634827,Parka iela,unclassified,False,True,170.132,,"LINESTRING (26.7152414 56.9014806, 26.7147758 56.9014751, 26.7146405 56.9015408, 26.7145731 56.9016798, 26.7144833 56.9022701, 26.7144444 56.9027103)",,
172635723,Skolas iela,residential,False,True,158.115,,"LINESTRING (26.7237024 56.8996562, 26.7230295 56.8998211, 26.722407 56.8999424, 26.721274 56.900167)",,
172635724,Jaunā iela,residential,False,True,170.162,,"LINESTRING (26.7237024 56.8996562, 26.7241238 56.900271, 26.7245528 56.9008782, 26.7247375 56.9010771)",,
172635723,Skolas iela,residential,False,False,74.846,,"LINESTRING (26.7201207 56.9004045, 26.721274 56.900167)",,
615237695,Oskara Kalpaka iela,residential,False,False,272.195,,"LINESTRING (26.7201207 56.9004045, 26.7212217 56.9019378, 26.7213145 56.9020377, 26.7220986 56.9025774)",,
172639590,Mazā iela,residential,False,True,176.788,,"LINESTRING (26.7247375 56.9010771, 26.7226885 56.9022066)",,
172635724,Jaunā iela,residential,False,False,170.162,,"LINESTRING (26.7247375 56.9010771, 26.7245528 56.9008782, 26.7241238 56.900271, 26.7237024 56.8996562)",,
172639590,Mazā iela,residential,False,False,54.617,,"LINESTRING (26.7220986 56.9025774, 26.7226885 56.9022066)",,
615237695,Oskara Kalpaka iela,residential,False,False,85.724,,"LINESTRING (26.7220986 56.9025774, 26.723038 56.9031529)",,
615237695,Oskara Kalpaka iela,residential,False,True,272.195,,"LINESTRING (26.7220986 56.9025774, 26.7213145 56.9020377, 26.7212217 56.9019378, 26.7201207 56.9004045)",,
172639590,Mazā iela,residential,False,False,176.788,,"LINESTRING (26.7226885 56.9022066, 26.7247375 56.9010771)",,
172639590,Mazā iela,residential,False,True,54.617,,"LINESTRING (26.7226885 56.9022066, 26.7220986 56.9025774)",,
172639591,Brīvības iela,residential,False,False,242.51500000000001,,"LINESTRING (26.7226885 56.9022066, 26.7218505 56.9009879, 26.721274 56.900167)",,
44148973,Ozolu iela,residential,False,True,177.419,,"LINESTRING (26.7130172 56.902646, 26.7128062 56.9042374)",,
173706000,,residential,False,True,86.953,,"LINESTRING (26.7130172 56.902646, 26.7144444 56.9027103)",,
44148973,Ozolu iela,residential,False,False,132.26,,"LINESTRING (26.7130172 56.902646, 26.7130579 56.9021998, 26.7130983 56.9020846, 26.713314 56.9014704)",,
172635723,Skolas iela,residential,False,True,74.846,,"LINESTRING (26.721274 56.900167, 26.7201207 56.9004045)",,
172635723,Skolas iela,residential,False,False,158.115,,"LINESTRING (26.721274 56.900167, 26.722407 56.8999424, 26.7230295 56.8998211, 26.7237024 56.8996562)",,
172639591,Brīvības iela,residential,False,True,242.51500000000001,,"LINESTRING (26.721274 56.900167, 26.7218505 56.9009879, 26.7226885 56.9022066)",,
"[180802769, 180802770]",Jāņa Zābera iela,residential,False,"[False, True]",224.703,,"LINESTRING (26.7200053 56.9025233, 26.7195386 56.9026463, 26.7181089 56.9028528, 26.7180242 56.902865, 26.7174819 56.9029726, 26.7172982 56.9030344, 26.7170888 56.9032704, 26.7169275 56.9034357)",,
65421677,Krasta iela,secondary,False,True,105.717,,"LINESTRING (26.7169275 56.9034357, 26.716926 56.9035449, 26.716935 56.9041142, 26.7169513 56.9043144, 26.7169495 56.9043862)",,50
"[180802769, 180802770]",Jāņa Zābera iela,residential,False,"[False, True]",224.70300000000003,,"LINESTRING (26.7169275 56.9034357, 26.7170888 56.9032704, 26.7172982 56.9030344, 26.7174819 56.9029726, 26.7180242 56.902865, 26.7181089 56.9028528, 26.7195386 56.9026463, 26.7200053 56.9025233)",,
