osmid,ref,highway,oneway,reversed,length,bridge,geometry,name,lanes
"[23164570, 503413485, 203485494]",SH3,primary,False,True,109.59800000000001,yes,"LINESTRING (20.3170851 41.1776325, 20.3166064 41.1777848, 20.3165638 41.1777983, 20.3162868 41.1778843, 20.3160864 41.1779474, 20.3159845 41.1779777, 20.3158728 41.1780043)",,
307555940,,residential,False,False,62.105999999999995,,"LINESTRING (20.3170851 41.1776325, 20.3171618 41.1777063, 20.3171969 41.1777617, 20.3172278 41.1778215, 20.317237 41.1778908, 20.3172268 41.1779869, 20.3171983 41.1781588)",,
167173277,SH3,primary,False,False,12.194,,"LINESTRING (20.313851 41.177884, 20.3139899 41.1778509)",,
167173277,SH3,primary,False,True,46.87,,"LINESTRING (20.313851 41.177884, 20.3137075 41.1779274, 20.3135495 41.1779805, 20.31334 41.1780561)",,
167173286,,residential,False,True,44.042,,"LINESTRING (20.313851 41.177884, 20.3138769 41.1779456, 20.3138863 41.1779861, 20.3138826 41.1780157, 20.3137588 41.1782591)",,
"[167173289, 556243597]",,residential,False,False,196.91299999999995,,"LINESTRING (20.3136329 41.178558, 20.3135929 41.1786604, 20.3135887 41.178714, 20.3136702 41.1789279, 20.3137445 41.179137, 20.3136764 41.1793999, 20.3136952 41.1794467, 20.3136362 41.1796704, 20.3136095 41.1797137, 20.3135772 41.1797491, 20.313541 41.1797693, 20.3135008 41.1797875, 20.3133439 41.179838, 20.3132983 41.179838, 20.3132714 41.1798319, 20.3132392 41.1798138, 20.3132097 41.1797794, 20.3130996 41.1795846)",,
"[167173289, 167173286]",,residential,False,"[False, True]",66.78,,"LINESTRING (20.3136329 41.178558, 20.3140735 41.178641, 20.314113 41.178646, 20.3141399 41.1786344, 20.3142046 41.1784747, 20.3141564 41.1784625)",,
"[754717840, 754717839]",,residential,False,False,44.377,,"LINESTRING (20.3136329 41.178558, 20.3134384 41.178528, 20.3133851 41.1784816, 20.3134279 41.1783806, 20.3134513 41.178352, 20.3134978 41.1783181)",,
167173283,,residential,False,False,111.00299999999999,,"LINESTRING (20.3166814 41.1794892, 20.3167754 41.1795499, 20.3168808 41.1796524, 20.3169574 41.1797333, 20.3170245 41.179783, 20.3171083 41.1798261, 20.3175105 41.1799759, 20.3177394 41.1800586)",Rruga Shebeniku,
167173290,,tertiary,False,False,73.619,,"LINESTRING (20.3166814 41.1794892, 20.3167701 41.1796228, 20.3168626 41.1797476, 20.3169299 41.1798208, 20.3169884 41.1798758, 20.3170659 41.1799408, 20.3171158 41.1799751, 20.317167 41.1800031, 20.3171894 41.1800209)",Rruga Jakup Biçaku,
"[28148075, 754681260]",,tertiary,False,True,273.226,,"LINESTRING (20.3166814 41.1794892, 20.316604 41.1794465, 20.3161027 41.179231, 20.315955 41.1791586, 20.3147033 41.1784481, 20.314803 41.1783978, 20.314917 41.1783512, 20.3150926 41.1782893, 20.3151416 41.178272, 20.3154598 41.178163)","['Rruga Shebeniku', 'Gjorg Golemi']",
295656391,,residential,False,False,135.673,,"LINESTRING (20.3179802 41.1821846, 20.3180484 41.1821686, 20.3181079 41.1821446, 20.3181691 41.182103, 20.3183287 41.1819506, 20.3184198 41.1818512, 20.3184575 41.1817901, 20.3184649 41.1817228, 20.3184751 41.1815558, 20.3185041 41.1813183, 20.3185289 41.1812271, 20.3185912 41.1811331)",,
1241365673,,residential,False,False,203.993,,"LINESTRING (20.3179802 41.1821846, 20.317819 41.1824154, 20.3178047 41.1824684, 20.3178073 41.1825169, 20.3178319 41.1825652, 20.3179615 41.1827122, 20.3180374 41.1827803, 20.3181106 41.182816, 20.3182049 41.1828449, 20.3183004 41.1828573, 20.3183965 41.1828617, 20.3188349 41.1828229, 20.3189692 41.1828177, 20.3190969 41.1828209, 20.3192241 41.182838, 20.3195329 41.1828964)",Rruga Jakup Biçaku,
1241365673,,residential,False,True,226.639,,"LINESTRING (20.3179802 41.1821846, 20.3179941 41.1821277, 20.3179941 41.1820813, 20.3179888 41.1820207, 20.3179727 41.1819501, 20.31797 41.1819117, 20.3179727 41.1818774, 20.3179888 41.1818391, 20.318018 41.1817718, 20.3180292 41.1817187, 20.3180201 41.1816747, 20.3179878 41.1815867, 20.317937 41.1814881, 20.3178361 41.1813232, 20.317801 41.1812658, 20.3177581 41.1811951, 20.3177366 41.1811406, 20.3177205 41.1810841, 20.3177205 41.1810256, 20.3177178 41.1809973, 20.3177044 41.180965, 20.317683 41.1809428, 20.3176347 41.1809206, 20.3174883 41.1808717, 20.3173379 41.1808158, 20.3172679 41.1807898, 20.3171794 41.1807474, 20.3170774 41.1806929, 20.3170061 41.180648, 20.3169223 41.1805994, 20.3168542 41.1805572)",Rruga Jakup Biçaku,
