osmid,highway,oneway,reversed,length,geometry,name,maxspeed,lanes,ref,bridge,junction
167582898,secondary,False,False,60.947,"LINESTRING (20.6581111 40.9025231, 20.658383 40.9023664, 20.6586877 40.9021907)",,,,,,
299203300,secondary,True,False,70.41499999999999,"LINESTRING (20.6581111 40.9025231, 20.6575777 40.9028124, 20.6574304 40.9028923)",Deshmoret e Pojskes,,,,,
370947221,tertiary,True,False,68.471,"LINESTRING (20.6581111 40.9025231, 20.6583598 40.9025056, 20.6584172 40.9025016, 20.658481 40.9024941, 20.6588167 40.902443, 20.658915 40.902428)",Dëshmorët e Pojskës,30,,,,
"[1004974198, 1004974199]",primary,False,False,13.094000000000001,"LINESTRING (20.6522696 40.9042192, 20.6522967 40.9041865, 20.6523523 40.9041194)",Kajo Karafili,50,2,SH3,yes,
257513535,primary,False,True,13.123,"LINESTRING (20.6547089 40.901556, 20.6546111 40.901648)",Kajo Karafili,50,2,SH3,,
174425715,residential,False,True,102.382,"LINESTRING (20.6547089 40.901556, 20.654592 40.9014915, 20.6544246 40.9013992, 20.6543602 40.9013587, 20.6542985 40.901312, 20.6542127 40.9012188, 20.6540212 40.9010649, 20.6538494 40.900912)",Jani Basho,30,,,,
257513535,primary,False,False,205.747,"LINESTRING (20.6547089 40.901556, 20.6548913 40.9013898, 20.6549882 40.9013128, 20.6551159 40.9012114, 20.6553236 40.9010667, 20.6554233 40.9009975, 20.6555126 40.900936, 20.6557381 40.9007952, 20.6561751 40.9005014, 20.6565013 40.9003008)",Kajo Karafili,50,2,SH3,,
705286787,primary,False,True,108.719,"LINESTRING (20.6621814 40.8996469, 20.6608885 40.8996776)",Kajo Karafili,50,2,SH3,,
734281092,primary,False,False,36.236,"LINESTRING (20.6621814 40.8996469, 20.6625815 40.8995255)",Kajo Karafili,,2,SH3,,
26772940,secondary,True,False,51.05,"LINESTRING (20.6621814 40.8996469, 20.6620587 40.8997394, 20.6617927 40.8999397, 20.6617512 40.899971)",,,2,,,
299203873,tertiary,False,False,32.576,"LINESTRING (20.6586877 40.9021907, 20.658915 40.902428)",,,,,,
