osmid,highway,oneway,reversed,length,ref,name,geometry,width,junction
200889635,unclassified,False,True,15.407,,,"LINESTRING (20.1011739 40.6088374, 20.1013539 40.6088145)",,
30455525,secondary,False,False,174.39,SH72,Poligoni,"LINESTRING (20.1011739 40.6088374, 20.1008877 40.6090852, 20.1006943 40.6093292, 20.1003729 40.6095428, 20.1001996 40.6096991, 20.1000647 40.6098288, 20.0999493 40.6099323, 20.0998025 40.6099879)",,
168402076,tertiary,False,True,8.416,,,"LINESTRING (20.0999977 40.6096358, 20.0999678 40.609708)",,
169243466,residential,False,False,152.01400000000004,,,"LINESTRING (20.0999977 40.6096358, 20.0998733 40.6096131, 20.0998243 40.6096123, 20.0997636 40.6096373, 20.0996497 40.609744, 20.0995082 40.6099112, 20.099356 40.6100607, 20.0992861 40.6101693, 20.0991814 40.610282, 20.0989294 40.6104971, 20.0988818 40.6105373, 20.098859 40.6105521, 20.0988416 40.6105602, 20.0988201 40.6105613)",,
168402076,tertiary,False,False,34.108,,,"LINESTRING (20.0998025 40.6099879, 20.0999678 40.609708)",,
30455525,secondary,False,False,207.33300000000003,SH72,Poligoni,"LINESTRING (20.0998025 40.6099879, 20.0997919 40.610003, 20.0997503 40.6100615, 20.0997247 40.6101, 20.0997113 40.6101445, 20.0997068 40.610194, 20.0997099 40.6102538, 20.099722 40.6103169, 20.0997505 40.610406, 20.0997636 40.6105154, 20.0997565 40.6106336, 20.0997142 40.6108532, 20.0996871 40.6109064, 20.0996536 40.6109493, 20.0996038 40.6109918, 20.0990509 40.6114159, 20.0989763 40.6114785, 20.0989348 40.6115223, 20.0989026 40.6115691, 20.0988885 40.6115923)",,
30455525,secondary,False,True,174.39,SH72,Poligoni,"LINESTRING (20.0998025 40.6099879, 20.0999493 40.6099323, 20.1000647 40.6098288, 20.1001996 40.6096991, 20.1003729 40.6095428, 20.1006943 40.6093292, 20.1008877 40.6090852, 20.1011739 40.6088374)",,
168402074,residential,False,True,60.284,,Gjimnazi,"LINESTRING (20.0963841 40.6124324, 20.0970089 40.612695)",,
168402069,residential,False,False,90.356,,Rruga Kullusem,"LINESTRING (20.0963841 40.6124324, 20.0963755 40.6126199, 20.0964309 40.6127871, 20.0965097 40.6129544, 20.0966204 40.6131071, 20.0966949 40.6131903)",,
168402069,residential,False,True,53.480000000000004,,Rruga Kullusem,"LINESTRING (20.0963841 40.6124324, 20.0963968 40.612295, 20.0963922 40.6119518)",,
