osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,width,junction,access
23609769,Bulevardul Eroilor,tertiary,RO:urban,False,False,111.786,"LINESTRING (24.8727086 44.8560117, 24.8718091 44.8552744, 24.8717823 44.8552505)",,,,,
31821927,Strada Griviței,residential,RO:urban,False,False,50.227999999999994,"LINESTRING (24.8727086 44.8560117, 24.8727568 44.8560465, 24.8729206 44.8561697, 24.8731464 44.8563399)",,,,,
706138559,Bulevardul Republicii,primary,RO:urban,True,False,69.32300000000001,"LINESTRING (24.8727086 44.8560117, 24.8725906 44.8560831, 24.8723388 44.8562348, 24.8720389 44.8564158)",3,,,,
23609477,Strada Violetelor,residential,RO:urban,False,True,69.64,"LINESTRING (24.8664391 44.8537631, 24.8657464 44.8533744)",2,,,,
23609413,Strada Exercițiu,secondary,RO:urban,False,True,57.287,"LINESTRING (24.8664391 44.8537631, 24.8662376 44.8539331, 24.8661814 44.8539976, 24.8661181 44.8540834, 24.8660594 44.8541965)",2,,,,
73729427,Strada Armand Călinescu,primary,40,True,False,152.66400000000002,"LINESTRING (24.8698807 44.8568512, 24.8704573 44.8563158, 24.871024 44.8558299, 24.8710859 44.8557768)",2,,,,
23683906,,residential,RO:urban,True,False,103.401,"LINESTRING (24.8710859 44.8557768, 24.8711468 44.8558175, 24.8719517 44.8563555, 24.8720389 44.8564158)",,,,,
73729427,Strada Armand Călinescu,primary,40,True,False,80.258,"LINESTRING (24.8710859 44.8557768, 24.871408 44.8555304, 24.8716981 44.8553067, 24.8717823 44.8552505)",2,,,,
23534594,Bulevardul Eroilor,tertiary,RO:urban,False,True,127.09,"LINESTRING (24.8717823 44.8552505, 24.8716412 44.8551357, 24.8715107 44.8550263, 24.8707334 44.8543825)",3,,,,
23609769,Bulevardul Eroilor,tertiary,RO:urban,False,True,111.786,"LINESTRING (24.8717823 44.8552505, 24.8718091 44.8552744, 24.8727086 44.8560117)",,,,,
31815105,Strada Egalității,primary,RO:urban,True,False,51.812,"LINESTRING (24.8717823 44.8552505, 24.8718546 44.8552056, 24.8721966 44.8549983, 24.8722869 44.8549523)",2,,,,
23865607,Strada Smeurei,primary,RO:urban,True,False,28.46,"LINESTRING (24.8662681 44.8590573, 24.8664927 44.8588569)",,,,,
23630804,,primary,RO:urban,True,False,72.803,"LINESTRING (24.8667256 44.8585942, 24.8667725 44.8586837, 24.8668152 44.8587375, 24.8668687 44.8587759, 24.8671599 44.8589597, 24.867336 44.8590709)",3,,,,
31815090,Strada Smeurei,primary,RO:urban,False,False,202.09300000000002,"LINESTRING (24.8667256 44.8585942, 24.8667495 44.8585255, 24.866772 44.8584499, 24.8667888 44.8583079, 24.8667921 44.8582799, 24.8668397 44.857969, 24.866856 44.8577846, 24.8668413 44.8576551, 24.8667488 44.8575584, 24.8661989 44.8572108, 24.8660943 44.8571244, 24.8659933 44.85703)",4,DN67B,,,
706138560,Bulevardul Republicii,primary,RO:urban,True,False,149.774,"LINESTRING (24.8720389 44.8564158, 24.8708034 44.8572763, 24.8707699 44.8572997, 24.8706835 44.8573598)",3,,,,
231800151,Bulevardul I. C. Brătianu,primary,RO:urban,False,True,28.034,"LINESTRING (24.8703775 44.8605129, 24.8706533 44.8603537)",4,,,,
115947845,Bulevardul I. C. Brătianu,primary,RO:urban,False,False,135.562,"LINESTRING (24.8703775 44.8605129, 24.8693687 44.8610819, 24.8690346 44.8612746)",4,,,,
