osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref,bridge,access
184189487,False,2,Bulevardul Ion Constantin Brătianu,tertiary,50,True,96.635,"LINESTRING (22.8777833 47.7933168, 22.8790708 47.7932324)",,,
1231366816,False,2,Strada Gheorghe Doja,residential,50,False,75.065,"LINESTRING (22.8777833 47.7933168, 22.8774361 47.7926833)",,,
1231366815,False,2,Bulevardul Ion Constantin Brătianu,tertiary,50,False,73.772,"LINESTRING (22.8777833 47.7933168, 22.8769361 47.7933578, 22.8767984 47.7933654)",,,
1195533409,False,,Strada 1 Decembrie 1918,residential,RO:urban,True,60.207,"LINESTRING (22.8774361 47.7926833, 22.8767103 47.7929187)",,,
1231366816,False,2,Strada Gheorghe Doja,residential,50,True,75.065,"LINESTRING (22.8774361 47.7926833, 22.8777833 47.7933168)",,,
40600267,False,,Strada 1 Decembrie 1918,residential,RO:urban,False,98.15100000000001,"LINESTRING (22.8774361 47.7926833, 22.8778763 47.7925296, 22.8785551 47.7922232)",,,
24979877,False,2,Strada Constantin Brâncoveanu,secondary,RO:urban,False,31.204,"LINESTRING (22.8688142 47.7913457, 22.8691853 47.7912169)",DN19A,,
31767979,True,2,Strada Nicolae Golescu,secondary,RO:urban,False,43.306,"LINESTRING (22.8688142 47.7913457, 22.8685968 47.7913132, 22.8685122 47.7912925, 22.8684446 47.7912585, 22.8683072 47.7911778)",DN19A,,
275527002,True,2,Strada Martirilor Deportați,primary,50,False,48.426,"LINESTRING (22.8688142 47.7913457, 22.868909 47.7914237, 22.8690025 47.7915007, 22.8691928 47.7916984)",,,
24979877,False,2,Strada Constantin Brâncoveanu,secondary,RO:urban,True,31.204,"LINESTRING (22.8691853 47.7912169, 22.8688142 47.7913457)",DN19A,,
24979877,False,2,Strada Constantin Brâncoveanu,secondary,RO:urban,False,33.885999999999996,"LINESTRING (22.8691853 47.7912169, 22.8692761 47.7911906, 22.8695991 47.7910921)",DN19A,,
718839871,True,1,Strada Martirilor Deportați,secondary_link,RO:urban,False,53.637,"LINESTRING (22.8691853 47.7912169, 22.8691737 47.7914052, 22.869169 47.7915035, 22.869181 47.791601, 22.8691928 47.7916984)",,,
31977753,False,2,Strada Păstrăvului,secondary,RO:urban,False,61.973,"LINESTRING (22.8722263 47.7919463, 22.8730256 47.7917971)",DN19A,,
40500622,False,2,Strada Petőfi Sándor,secondary,RO:urban,True,175.548,"LINESTRING (22.8722263 47.7919463, 22.8715421 47.7912179, 22.8708865 47.7906516)",DN19A,,
275527002,True,2,Strada Martirilor Deportați,primary,50,False,190.285,"LINESTRING (22.8691928 47.7916984, 22.869261 47.7918813, 22.8693307 47.7922042, 22.869508 47.792778, 22.8695096 47.7927825, 22.8697135 47.7933726)",,,
24979877,False,2,Strada Constantin Brâncoveanu,secondary,RO:urban,False,107.93,"LINESTRING (22.8695991 47.7910921, 22.8708865 47.7906516)",DN19A,,
24979877,False,2,Strada Constantin Brâncoveanu,secondary,RO:urban,True,33.885999999999996,"LINESTRING (22.8695991 47.7910921, 22.8692761 47.7911906, 22.8691853 47.7912169)",DN19A,,
547111460,False,,Strada Martirilor Deportați,tertiary,RO:urban,False,104.283,"LINESTRING (22.8695991 47.7910921, 22.8691411 47.7906183, 22.8688349 47.7903073)",,,
275526990,True,2,Strada Nicolae Golescu,primary,RO:urban,False,72.972,"LINESTRING (22.8683072 47.7911778, 22.8680098 47.7905527)",DN19A,,
718839867,True,2,Strada Nicolae Golescu,primary,50,False,4.927,"LINESTRING (22.8684122 47.7917214, 22.8684108 47.7916771)",,,
1086833726,False,2,Strada Bogdan Petriceicu Hașdeu,residential,50,True,95.533,"LINESTRING (22.8667947 47.7923598, 22.8677523 47.7927857, 22.8678209 47.7928199, 22.8678554 47.7928393)",,,
31978212,False,4,Bulevardul Transilvania,tertiary,50,False,118.78999999999999,"LINESTRING (22.867697 47.7891465, 22.8681277 47.7890775, 22.8692476 47.7889101)",,,
1231366815,False,2,Bulevardul Ion Constantin Brătianu,tertiary,50,True,73.772,"LINESTRING (22.8767984 47.7933654, 22.8769361 47.7933578, 22.8777833 47.7933168)",,,
24979877,False,2,Strada Constantin Brâncoveanu,secondary,RO:urban,True,107.93,"LINESTRING (22.8708865 47.7906516, 22.8695991 47.7910921)",DN19A,,
40500622,False,2,Strada Petőfi Sándor,secondary,RO:urban,False,175.548,"LINESTRING (22.8708865 47.7906516, 22.8715421 47.7912179, 22.8722263 47.7919463)",DN19A,,
"[1173637474, 1195533410, 1268340604, 1173637469, 1092082975]",False,2,"['Piața Libertății', 'Strada Alexandru Ioan Cuza']",secondary,"['20', 'RO:urban']",False,285.753,"LINESTRING (22.8740551 47.7919475, 22.8744861 47.7919872, 22.8744985 47.7919884, 22.8750811 47.7920424, 22.8751273 47.7920467, 22.8753966 47.7920216, 22.8755968 47.7919358, 22.8756587 47.7919093, 22.8771068 47.7912008, 22.8774098 47.7910597)",,,
"[1092082977, 31977753, 1247544150]",False,2,"['Piața Libertății', 'Strada Păstrăvului']",secondary,"['20', 'RO:urban']",True,83.05199999999999,"LINESTRING (22.8740551 47.7919475, 22.8736775 47.791877, 22.8736361 47.7918507, 22.8735177 47.7917755, 22.8734195 47.7917602, 22.8733394 47.7917586, 22.8730256 47.7917971)",DN19A,,
31978212,False,4,Bulevardul Transilvania,tertiary,50,False,125.725,"LINESTRING (22.8755637 47.7879758, 22.8766786 47.7878923, 22.8772367 47.7878537)",,,
31978212,False,4,Bulevardul Transilvania,tertiary,50,True,141.806,"LINESTRING (22.8755637 47.7879758, 22.8752475 47.7880215, 22.8740905 47.7881993, 22.8737115 47.7882545)",,,
