osmid,oneway,highway,reversed,length,lanes,ref,name,maxspeed,geometry
684249850,True,residential,False,24.687,,,,,"LINESTRING (26.5948572 48.1862668, 26.5950413 48.1864518)"
258329589,False,primary,False,56.733,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.5948572 48.1862668, 26.5952218 48.1862284, 26.595615 48.1861963)"
258329589,False,primary,True,132.202,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.5948572 48.1862668, 26.5944545 48.186329, 26.594334 48.1863473, 26.594245 48.1863639, 26.5940287 48.1864181, 26.5932066 48.1866976)"
258329589,False,primary,False,36.851,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.6007427 48.1845287, 26.6011684 48.1843576)"
258329589,False,primary,True,169.063,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.6007427 48.1845287, 26.598628 48.1850977)"
258989881,False,residential,False,118.02,1,,Strada Unirii,RO:urban,"LINESTRING (26.6007427 48.1845287, 26.6007698 48.1845737, 26.6009345 48.1848473, 26.6011945 48.185204, 26.6012352 48.1853877, 26.6011949 48.1855208)"
"[258989860, 264726500]",False,residential,False,184.543,,,Strada Soarelui,RO:urban,"LINESTRING (26.5967872 48.1824919, 26.5972812 48.1822806, 26.5982356 48.1822147, 26.5984997 48.1823325, 26.5987441 48.182716)"
258989860,False,residential,True,307.462,,,Strada Soarelui,RO:urban,"LINESTRING (26.5967872 48.1824919, 26.596282 48.1829067, 26.5963034 48.1831891, 26.5970539 48.1843239, 26.5977979 48.1848287)"
258989762,False,residential,False,79.137,,,Strada Flacara,RO:urban,"LINESTRING (26.6012552 48.1825026, 26.6012985 48.1825084, 26.6022045 48.1828255)"
258989878,False,residential,False,77.41199999999999,,,Strada Trei Fântâni,RO:urban,"LINESTRING (26.6012552 48.1825026, 26.6012456 48.1825233, 26.6009942 48.1829495, 26.601021 48.1831653)"
264726500,False,residential,False,355.3,,,Strada Soarelui,RO:urban,"LINESTRING (26.5987441 48.182716, 26.5992097 48.1832822, 26.5994047 48.1837935, 26.5997559 48.1843869, 26.5992213 48.1845684, 26.5977979 48.1848287)"
"[264726500, 258989860]",False,residential,True,184.543,,,Strada Soarelui,RO:urban,"LINESTRING (26.5987441 48.182716, 26.5984997 48.1823325, 26.5982356 48.1822147, 26.5972812 48.1822806, 26.5967872 48.1824919)"
258989762,False,residential,True,79.137,,,Strada Flacara,RO:urban,"LINESTRING (26.6022045 48.1828255, 26.6012985 48.1825084, 26.6012552 48.1825026)"
258989815,False,tertiary,False,188.367,,,Strada Muncitorului,RO:urban,"LINESTRING (26.6022045 48.1828255, 26.6014978 48.1836898, 26.6011603 48.1842768, 26.601163 48.1843042, 26.6011684 48.1843576)"
258989878,False,residential,True,77.412,,,Strada Trei Fântâni,RO:urban,"LINESTRING (26.601021 48.1831653, 26.6009942 48.1829495, 26.6012456 48.1825233, 26.6012552 48.1825026)"
258989880,False,tertiary,False,69.737,1,,Strada Tudor Vladimirescu,RO:urban,"LINESTRING (26.591128 48.1835633, 26.59105 48.1841883)"
258989787,False,residential,False,47.661,,,Strada Ion Vodă,RO:urban,"LINESTRING (26.591128 48.1835633, 26.5912241 48.183499, 26.5914805 48.1832076)"
258989880,False,tertiary,True,121.10499999999999,1,,Strada Tudor Vladimirescu,RO:urban,"LINESTRING (26.591128 48.1835633, 26.5911153 48.1834979, 26.5910805 48.183444, 26.5910293 48.1833901, 26.5904966 48.1830103, 26.5901086 48.182731)"
258989880,False,tertiary,False,138.253,1,,Strada Tudor Vladimirescu,RO:urban,"LINESTRING (26.59105 48.1841883, 26.5909858 48.1854309)"
258989880,False,tertiary,True,69.737,1,,Strada Tudor Vladimirescu,RO:urban,"LINESTRING (26.59105 48.1841883, 26.591128 48.1835633)"
296403038,False,residential,True,111.475,,,,,"LINESTRING (26.59105 48.1841883, 26.5909766 48.1841891, 26.5902623 48.1841816, 26.5902384 48.1846586)"
258329589,False,primary,True,36.851,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.6011684 48.1843576, 26.6007427 48.1845287)"
258989815,False,tertiary,True,188.36700000000002,,,Strada Muncitorului,RO:urban,"LINESTRING (26.6011684 48.1843576, 26.601163 48.1843042, 26.6011603 48.1842768, 26.6014978 48.1836898, 26.6022045 48.1828255)"
258989860,False,residential,False,307.462,,,Strada Soarelui,RO:urban,"LINESTRING (26.5977979 48.1848287, 26.5970539 48.1843239, 26.5963034 48.1831891, 26.596282 48.1829067, 26.5967872 48.1824919)"
258989860,False,residential,True,52.30499999999999,,,Strada Soarelui,RO:urban,"LINESTRING (26.5977979 48.1848287, 26.5978956 48.184872, 26.59803 48.185209, 26.5980468 48.185251)"
264726500,False,residential,True,355.3,,,Strada Soarelui,RO:urban,"LINESTRING (26.5977979 48.1848287, 26.5992213 48.1845684, 26.5997559 48.1843869, 26.5994047 48.1837935, 26.5992097 48.1832822, 26.5987441 48.182716)"
258329589,False,primary,False,169.063,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.598628 48.1850977, 26.6007427 48.1845287)"
258329589,False,primary,True,46.338,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.598628 48.1850977, 26.5980468 48.185251)"
258989885,False,residential,True,161.214,,,Strada Unirii,RO:urban,"LINESTRING (26.598628 48.1850977, 26.5986427 48.1851612, 26.5986573 48.1852247, 26.5986957 48.185286, 26.5988181 48.1854189, 26.5993335 48.1857419, 26.5999392 48.186222)"
258329589,False,primary,False,46.338,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.5980468 48.185251, 26.598628 48.1850977)"
258329589,False,primary,True,79.76700000000001,2,DN29A,Strada 1 Decembrie 1918,50,"LINESTRING (26.5980468 48.185251, 26.5975986 48.1854013, 26.5974711 48.1854533, 26.5971123 48.1856049)"
258989740,True,tertiary,False,110.066,1,DC1E,Strada Cucului,RO:urban,"LINESTRING (26.5980468 48.185251, 26.5980555 48.1852605, 26.5981038 48.1853752, 26.5981323 48.1854427, 26.5982065 48.1855878, 26.5981639 48.185666, 26.5974762 48.1859751)"
258989860,False,residential,False,52.30499999999999,,,Strada Soarelui,RO:urban,"LINESTRING (26.5980468 48.185251, 26.59803 48.185209, 26.5978956 48.184872, 26.5977979 48.1848287)"
258989893,False,residential,True,27.080000000000002,,,Strada Vânătorilor,RO:urban,"LINESTRING (26.6024768 48.1852795, 26.6022325 48.1854259, 26.6022075 48.1854439)"
258989880,False,tertiary,True,138.253,1,,Strada Tudor Vladimirescu,RO:urban,"LINESTRING (26.5909858 48.1854309, 26.59105 48.1841883)"
258989880,False,tertiary,False,101.761,1,,Strada Tudor Vladimirescu,RO:urban,"LINESTRING (26.5909858 48.1854309, 26.590965 48.1859366, 26.5908164 48.1863337)"
258989884,False,residential,True,76.588,,,Strada Unirii,RO:urban,"LINESTRING (26.6022075 48.1854439, 26.6016152 48.1855446, 26.6011949 48.1855208)"
258989893,False,residential,False,27.080000000000002,,,Strada Vânătorilor,RO:urban,"LINESTRING (26.6022075 48.1854439, 26.6022325 48.1854259, 26.6024768 48.1852795)"
258989904,False,residential,False,554.562,1,,Strada Vulturului,RO:urban,"LINESTRING (26.6022075 48.1854439, 26.602229 48.1854447, 26.6024281 48.185454, 26.6031674 48.1857847, 26.6033077 48.1862572, 26.6032341 48.1863692, 26.6029755 48.1865, 26.6020893 48.1869485, 26.6015132 48.1871528, 26.6006779 48.1877662, 26.6004338 48.1878732, 26.6002318 48.1878813, 26.6001679 48.18786, 26.6001078 48.18784, 26.5994019 48.1872893, 26.5990799 48.1871188)"
