osmid,oneway,lanes,name,highway,maxspeed,junction,reversed,length,geometry,ref,access
676287408,True,4,Piața Eroilor,primary,30,circular,False,18.076999999999998,"LINESTRING (26.0180381 44.9434809, 26.0179279 44.9434579, 26.0178279 44.943418)",,
676287398,True,4,Piața Eroilor,primary,30,circular,False,18.866999999999997,"LINESTRING (26.0176198 44.9430852, 26.0176484 44.943, 26.0176998 44.9429264)",,
676287390,True,4,Piața Eroilor,primary,30,circular,False,14.827,"LINESTRING (26.0186365 44.9431356, 26.0186279 44.943201, 26.0185995 44.9432656)",,
"[218410808, 931455216]",True,3,Bulevardul Republicii,primary,30,,False,63.9,"LINESTRING (26.0183674 44.9428071, 26.0185898 44.9427733, 26.0187608 44.9427461, 26.0189204 44.9427172, 26.0190873 44.9426851, 26.019157 44.9426739)",,
676287391,True,4,Piața Eroilor,primary,30,circular,False,44.373,"LINESTRING (26.0183674 44.9428071, 26.0184306 44.9428336, 26.0184811 44.9428658, 26.0185679 44.9429443, 26.018621 44.9430366, 26.0186365 44.9431356)",,
13236138,False,2,Strada Neagoe Basarab,secondary,50,,False,119.505,"LINESTRING (26.0281615 44.9422367, 26.0282055 44.9422826, 26.0282216 44.9422993, 26.0282974 44.9423782, 26.0283796 44.9424634, 26.028446 44.9425399, 26.0287593 44.9429473, 26.0288461 44.9430739, 26.0288779 44.9431776)",,
122414173,False,4,Strada Constantin Dobrogeanu Gherea,secondary,30,,True,33.367000000000004,"LINESTRING (26.0281615 44.9422367, 26.0280949 44.9421703, 26.0279103 44.941995)",,
224636475,False,3,Strada Nicolae Bălcescu,secondary,50,,True,32.973,"LINESTRING (26.0281615 44.9422367, 26.0282609 44.9421426, 26.0283887 44.9419881)",,
224636477,False,3,Strada Ștefan Greceanu,secondary,50,,True,33.2,"LINESTRING (26.0281615 44.9422367, 26.0280822 44.9423027, 26.0278817 44.9424601)",,
176476903,False,2,Strada Ștefan Greceanu,secondary,50,,False,27.418999999999997,"LINESTRING (26.0255025 44.9436346, 26.0256321 44.9435996, 26.0258261 44.9435433)",,
"[667325819, 931459719]",False,2,Strada Romană,tertiary,50,,False,194.603,"LINESTRING (26.0255025 44.9436346, 26.0255052 44.9436556, 26.0255079 44.9436764, 26.0255103 44.9436946, 26.0255041 44.9437475, 26.0254737 44.9438208, 26.0254196 44.9439279, 26.0250997 44.9445546, 26.024783 44.945175, 26.024732 44.9452901)",,
667548467,False,3,Strada Sublocotenent Erou Călin Cătălin,secondary,50,,True,62.141,"LINESTRING (26.0255025 44.9436346, 26.0254808 44.9436016, 26.0254338 44.9435598, 26.0253419 44.9434975, 26.0251764 44.943403, 26.0251427 44.9433837, 26.0249256 44.9432592)",,
931459723,False,2,Strada Ștefan Greceanu,secondary,50,,False,11.651,"LINESTRING (26.0267699 44.9432539, 26.0268976 44.9432009)",,
"[931459721, 931459722]",False,2,Strada Ștefan Greceanu,secondary,50,,True,80.963,"LINESTRING (26.0267699 44.9432539, 26.0264248 44.9433535, 26.0258261 44.9435433)",,
931459723,False,2,Strada Ștefan Greceanu,secondary,50,,True,11.651,"LINESTRING (26.0268976 44.9432009, 26.0267699 44.9432539)",,
39959530,False,2,Strada Paris,residential,RO:urban,,True,120.31099999999999,"LINESTRING (26.0268976 44.9432009, 26.0267335 44.9431104, 26.026659 44.9430665, 26.0265772 44.9430242, 26.0256157 44.9426144)",,
667528805,False,4,Strada Ștefan Greceanu,secondary,50,,False,44.035,"LINESTRING (26.0268976 44.9432009, 26.0270561 44.9431159, 26.0271585 44.943052, 26.0273161 44.9429392)",,
667528804,False,3,Strada Ștefan Greceanu,secondary,50,,False,69.424,"LINESTRING (26.0273161 44.9429392, 26.0278817 44.9424601)",,
667528805,False,4,Strada Ștefan Greceanu,secondary,50,,True,44.035,"LINESTRING (26.0273161 44.9429392, 26.0271585 44.943052, 26.0270561 44.9431159, 26.0268976 44.9432009)",,
