osmid,name,highway,maxspeed,junction,oneway,reversed,length,lanes,ref,geometry,bridge
45896100,Giratoriu Primărie,secondary,RO:urban,roundabout,True,False,6.113,,,"LINESTRING (22.1310146 46.3723406, 22.1310251 46.3723951)",
27597288,Bulevardul Republicii,secondary,50,,False,False,45.251999999999995,2,DJ792B,"LINESTRING (22.1356246 46.377517, 22.1355186 46.377466, 22.1353175 46.3773856, 22.1351267 46.3772992)",
45896099,Strada Dornei,secondary,50,,False,True,43.143,2,DJ793,"LINESTRING (22.1356246 46.377517, 22.1355736 46.3774494, 22.1354838 46.3773504, 22.1353216 46.3771907)",
27597288,Bulevardul Republicii,secondary,50,,False,True,8.903,2,DJ792B,"LINESTRING (22.1237636 46.3711678, 22.1238215 46.3711746, 22.1238765 46.3711857)",
27597288,Bulevardul Republicii,secondary,50,,False,False,178.84600000000003,2,DJ792B,"LINESTRING (22.1257267 46.3721586, 22.125624 46.3721013, 22.1240388 46.371238, 22.1239577 46.3712074, 22.1238765 46.3711857)",
27597288,Bulevardul Republicii,secondary,50,,False,True,294.698,2,DJ792B,"LINESTRING (22.1257267 46.3721586, 22.1258265 46.372217, 22.1264823 46.3725788, 22.1272454 46.3729979, 22.1281533 46.3734921, 22.1286844 46.3737798, 22.1287337 46.3738076)",
45982778,Strada Mureșului,residential,RO:urban,,False,False,136.755,,,"LINESTRING (22.1257267 46.3721586, 22.1256401 46.3722336, 22.1254536 46.372402, 22.1251599 46.3726445, 22.1246906 46.3730498, 22.1246151 46.3731198)",
47088561,Bulevardul Victoriei,secondary,50,,False,False,99.119,,,"LINESTRING (22.1257267 46.3721586, 22.1258144 46.3720856, 22.1261041 46.3718274, 22.1263495 46.3716183, 22.1265292 46.3714601)",
47088561,Bulevardul Victoriei,secondary,50,,False,False,85.857,,,"LINESTRING (22.1271797 46.370915, 22.1278207 46.3711705, 22.128152 46.3712972)",
47088561,Bulevardul Victoriei,secondary,50,,False,True,78.575,,,"LINESTRING (22.1271797 46.370915, 22.1271381 46.3709465, 22.127004 46.3710437, 22.1265292 46.3714601)",
