osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,ref,width,junction
25240778,False,2,Strada Griviței,secondary,50,yes,False,88.00099999999999,"LINESTRING (25.7324569 45.1252541, 25.7325193 45.1252042, 25.7330489 45.1247767, 25.7330979 45.1247318, 25.7331382 45.1246819, 25.7331601 45.1246418)",,,
25240828,False,2,Strada Griviței,secondary,50,yes,False,98.315,"LINESTRING (25.7324569 45.1252541, 25.7323796 45.1253206, 25.7321169 45.1255503, 25.7316691 45.1259417)",,,
220321694,False,2,Bulevardul Culturii,residential,30,,False,229.55900000000003,"LINESTRING (25.7324569 45.1252541, 25.7323768 45.1252071, 25.732341 45.1251861, 25.7319387 45.12495, 25.7315153 45.1247015, 25.7309734 45.1243835, 25.7307952 45.1242789, 25.7303803 45.1240354, 25.7303299 45.1240058, 25.7302074 45.1239339)",,,
"[25240755, 1119795077]",False,"['2', '3']",Bulevardul Culturii,secondary,30,,True,102.75199999999998,"LINESTRING (25.7324569 45.1252541, 25.7325556 45.1253166, 25.7325754 45.1253291, 25.7326379 45.1253686, 25.7327007 45.1254083, 25.7329047 45.1255374, 25.7332689 45.1257679, 25.7333138 45.1257963, 25.733431 45.1258718)",DJ102,,
242165861,False,2,Strada Plevnei,secondary,30,yes,False,99.42099999999999,"LINESTRING (25.7309323 45.1232954, 25.7315868 45.12264, 25.7316622 45.1225645)",,,
242165861,False,2,Strada Plevnei,secondary,30,yes,True,90.968,"LINESTRING (25.7309323 45.1232954, 25.7306903 45.1235104, 25.7304137 45.123753, 25.7302553 45.1238919, 25.7302074 45.1239339)",,,
235931379,False,,Aleea Luceafărul,residential,30,,True,85.68400000000001,"LINESTRING (25.7322324 45.1219711, 25.7330412 45.1223118, 25.7331715 45.1223644)",,,
1190214921,False,2,Strada Plevnei,secondary,50,yes,False,89.76899999999999,"LINESTRING (25.7322324 45.1219711, 25.7322258 45.1219175, 25.732157 45.1218566, 25.7318361 45.1216562, 25.7317636 45.1215928, 25.7317469 45.1215556, 25.7317342 45.1215044, 25.73174 45.1214428, 25.7317582 45.1213714, 25.7317884 45.1213084)",,,
1190214921,False,2,Strada Plevnei,secondary,50,yes,True,79.795,"LINESTRING (25.7322324 45.1219711, 25.7321831 45.1220395, 25.731757 45.1224689, 25.7316622 45.1225645)",,,
34207072,False,2,Strada Alexandru Ioan Cuza,tertiary,50,,False,75.35900000000001,"LINESTRING (25.73949 45.1267491, 25.7395689 45.1267858, 25.7396356 45.1268168, 25.7402837 45.1271308)",,,
