osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,junction,ref
80323968,True,2,Strada General Christian Tell,residential,30,yes,False,30.817,"LINESTRING (23.2747512 45.0414178, 23.2749598 45.0416525)",,
26612671,True,2,Strada General Christian Tell,residential,30,yes,False,183.13,"LINESTRING (23.2747512 45.0414178, 23.2747957 45.041321, 23.2748265 45.0412611, 23.2748636 45.0412015, 23.2752973 45.0410046, 23.2757074 45.0408611, 23.2761579 45.0407093, 23.2766564 45.0405777)",,
80323960,True,2,Strada General Christian Tell,residential,50,yes,False,153.60399999999998,"LINESTRING (23.2746305 45.0426096, 23.2745523 45.0421626, 23.2744401 45.0418805, 23.2743353 45.0417419, 23.2743999 45.041666, 23.2744026 45.0415564, 23.2747512 45.0414178)",,
1235845745,False,2,Strada General Christian Tell,residential,30,yes,False,24.336000000000002,"LINESTRING (23.2746305 45.0426096, 23.2745518 45.0426227, 23.2744145 45.0426467, 23.2743296 45.0426615)",,
1236034694,True,2,Strada Traian,secondary,30,yes,False,16.783,"LINESTRING (23.2762527 45.040075, 23.2760561 45.040134)",,
1236034690,True,2,,secondary,30,,False,4.9559999999999995,"LINESTRING (23.2762527 45.040075, 23.2762386 45.04007, 23.2762275 45.040062, 23.2762208 45.0400519, 23.2762191 45.0400409)",roundabout,
219644212,False,4,Bulevardul Ecaterina Teodoroiu,primary,50,yes,False,5.405,"LINESTRING (23.2763158 45.0453237, 23.2762767 45.0452837)",,DN66
28927388,False,2,Strada Comuna din Paris,residential,50,yes,False,156.824,"LINESTRING (23.2763158 45.0453237, 23.2764681 45.0453123, 23.2770513 45.045267, 23.2783044 45.0452042)",,
219644212,False,4,Bulevardul Ecaterina Teodoroiu,primary,50,yes,True,100.238,"LINESTRING (23.2763158 45.0453237, 23.276731 45.0457921, 23.2768148 45.0458821, 23.2769979 45.0460855)",,DN66
27940690,False,2,Strada Griviței,residential,50,yes,False,297.92699999999996,"LINESTRING (23.2783044 45.0452042, 23.2778278 45.0438418, 23.2776563 45.0433838, 23.2774732 45.042895, 23.277365 45.0426085)",,
28927388,False,2,Strada Comuna din Paris,residential,50,yes,True,156.824,"LINESTRING (23.2783044 45.0452042, 23.2770513 45.045267, 23.2764681 45.0453123, 23.2763158 45.0453237)",,
27940690,False,2,Strada Griviței,residential,50,yes,True,80.557,"LINESTRING (23.2766564 45.0405777, 23.2769136 45.041279)",,
25721406,False,2,Strada Traian,residential,50,yes,False,179.866,"LINESTRING (23.2766564 45.0405777, 23.2769507 45.0406005, 23.2773966 45.0406795, 23.2778209 45.0407694, 23.278231 45.0408822, 23.2785744 45.0409793, 23.2788391 45.041045)",,
27940690,False,2,Strada Griviței,residential,50,yes,False,56.812000000000005,"LINESTRING (23.2766564 45.0405777, 23.2766189 45.040453, 23.2763445 45.0401222)",,
674522888,True,2,Bulevardul Constantin Brâncuși,tertiary,50,yes,False,23.348,"LINESTRING (23.2722515 45.0447292, 23.272166 45.0445281)",,
"[1162893339, 1162893341]",True,,,tertiary,,,False,10.637,"LINESTRING (23.2722515 45.0447292, 23.2722738 45.0447015, 23.2723059 45.0446791, 23.2723453 45.0446635)",roundabout,
27939286,False,2,Strada Vasile Alecsandri,tertiary,30,yes,False,63.598000000000006,"LINESTRING (23.2724869 45.0451535, 23.2725024 45.0452277, 23.2725236 45.0453289, 23.2725559 45.0455744, 23.2725956 45.0457198)",,
674522885,True,2,Strada Vasile Alecsandri,tertiary,30,yes,False,34.563,"LINESTRING (23.2724869 45.0451535, 23.2723703 45.0449659, 23.27231 45.0448689)",,
178717678,False,2,Strada Geneva,secondary,50,yes,True,15.01,"LINESTRING (23.2761165 45.0398326, 23.2762026 45.0399531)",,
"[42177101, 1163658879]",False,2,Strada Geneva,tertiary,50,yes,False,148.042,"LINESTRING (23.2761165 45.0398326, 23.276048 45.0397127, 23.2758845 45.0393973, 23.2756726 45.0391238, 23.2752762 45.0386454)",,
443347879,True,2,Strada Tudor Vladimirescu,secondary,50,,False,130.553,"LINESTRING (23.2761165 45.0398326, 23.2767008 45.0397398, 23.2777461 45.0396045)",,
178708462,False,2,Calea Eroilor,living_street,5,destination,False,155.669,"LINESTRING (23.2729148 45.0389085, 23.274872 45.0386913)",,
