osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,access,geometry,bridge
471160209,True,2,DN58,Strada Ion Luca Caragiale,secondary,50,False,33.497,,"LINESTRING (21.884809 45.289619, 21.8849673 45.2893391)",
669859952,False,2,DN58,Strada Mihai Eminescu,residential,60,True,13.408,yes,"LINESTRING (21.884809 45.289619, 21.8849366 45.2896995)",
713183256,True,1,DN58,Bulevardul Revoluția din Decembrie,residential,60,False,12.042,yes,"LINESTRING (21.884809 45.289619, 21.8849629 45.2896212)",
853539529,False,3,,Strada Mihai Eminescu,residential,RO:urban,True,30.576,,"LINESTRING (21.884809 45.289619, 21.8845028 45.2894481)",
1233040057,True,2,,,residential,50,False,21.286,,"LINESTRING (21.8864165 45.2907677, 21.8865889 45.2906196)",
853539533,True,2,DN58,Bulevardul Revoluția din Decembrie,primary,60,False,139.2,,"LINESTRING (21.8864165 45.2907677, 21.8864317 45.2907282, 21.8864352 45.2906716, 21.8864235 45.2906215, 21.886385 45.2905705, 21.8863418 45.2905352, 21.8862157 45.2904588, 21.8861916 45.2904443, 21.8853975 45.2899637, 21.8852619 45.2898863)",
210212088,False,2,,Piața Traian Vuia,primary,50,False,112.845,,"LINESTRING (21.8832018 45.2923028, 21.8833939 45.2923078, 21.8838088 45.2923186, 21.8846401 45.292375)",
24043113,False,2,DJ581,Strada 24 Ianuarie 1859,secondary,RO:urban,False,35.644,,"LINESTRING (21.8820266 45.2908153, 21.8815752 45.2907716)",
"[24033194, 210212098, 24033252]",False,2,DJ581,"['Strada Lucian Blaga', 'Strada Spitalului']",secondary,RO:urban,False,154.62800000000001,,"LINESTRING (21.8820266 45.2908153, 21.8831667 45.2909578, 21.8833433 45.2909673, 21.883488 45.2909615, 21.8836362 45.2909345, 21.8837322 45.2909087, 21.8838241 45.2908538, 21.8839119 45.290796)",
210214266,False,,,Strada Lucian Blaga,residential,50,True,64.404,,"LINESTRING (21.8820266 45.2908153, 21.8820097 45.2907142, 21.8819661 45.2906599, 21.8819009 45.2906182, 21.8816307 45.2904721, 21.8815135 45.2903944)",
