osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,name,bridge,access
216090940,False,2,residential,50,True,31.501,"LINESTRING (25.2216501 46.0386758, 25.2215298 46.0386977, 25.2214504 46.038709, 25.2213394 46.0387244, 25.2212515 46.0387361)",,,,
1166064138,False,2,secondary,50,True,74.881,"LINESTRING (25.2216501 46.0386758, 25.2214721 46.0385719, 25.2213698 46.0385183, 25.2212544 46.0384466, 25.2209374 46.0382205)",DJ132,Strada Republicii,,
"[216087196, 1166064139, 1250466332]",False,2,secondary,"['50', '30']",False,464.03700000000003,"LINESTRING (25.2216501 46.0386758, 25.2217921 46.0387366, 25.2218888 46.0387751, 25.2220072 46.0388164, 25.2221896 46.038867, 25.2223465 46.0389062, 25.2225292 46.0389422, 25.222741 46.0389781, 25.2232727 46.0390671, 25.2234297 46.0390921, 25.2243072 46.0392348, 25.2247924 46.0393086, 25.2254848 46.0394115, 25.2261473 46.0394968, 25.2268085 46.0395742, 25.2273356 46.0396352, 25.2274714 46.0396481)",DJ132,Strada Republicii,,
1166064138,False,2,secondary,50,True,114.958,"LINESTRING (25.2168278 46.0353992, 25.2158502 46.0346193)",DJ132,Strada Republicii,,
66097547,False,2,residential,RO:urban,False,105.831,"LINESTRING (25.2168278 46.0353992, 25.2167634 46.0354375, 25.2158049 46.0360329)",,Strada A.P. Bănuț,,
1166064138,False,2,secondary,50,False,259.63899999999995,"LINESTRING (25.2168278 46.0353992, 25.2169871 46.0355163, 25.2175252 46.0359105, 25.2177844 46.036096, 25.2180964 46.036302, 25.2190076 46.0368688, 25.2192483 46.0370182)",DJ132,Strada Republicii,,
"[1166064139, 216087196, 1250466332]",False,2,secondary,"['50', '30']",True,464.037,"LINESTRING (25.2274714 46.0396481, 25.2273356 46.0396352, 25.2268085 46.0395742, 25.2261473 46.0394968, 25.2254848 46.0394115, 25.2247924 46.0393086, 25.2243072 46.0392348, 25.2234297 46.0390921, 25.2232727 46.0390671, 25.222741 46.0389781, 25.2225292 46.0389422, 25.2223465 46.0389062, 25.2221896 46.038867, 25.2220072 46.0388164, 25.2218888 46.0387751, 25.2217921 46.0387366, 25.2216501 46.0386758)",DJ132,Strada Republicii,,
216089340,False,1,residential,50,True,64.379,"LINESTRING (25.2274714 46.0396481, 25.2274897 46.0395543, 25.2275333 46.039327, 25.2275982 46.039076)",,Strada Republicii,,
536965296,False,2,residential,50,False,107.874,"LINESTRING (25.2170248 46.0335734, 25.2170225 46.0336343, 25.2170442 46.0336864, 25.2170888 46.0337424, 25.2174469 46.0340893, 25.2177412 46.0343908)",,Strada 1 Decembrie 1918,,
1166064138,False,2,secondary,50,False,114.958,"LINESTRING (25.2158502 46.0346193, 25.2168278 46.0353992)",DJ132,Strada Republicii,,
"[696221200, 216089342, 696221199]",False,,residential,,False,35.308,"LINESTRING (25.2158502 46.0346193, 25.2158868 46.0345882, 25.2159323 46.0345495, 25.2159984 46.0344908, 25.2160853 46.0343989, 25.2161218 46.0343642)",,,yes,
216089333,False,2,residential,50,True,92.368,"LINESTRING (25.2278182 46.0384517, 25.2277199 46.0384405, 25.2276038 46.0384178, 25.2274614 46.0383835, 25.2272832 46.0383282, 25.2271268 46.0382766, 25.2267124 46.0381423)",,Strada 1 Decembrie 1918,,
"[216089340, 1167298470, 1167298471]",False,1,residential,50,False,71.474,"LINESTRING (25.2278182 46.0384517, 25.2276761 46.0388407, 25.2276422 46.0389343, 25.2275982 46.039076)",,Strada Republicii,yes,
216089333,False,2,residential,50,False,207.567,"LINESTRING (25.2241768 46.0375376, 25.2244411 46.037575, 25.224674 46.0376087, 25.2248455 46.0376452, 25.2253907 46.0377643, 25.2258832 46.0378859, 25.2262503 46.0379993, 25.2267124 46.0381423)",,Strada 1 Decembrie 1918,,
216089333,False,2,residential,50,True,131.757,"LINESTRING (25.2241768 46.0375376, 25.2238838 46.0374899, 25.2235837 46.0374325, 25.2234003 46.0373896, 25.2232023 46.0373366, 25.222934 46.0372538, 25.2225771 46.0371358)",,Strada 1 Decembrie 1918,,
"[1029386940, 1029386941, 1029386942]",False,,residential,30,True,32.321999999999996,"LINESTRING (25.2241768 46.0375376, 25.2241431 46.0375883, 25.2241011 46.0376623, 25.2240361 46.0378109)",,,yes,
"[216089337, 586414028, 586414029]",False,2,residential,50,False,115.95,"LINESTRING (25.2192483 46.0370182, 25.2192941 46.0369688, 25.2195063 46.0367339, 25.2196006 46.0366191, 25.2196695 46.0365129, 25.2197283 46.036416, 25.2198142 46.0362574, 25.219856 46.0361769, 25.2199086 46.036086)",,,yes,
1166064138,False,2,secondary,50,False,67.549,"LINESTRING (25.2192483 46.0370182, 25.2197432 46.0373471, 25.2197924 46.037381, 25.2198767 46.0374409)",DJ132,Strada Republicii,,
1166064138,False,2,secondary,50,True,259.639,"LINESTRING (25.2192483 46.0370182, 25.2190076 46.0368688, 25.2180964 46.036302, 25.2177844 46.036096, 25.2175252 46.0359105, 25.2169871 46.0355163, 25.2168278 46.0353992)",DJ132,Strada Republicii,,
216089333,False,2,residential,50,False,19.251,"LINESTRING (25.2197074 46.0359837, 25.2199086 46.036086)",,Strada 1 Decembrie 1918,,
"[216091704, 216089341]",False,"['1', '2']",residential,50,False,489.14200000000005,"LINESTRING (25.2197074 46.0359837, 25.2204262 46.0352544, 25.2207984 46.0348514, 25.2209145 46.0347957, 25.2209756 46.0348036, 25.2210137 46.0348179, 25.2215242 46.0350782, 25.221967 46.0353067, 25.2223845 46.0355303, 25.2227203 46.0357061, 25.2227639 46.0357307, 25.2227836 46.0357523, 25.2227794 46.0357767, 25.2227657 46.0358135, 25.2224987 46.0362228, 25.2222982 46.0365804, 25.2221494 46.0369128, 25.2221187 46.0369861)",,Strada Pieții,,
536965296,False,2,residential,50,True,200.573,"LINESTRING (25.2197074 46.0359837, 25.2195323 46.0358756, 25.2193283 46.0357407, 25.2191208 46.0355988, 25.2189551 46.0354719, 25.2188167 46.0353698, 25.2186485 46.0352362, 25.2184817 46.035104, 25.2180701 46.0347224, 25.2179856 46.034639)",,Strada 1 Decembrie 1918,,
216089345,False,2,residential,RO:urban,False,24.458,"LINESTRING (25.2161218 46.0343642, 25.2163262 46.034457, 25.2163597 46.0344635, 25.2163975 46.0344626)",,Strada Republicii,,
"[696221200, 216089342, 696221199]",False,,residential,,True,35.308,"LINESTRING (25.2161218 46.0343642, 25.2160853 46.0343989, 25.2159984 46.0344908, 25.2159323 46.0345495, 25.2158868 46.0345882, 25.2158502 46.0346193)",,,yes,
"[66097544, 66097547]",False,2,residential,RO:urban,True,57.951,"LINESTRING (25.2152451 46.0358639, 25.2153072 46.0358649, 25.2153559 46.0358866, 25.2155763 46.036049, 25.2156601 46.0361128, 25.2158049 46.0360329)",,Strada A.P. Bănuț,,
216090942,False,1,residential,50,True,110.67899999999999,"LINESTRING (25.2152451 46.0358639, 25.2152004 46.0358691, 25.2151653 46.0358806, 25.2151231 46.0359019, 25.2151065 46.0359322, 25.2150962 46.0359683, 25.215107 46.0359988, 25.2153246 46.0362013, 25.215344 46.0362374, 25.2153459 46.0362671, 25.2153331 46.0363049, 25.2153055 46.0363382, 25.215261 46.0363748, 25.2151567 46.0364448, 25.2150801 46.0364941, 25.2150545 46.0365257, 25.2150397 46.0365675, 25.2150561 46.0366684)",,Strada A.P. Bănuț,,
1029386932,False,2,residential,50,False,26.293,"LINESTRING (25.2209144 46.0387701, 25.2212515 46.0387361)",,,,
216090945,False,2,residential,50,True,162.163,"LINESTRING (25.2209144 46.0387701, 25.2207696 46.0387895, 25.2203671 46.0388369, 25.2201217 46.0388567, 25.2199219 46.0388675, 25.2197496 46.0388677, 25.2195385 46.0388595, 25.2188306 46.0387951)",,Strada Republicii,,
"[345704275, 1165581518]",True,1,residential,50,False,235.67899999999997,"LINESTRING (25.2209144 46.0387701, 25.2206081 46.0386285, 25.2198149 46.0382743, 25.2192261 46.0379916, 25.2194905 46.0377731, 25.2197455 46.0375471, 25.2198248 46.037485, 25.2198767 46.0374409)",,Strada Republicii,,
1029386936,False,2,residential,50,True,17.212,"LINESTRING (25.2209144 46.0387701, 25.2209392 46.0387994, 25.2209533 46.0388276, 25.2209636 46.038859, 25.2209655 46.038885, 25.2209639 46.0389177)",,,,
