osmid,oneway,highway,maxspeed,reversed,length,geometry,name,ref,lanes,junction
24254302,False,residential,RO:urban,True,81.513,"LINESTRING (27.4859671 47.1559867, 27.4869904 47.1562173)",,,,
24254302,False,residential,RO:urban,False,98.65799999999999,"LINESTRING (27.4859671 47.1559867, 27.4853243 47.1558168, 27.4851389 47.1557564, 27.4849834 47.1556898, 27.4848211 47.1555831)",,,,
116398576,False,residential,RO:urban,False,176.627,"LINESTRING (27.4859671 47.1559867, 27.4860237 47.1559244, 27.4860522 47.155854, 27.4860629 47.1557892, 27.4860582 47.1557272, 27.4860348 47.1556479, 27.4859489 47.155495, 27.4858269 47.1553223, 27.4857772 47.1552254, 27.4857666 47.1551709, 27.4857952 47.1548683, 27.4857794 47.1547391, 27.4857049 47.1544553)",Strada Preot Țurcanu,,,
116401267,False,residential,RO:urban,False,30.387,"LINESTRING (27.4859671 47.1559867, 27.4859034 47.1560893, 27.4859043 47.1562512)",,,,
24254302,False,residential,RO:urban,False,141.46,"LINESTRING (27.4848211 47.1555831, 27.4847577 47.1555314, 27.4845302 47.1553101, 27.4843667 47.1551372, 27.4843109 47.1550234, 27.4843077 47.1549194, 27.4843092 47.1547763, 27.484294 47.1546109, 27.4842456 47.1544172)",,,,
24254302,False,residential,RO:urban,True,98.658,"LINESTRING (27.4848211 47.1555831, 27.4849834 47.1556898, 27.4851389 47.1557564, 27.4853243 47.1558168, 27.4859671 47.1559867)",,,,
176846563,False,residential,RO:urban,True,182.767,"LINESTRING (27.4848211 47.1555831, 27.484588 47.155939, 27.4844766 47.1563271, 27.4842999 47.1567904, 27.4841414 47.1571548)","Strada Craus Clemente, erou",,,
176846566,False,residential,RO:urban,True,308.07599999999996,"LINESTRING (27.4855715 47.1575695, 27.485518 47.1576311, 27.4829794 47.159706)",Strada Ponoare,DC27,,
"[176846576, 176846562]",False,residential,RO:urban,True,105.818,"LINESTRING (27.4855715 47.1575695, 27.4848717 47.1573664, 27.4845184 47.1572692, 27.4842805 47.1572022)",Strada Via Mare,,,
669976249,False,residential,RO:urban,False,110.672,"LINESTRING (27.4855715 47.1575695, 27.4858832 47.1576414, 27.4868274 47.1578366, 27.4869052 47.1578457, 27.4869739 47.1578474)",Strada Via Mare,DC27,,
24327766,False,residential,RO:urban,False,77.549,"LINESTRING (27.4819062 47.1564766, 27.482838 47.156768)",Strada Via Mare,,,
