osmid,lanes,ref,highway,oneway,reversed,length,maxspeed,geometry,bridge
"[719248362, 685509450]",2,DN29,trunk,False,False,194.744,50,"LINESTRING (26.3776167 47.6504079, 26.3768695 47.6505723, 26.3751447 47.6509503)",
"[256047177, 719248363]",2,DN29,trunk,False,True,272.958,,"LINESTRING (26.3776167 47.6504079, 26.3778466 47.6503761, 26.3779754 47.6503653, 26.3781095 47.6503613, 26.3782067 47.6503635, 26.3782932 47.6503704, 26.3783973 47.6503863, 26.3785765 47.65042, 26.3787793 47.6504722, 26.3789691 47.6505361, 26.3791317 47.6506079, 26.3792454 47.6506757, 26.3793774 47.6507652, 26.3803813 47.6516938)",
"[719248364, 42313463]",2,DJ290,secondary,False,False,209.664,,"LINESTRING (26.3776167 47.6504079, 26.3775421 47.6502696, 26.3773678 47.6501539, 26.3770655 47.6500517, 26.3769131 47.6499534, 26.376804 47.6498179, 26.3767827 47.6494468, 26.3768161 47.6490806, 26.3768382 47.6487698)",
176611014,2,,residential,False,True,7.386,RO:urban,"LINESTRING (26.3768382 47.6487698, 26.3767396 47.64877)",
"[719248364, 42313463]",2,DJ290,secondary,False,True,209.66399999999996,,"LINESTRING (26.3768382 47.6487698, 26.3768161 47.6490806, 26.3767827 47.6494468, 26.376804 47.6498179, 26.3769131 47.6499534, 26.3770655 47.6500517, 26.3773678 47.6501539, 26.3775421 47.6502696, 26.3776167 47.6504079)",
256046133,2,,residential,False,True,189.663,RO:urban,"LINESTRING (26.3686651 47.6520189, 26.3686491 47.6518215, 26.3686695 47.651572, 26.3687215 47.6513454, 26.3687859 47.6512493, 26.3687332 47.6512115, 26.3681333 47.6510098, 26.367555 47.6508532)",
947177090,2,DN29,trunk,False,False,38.631,50,"LINESTRING (26.3686651 47.6520189, 26.368544 47.652062, 26.3684247 47.6521148, 26.368244 47.6522171)",
947177090,2,DN29,trunk,False,True,191.357,50,"LINESTRING (26.3686651 47.6520189, 26.3688736 47.6519585, 26.3690503 47.6519305, 26.3692005 47.6519138, 26.369398 47.6518891, 26.3701814 47.6518279, 26.3709595 47.6517728, 26.3711794 47.6517521)",
176611014,2,,residential,False,False,196.26,RO:urban,"LINESTRING (26.3711794 47.6517521, 26.3718603 47.6506872, 26.3720464 47.6500948)",
256046091,2,,residential,False,True,162.52499999999998,RO:urban,"LINESTRING (26.3711794 47.6517521, 26.3712028 47.6519978, 26.3712725 47.6522454, 26.3713101 47.6524314, 26.3713167 47.6525732, 26.3712939 47.6527585, 26.3713274 47.6529744, 26.37131 47.6531027, 26.3713013 47.6532045)",
