osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,width,bridge,junction,access
"[1110800605, 39505933]","['2', '3']",Piața Petru Maior,residential,RO:urban,False,False,54.431,"LINESTRING (24.7020074 46.7824011, 24.7018898 46.7824444, 24.7017313 46.7825027, 24.7016533 46.7825314, 24.7015417 46.7825725, 24.7014276 46.7826144, 24.7013777 46.7826328)",,,,,
700127066,4,Piața Petru Maior,trunk,RO:urban,False,False,124.58200000000001,"LINESTRING (24.7020074 46.7824011, 24.7019511 46.7823564, 24.7018897 46.7823129, 24.7018466 46.7822728, 24.7013601 46.7815115, 24.701339 46.7814784, 24.7012898 46.7814015)",DN15,,,,
"[700127065, 1106691734]",2,Strada Pandurilor,trunk,"['30', '50']",False,True,164.393,"LINESTRING (24.7020074 46.7824011, 24.7020763 46.7824664, 24.7020811 46.7824709, 24.7021162 46.7825042, 24.7027128 46.7829929, 24.7028394 46.7830903, 24.7030125 46.7832062, 24.7033454 46.783416, 24.7034612 46.7834897)",DN15,,,,
27813786,2,Strada Republicii,secondary,RO:urban,False,False,212.77100000000004,"LINESTRING (24.7001129 46.7796195, 24.7002702 46.7795702, 24.7003067 46.7795591, 24.7016984 46.779137, 24.7018706 46.7790793, 24.7020205 46.7790273, 24.7024226 46.7788903, 24.702537 46.778847, 24.7026417 46.7788074)",DN15,,,,
222551548,,Strada George Coșbuc,residential,RO:urban,True,False,14.787,"LINESTRING (24.7001129 46.7796195, 24.7001138 46.7797012, 24.7000779 46.7797462)",,,,,
700123533,4,Strada Mihai Viteazul,trunk,RO:urban,False,False,104.539,"LINESTRING (24.7001129 46.7796195, 24.7000404 46.7795093, 24.700012 46.7794661, 24.6998201 46.7791743, 24.6997928 46.7791326, 24.6996074 46.7788492, 24.6995488 46.7787624)",DN16,,,,
"[1103396320, 222915328]",4,Piața Petru Maior,trunk,RO:urban,False,True,59.786,"LINESTRING (24.7001129 46.7796195, 24.7001628 46.7796947, 24.7002434 46.779816, 24.700358 46.7799884, 24.7003673 46.7800024, 24.700438 46.7801089)",DN15,,,,
39195625,2,Strada Apalinei,primary,RO:urban,False,True,10.322,"LINESTRING (24.7015554 46.7755259, 24.70152 46.7755472, 24.701441 46.7755744)",DN15,,,,
222551559,,Strada Călărașilor,secondary,RO:urban,True,False,17.56,"LINESTRING (24.7015554 46.7755259, 24.7015535 46.7755835, 24.7015512 46.7756838)",DN15,,,,
"[1117443794, 696664363, 696664364]",3,Strada Apalinei,primary,RO:urban,False,False,47.225,"LINESTRING (24.7015554 46.7755259, 24.7015722 46.7755113, 24.7017502 46.7753564, 24.7018713 46.7752511, 24.701939 46.7751922)",DN15,,,,
39194102,,Strada Dealului,residential,RO:urban,False,False,148.921,"LINESTRING (24.6982732 46.776949, 24.6981929 46.7769582, 24.6974386 46.7770426, 24.6971483 46.7770996, 24.6967505 46.7771684, 24.6963564 46.7772045)",,,,,
1110804601,2,Strada Mihai Viteazul,trunk,RO:urban,False,True,135.682,"LINESTRING (24.6982732 46.776949, 24.6980154 46.7766019, 24.697915 46.7764684, 24.6978146 46.77637, 24.697643 46.7762253, 24.6974311 46.7761113, 24.6972836 46.7760329, 24.6972124 46.775995)",DN16,,,,
1111701919,3,Strada Mihai Viteazul,trunk,RO:urban,False,False,45.142,"LINESTRING (24.6982732 46.776949, 24.6983673 46.7770766, 24.6984351 46.7771686, 24.698506 46.7772647, 24.6985404 46.7773114)",DN16,,,,
39194103,,Strada Porumbei,residential,RO:urban,False,True,129.601,"LINESTRING (24.696375 46.7756973, 24.6963315 46.7757572, 24.6957809 46.7764652, 24.695681 46.7766044, 24.6955541 46.7767159)",,,,,
696666539,3,Strada Mihai Viteazul,trunk,RO:urban,False,False,26.172,"LINESTRING (24.696375 46.7756973, 24.6965706 46.7757633, 24.6966849 46.775799)",DN16,,,,
