osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,ref,junction,bridge
"[29046705, 467450458]","['Aleea Traian Vuia', 'Strada Victor Feneșiu']",tertiary,RO:urban,False,False,601.5400000000001,2,"LINESTRING (22.1794049 45.8575671, 22.1793809 45.8576994, 22.1793273 45.857819, 22.1792468 45.8578993, 22.1787511 45.858394, 22.1787108 45.8584352, 22.1786662 45.8584625, 22.1786244 45.8584716, 22.178591 45.8584709, 22.1785398 45.8584544, 22.1782759 45.8583495, 22.1776429 45.8580805, 22.1772137 45.8578563, 22.1767611 45.857606, 22.1767389 45.8575924, 22.1764146 45.8574144, 22.1762129 45.8573107, 22.1760058 45.8572042, 22.1759705 45.8571898, 22.1759259 45.8572621, 22.175847 45.8573545, 22.1757471 45.8574069, 22.1756183 45.8574437, 22.1755251 45.8574489, 22.1754288 45.8574527, 22.1752214 45.8574241, 22.1733793 45.8570046, 22.173277 45.8570004)",,,
467464693,Strada Gheorghe Doja,primary,50,False,False,138.267,2,"LINESTRING (22.1794049 45.8575671, 22.1795037 45.8575353, 22.1796737 45.8574693, 22.1809555 45.8569513)",DN68A,,
467464694,Strada 1 Decembrie 1918,primary,50,False,True,288.826,2,"LINESTRING (22.1794049 45.8575671, 22.17928 45.8575857, 22.1791846 45.8575817, 22.1791095 45.857563, 22.1790377 45.8575372, 22.1789452 45.8574806, 22.1786381 45.8572323, 22.1781191 45.8567709, 22.1770037 45.8560628, 22.1768715 45.8559703, 22.1768198 45.8559283, 22.1767889 45.8558973, 22.1767491 45.8558488)",DN68A,,
467464693,Strada Gheorghe Doja,primary,50,False,True,163.39100000000002,2,"LINESTRING (22.1829199 45.8564968, 22.1826505 45.8565081, 22.1824038 45.8565138, 22.1821795 45.8565372, 22.1819988 45.8565692, 22.1817797 45.8566347, 22.181533 45.8567229, 22.1809555 45.8569513)",DN68A,,
679541678,Piața Libertății,secondary,30,True,False,5.503,,"LINESTRING (22.1722803 45.8535389, 22.172351 45.8535438)",DJ682,roundabout,
23875437,Piața Libertății,secondary,30,False,False,222.83200000000002,,"LINESTRING (22.1722803 45.8535389, 22.1722417 45.8534668, 22.1718703 45.8531108, 22.1708016 45.8520116, 22.1707704 45.851934, 22.1707658 45.8518552)",DJ682,,
23875432,Strada Avram Iancu,residential,RO:urban,False,False,239.442,,"LINESTRING (22.1767491 45.8558488, 22.175721 45.8557093, 22.175416 45.8556142, 22.1752864 45.8555469, 22.1742015 45.8547773)",,,
467464694,Strada 1 Decembrie 1918,primary,50,False,False,288.826,2,"LINESTRING (22.1767491 45.8558488, 22.1767889 45.8558973, 22.1768198 45.8559283, 22.1768715 45.8559703, 22.1770037 45.8560628, 22.1781191 45.8567709, 22.1786381 45.8572323, 22.1789452 45.8574806, 22.1790377 45.8575372, 22.1791095 45.857563, 22.1791846 45.8575817, 22.17928 45.8575857, 22.1794049 45.8575671)",DN68A,,
679541689,Calea Lugojului,primary,50,False,True,65.28999999999999,2,"LINESTRING (22.1767491 45.8558488, 22.1767104 45.8557756, 22.1766928 45.8557317, 22.1766848 45.8556635, 22.1766956 45.8554518, 22.1767049 45.8552686)",DN68A,,
719132756,Calea Lugojului,primary,50,False,False,253.398,2,"LINESTRING (22.1738785 45.852323, 22.1764208 45.8537575)",DN68A,,
24895629,Aleea Independenței,residential,RO:urban,False,True,180.307,,"LINESTRING (22.1738785 45.852323, 22.1737049 45.8524621, 22.1736666 45.8524928, 22.1724059 45.8534722, 22.172351 45.8535438)",,,
"[29046705, 467450458]","['Aleea Traian Vuia', 'Strada Victor Feneșiu']",tertiary,RO:urban,False,True,601.5400000000002,2,"LINESTRING (22.173277 45.8570004, 22.1733793 45.8570046, 22.1752214 45.8574241, 22.1754288 45.8574527, 22.1755251 45.8574489, 22.1756183 45.8574437, 22.1757471 45.8574069, 22.175847 45.8573545, 22.1759259 45.8572621, 22.1759705 45.8571898, 22.1760058 45.8572042, 22.1762129 45.8573107, 22.1764146 45.8574144, 22.1767389 45.8575924, 22.1767611 45.857606, 22.1772137 45.8578563, 22.1776429 45.8580805, 22.1782759 45.8583495, 22.1785398 45.8584544, 22.178591 45.8584709, 22.1786244 45.8584716, 22.1786662 45.8584625, 22.1787108 45.8584352, 22.1787511 45.858394, 22.1792468 45.8578993, 22.1793273 45.857819, 22.1793809 45.8576994, 22.1794049 45.8575671)",,,
679541675,,secondary,RO:urban,True,False,10.26,1,"LINESTRING (22.173277 45.8570004, 22.1732594 45.8570286, 22.173221 45.8570438, 22.1731772 45.8570399)",DJ682,roundabout,
24895651,Strada George Coșbuc,residential,RO:urban,False,False,146.572,,"LINESTRING (22.1805521 45.8520613, 22.1819159 45.8529752)",,,
467464699,Strada Cloșca,residential,,False,False,77.548,,"LINESTRING (22.1805521 45.8520613, 22.1811683 45.8515116)",,,
24895658,Strada Cloșca,residential,RO:urban,False,False,449.10699999999997,,"LINESTRING (22.1805521 45.8520613, 22.1803204 45.8523483, 22.1802517 45.8525874, 22.1799513 45.855696, 22.1799513 45.8558873, 22.1799104 45.8560436)",,,
"[467464698, 230336622]",Strada George Gârda,residential,RO:urban,False,"[False, True]",206.53799999999995,,"LINESTRING (22.1805521 45.8520613, 22.18043 45.8520066, 22.1801924 45.8518869, 22.1799815 45.8517793, 22.179751 45.8516318, 22.1794439 45.8514949, 22.1792688 45.8514821, 22.1791289 45.8514819, 22.1790663 45.8515502, 22.1790295 45.8516649, 22.1789885 45.8517869, 22.1788753 45.8521321)",,,
679541671,Strada Ștefan cel Mare,secondary,RO:urban,True,False,14.443,2,"LINESTRING (22.1726973 45.8578205, 22.1727291 45.8578237, 22.1727509 45.8578372, 22.1727688 45.8578547, 22.1727733 45.8578754, 22.1727658 45.8578966, 22.1727547 45.8579182)",DJ682,roundabout,
"[188560362, 166502949, 679541686]",Strada Ștefan cel Mare,secondary,RO:urban,False,False,94.437,2,"LINESTRING (22.1726973 45.8578205, 22.1727377 45.8577446, 22.1730633 45.8572306, 22.1730818 45.8571997, 22.1731772 45.8570399)",DJ682,,yes
511117365,Strada Cloșca,residential,RO:urban,False,False,35.829,,"LINESTRING (22.1799104 45.8560436, 22.180198 45.856296)",,,
24895658,Strada Cloșca,residential,RO:urban,False,True,449.10699999999997,,"LINESTRING (22.1799104 45.8560436, 22.1799513 45.8558873, 22.1799513 45.855696, 22.1802517 45.8525874, 22.1803204 45.8523483, 22.1805521 45.8520613)",,,
230336617,Strada George Gârda,residential,RO:urban,False,True,228.368,,"LINESTRING (22.1799104 45.8560436, 22.1798139 45.8559637, 22.1795725 45.8558405, 22.1794331 45.85579, 22.1792024 45.8557508, 22.1786691 45.8556798, 22.1787303 45.8545927)",,,
467464693,Strada Gheorghe Doja,primary,50,False,False,163.39100000000002,2,"LINESTRING (22.1809555 45.8569513, 22.181533 45.8567229, 22.1817797 45.8566347, 22.1819988 45.8565692, 22.1821795 45.8565372, 22.1824038 45.8565138, 22.1826505 45.8565081, 22.1829199 45.8564968)",DN68A,,
467464693,Strada Gheorghe Doja,primary,50,False,True,138.267,2,"LINESTRING (22.1809555 45.8569513, 22.1796737 45.8574693, 22.1795037 45.8575353, 22.1794049 45.8575671)",DN68A,,
511117365,Strada Cloșca,residential,RO:urban,False,True,93.56,,"LINESTRING (22.1809555 45.8569513, 22.1805674 45.8566041, 22.180198 45.856296)",,,
511117365,Strada Cloșca,residential,RO:urban,False,True,35.829,,"LINESTRING (22.180198 45.856296, 22.1799104 45.8560436)",,,
511117365,Strada Cloșca,residential,RO:urban,False,False,93.56,,"LINESTRING (22.180198 45.856296, 22.1805674 45.8566041, 22.1809555 45.8569513)",,,
24895652,Strada Ștefan cel Mare,secondary,RO:urban,False,True,288.258,2,"LINESTRING (22.1727547 45.8579182, 22.1728275 45.857989, 22.1732834 45.8585449, 22.1736354 45.8590131, 22.1737556 45.859228, 22.1738423 45.8594352, 22.1741562 45.8602981)",DJ682,,
679541671,Strada Ștefan cel Mare,secondary,RO:urban,True,False,7.931000000000001,2,"LINESTRING (22.1727547 45.8579182, 22.1727309 45.8579275, 22.1727052 45.8579281, 22.1726812 45.8579275, 22.1726568 45.8579226)",DJ682,roundabout,
24895652,Strada Ștefan cel Mare,secondary,RO:urban,False,False,288.258,2,"LINESTRING (22.1741562 45.8602981, 22.1738423 45.8594352, 22.1737556 45.859228, 22.1736354 45.8590131, 22.1732834 45.8585449, 22.1728275 45.857989, 22.1727547 45.8579182)",DJ682,,
230336620,,residential,RO:urban,False,False,38.229,,"LINESTRING (22.177717 45.8556275, 22.1777172 45.8552837)",,,
230336624,,residential,RO:urban,False,True,56.716,,"LINESTRING (22.1787303 45.8545927, 22.1779982 45.8545796)",,,
