osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry
88887310,Strada D. Bogdan,residential,RO:urban,False,True,191.062,,,"LINESTRING (24.2916665 47.6703046, 24.2940678 47.6708857)"
781831285,Strada 1 Decembrie 1918,secondary,RO:urban,False,False,78.908,2,DJ186,"LINESTRING (24.2916665 47.6703046, 24.2912947 47.6709686)"
781831285,Strada 1 Decembrie 1918,secondary,RO:urban,False,True,129.178,2,DJ186,"LINESTRING (24.2916665 47.6703046, 24.2923835 47.6693702, 24.2924694 47.6692767)"
74464243,Strada 1 Decembrie 1918,secondary,RO:urban,False,False,124.90300000000002,2,DJ186,"LINESTRING (24.2972692 47.665406, 24.2964778 47.665796, 24.2961616 47.6659757, 24.2959742 47.6661099)"
88887323,,residential,RO:urban,False,True,148.55900000000003,,,"LINESTRING (24.2972692 47.665406, 24.2976635 47.6657404, 24.2976835 47.6657824, 24.297671 47.6658239, 24.2969244 47.6664749)"
23933001,,residential,RO:urban,False,False,66.816,,,"LINESTRING (24.2967487 47.6632062, 24.2964541 47.6634748, 24.2963253 47.6635441, 24.2961182 47.6636138)"
88887318,,residential,RO:urban,False,True,127.376,,,"LINESTRING (24.2967487 47.6632062, 24.2975091 47.6635377, 24.2976372 47.6635768, 24.2982065 47.6637942)"
23933001,,residential,RO:urban,False,False,43.269999999999996,,,"LINESTRING (24.2961182 47.6636138, 24.2959374 47.6636532, 24.2957665 47.6637002, 24.295602 47.6637805)"
23933001,,residential,RO:urban,False,True,66.816,,,"LINESTRING (24.2961182 47.6636138, 24.2963253 47.6635441, 24.2964541 47.6634748, 24.2967487 47.6632062)"
88887319,,residential,RO:urban,False,True,142.309,,,"LINESTRING (24.2961182 47.6636138, 24.2967527 47.6642025, 24.2972677 47.6646324)"
23933001,,residential,RO:urban,False,False,23.758,,,"LINESTRING (24.295602 47.6637805, 24.295369 47.6639255)"
88871262,,residential,RO:urban,False,True,92.143,,,"LINESTRING (24.295602 47.6637805, 24.2963236 47.6644517)"
