osmid,lanes,ref,highway,maxspeed,oneway,reversed,length,geometry,bridge,name
24414071,2,DN1C,trunk,50,False,True,63.079,"LINESTRING (23.463894 47.6648361, 23.4630986 47.6646494)",,
29885022,,DN1C,trunk,50,True,False,53.484,"LINESTRING (23.463894 47.6648361, 23.4645801 47.6649697)",,
29885038,2,DN1C,trunk,50,False,False,64.07,"LINESTRING (23.4668644 47.6661602, 23.467015 47.6662577, 23.467197 47.6663888, 23.4674567 47.6665758)",,
29885093,,DN1C,trunk,50,True,False,204.339,"LINESTRING (23.4668644 47.6661602, 23.4664767 47.6659801, 23.4656719 47.665635, 23.46523 47.6654297, 23.4647801 47.6651963, 23.4646192 47.6651176)",,
350881388,,,residential,,False,True,45.135,"LINESTRING (23.4693744 47.6680121, 23.4690076 47.6683342)",,
29885038,2,DN1C,trunk,50,False,False,82.947,"LINESTRING (23.4693744 47.6680121, 23.4696936 47.6681609, 23.4698726 47.6682244, 23.470051 47.66827, 23.4702072 47.6682983, 23.4703711 47.6683086)",,
29885038,2,DN1C,trunk,50,False,True,161.775,"LINESTRING (23.4693744 47.6680121, 23.4690756 47.6678147, 23.4681584 47.667102, 23.4679348 47.6669283)",,
"[350881284, 350881285, 691670159]",2,DN1C,trunk,50,False,False,79.22,"LINESTRING (23.4715491 47.6681139, 23.4716968 47.6680698, 23.4719041 47.6680019, 23.472516 47.6678251)",yes,
691670160,2,DN1C,trunk,50,False,True,91.673,"LINESTRING (23.4715491 47.6681139, 23.4711719 47.6682176, 23.4709523 47.6682648, 23.4706934 47.6682984, 23.4703711 47.6683086)",,
29885038,2,DN1C,trunk,50,False,True,82.947,"LINESTRING (23.4703711 47.6683086, 23.4702072 47.6682983, 23.470051 47.66827, 23.4698726 47.6682244, 23.4696936 47.6681609, 23.4693744 47.6680121)",,
691670160,2,DN1C,trunk,50,False,False,91.67299999999999,"LINESTRING (23.4703711 47.6683086, 23.4706934 47.6682984, 23.4709523 47.6682648, 23.4711719 47.6682176, 23.4715491 47.6681139)",,
249530321,,,residential,50,False,False,147.219,"LINESTRING (23.4688175 47.6660002, 23.4690459 47.6661812, 23.4690687 47.6662165, 23.4690486 47.666252, 23.4679348 47.6669283)",,
29885038,2,DN1C,trunk,50,False,False,53.086,"LINESTRING (23.4674567 47.6665758, 23.4679348 47.6669283)",,
29885038,2,DN1C,trunk,50,False,True,64.07000000000001,"LINESTRING (23.4674567 47.6665758, 23.467197 47.6663888, 23.467015 47.6662577, 23.4668644 47.6661602)",,
29885038,2,DN1C,trunk,50,False,True,53.086,"LINESTRING (23.4679348 47.6669283, 23.4674567 47.6665758)",,
29885038,2,DN1C,trunk,50,False,False,161.775,"LINESTRING (23.4679348 47.6669283, 23.4681584 47.667102, 23.4690756 47.6678147, 23.4693744 47.6680121)",,
249530321,,,residential,50,False,True,147.219,"LINESTRING (23.4679348 47.6669283, 23.4690486 47.666252, 23.4690687 47.6662165, 23.4690459 47.6661812, 23.4688175 47.6660002)",,
29885022,,DN1C,trunk,50,True,False,213.722,"LINESTRING (23.4647141 47.6649978, 23.4652637 47.6651109, 23.4654649 47.6651637, 23.4655959 47.6652064, 23.4657797 47.6652781, 23.4659763 47.6654051, 23.4665322 47.6659227, 23.4668644 47.6661602)",,
249530323,2,,residential,RO:urban,False,False,135.725,"LINESTRING (23.472516 47.6678251, 23.4726636 47.6681514, 23.4727118 47.6682273, 23.472795 47.6683284, 23.4728942 47.6684259, 23.4730364 47.668565, 23.4731598 47.6687222, 23.4732483 47.668836, 23.47331 47.6689136)",,Strada 9
"[350881284, 350881285, 691670159]",2,DN1C,trunk,50,False,True,79.22,"LINESTRING (23.472516 47.6678251, 23.4719041 47.6680019, 23.4716968 47.6680698, 23.4715491 47.6681139)",yes,
249530323,2,,residential,RO:urban,False,False,186.88500000000002,"LINESTRING (23.47331 47.6689136, 23.4733422 47.6689931, 23.4733904 47.6691105, 23.4734548 47.6692803, 23.473538 47.6694916, 23.473605 47.6696361, 23.4736882 47.6698005, 23.4737633 47.6699161, 23.4738545 47.6700443, 23.4739376 47.6701509, 23.4739966 47.6702141, 23.4740771 47.6702665, 23.4741441 47.6702972, 23.4742461 47.6703369, 23.474356 47.6703785)",,Strada 9
350881309,,,residential,,False,False,239.53,"LINESTRING (23.47331 47.6689136, 23.4735986 47.6690391, 23.4738821 47.6691044, 23.4741667 47.6692123, 23.4744738 47.6692424, 23.4746819 47.6693072, 23.4747503 47.669423, 23.4747948 47.6695708, 23.4747586 47.6697005, 23.4745285 47.6701035, 23.474356 47.6703785)",,Strada 10
249530323,2,,residential,RO:urban,False,True,135.725,"LINESTRING (23.47331 47.6689136, 23.4732483 47.668836, 23.4731598 47.6687222, 23.4730364 47.668565, 23.4728942 47.6684259, 23.472795 47.6683284, 23.4727118 47.6682273, 23.4726636 47.6681514, 23.472516 47.6678251)",,Strada 9
249530323,2,,residential,RO:urban,False,True,186.88500000000002,"LINESTRING (23.474356 47.6703785, 23.4742461 47.6703369, 23.4741441 47.6702972, 23.4740771 47.6702665, 23.4739966 47.6702141, 23.4739376 47.6701509, 23.4738545 47.6700443, 23.4737633 47.6699161, 23.4736882 47.6698005, 23.473605 47.6696361, 23.473538 47.6694916, 23.4734548 47.6692803, 23.4733904 47.6691105, 23.4733422 47.6689931, 23.47331 47.6689136)",,Strada 9
