osmid,lanes,name,highway,maxspeed,oneway,reversed,length,ref,geometry,access,bridge
238155188,2,Strada Ștrandului,residential,50,False,True,74.563,,"LINESTRING (24.8808118 44.6617127, 24.8810303 44.6610604)",,
"[915761917, 238153453]",2,Strada Alexandriei,primary,50,False,False,385.53599999999994,DN65A,"LINESTRING (24.8808118 44.6617127, 24.8800828 44.6615556, 24.8798004 44.6614958, 24.8795201 44.661458, 24.8793267 44.6614385, 24.8783467 44.6613751, 24.8776023 44.6613269, 24.8774296 44.661317, 24.8773022 44.6613121, 24.8772338 44.6613094, 24.8770889 44.661317, 24.8769763 44.6613285, 24.8768475 44.6613552, 24.8767295 44.6613895, 24.876582 44.6614544, 24.8764452 44.6615383, 24.8762977 44.6616356, 24.8761899 44.6617205)",,
238155188,2,Strada Ștrandului,residential,50,False,False,230.66400000000002,,"LINESTRING (24.8808118 44.6617127, 24.8807541 44.6618979, 24.8806346 44.6627097, 24.8805878 44.6630139, 24.8805368 44.6635481, 24.8805314 44.6637751)",,
224390280,2,Strada Zorilor,secondary,50,False,True,12.476,DJ703B,"LINESTRING (24.8758074 44.6619367, 24.8759309 44.6618669)",,
224390284,2,Strada Râului,secondary,RO:urban,False,False,30.81,,"LINESTRING (24.8758074 44.6619367, 24.8759144 44.6620516, 24.8760083 44.6621738)",,
238155804,,Strada Râului,residential,RO:urban,False,False,218.87199999999999,,"LINESTRING (24.8758074 44.6619367, 24.8752609 44.6615011, 24.8749632 44.6612493, 24.8745662 44.6609517, 24.8742819 44.660778, 24.8740673 44.660654, 24.8738581 44.6605491)",,
238201393,2,Strada Zorilor,secondary,50,False,False,80.14699999999999,DJ703B,"LINESTRING (24.8758074 44.6619367, 24.8755427 44.6621068, 24.8751645 44.6623414, 24.8750357 44.6624025)",,
224390282,2,,primary,50,False,False,53.066,DN65A,"LINESTRING (24.8760083 44.6621738, 24.8760187 44.6620553, 24.8760536 44.6619409, 24.8760965 44.6618512, 24.8761322 44.6617959, 24.8761899 44.6617205)",,
224390284,2,Strada Râului,secondary,RO:urban,False,True,30.81,,"LINESTRING (24.8760083 44.6621738, 24.8759144 44.6620516, 24.8758074 44.6619367)",,
"[638195273, 224390283]",2,Strada Victoriei,primary,50,False,"[False, True]",256.151,DN65A,"LINESTRING (24.8760083 44.6621738, 24.8760185 44.6622834, 24.8760469 44.6623647, 24.8762221 44.6627204, 24.8763816 44.6630356, 24.8770585 44.6643482)",,
224390280,2,Strada Zorilor,secondary,50,False,False,26.165,DJ703B,"LINESTRING (24.8761899 44.6617205, 24.8759309 44.6618669)",,
224390282,2,,primary,50,False,True,53.065999999999995,DN65A,"LINESTRING (24.8761899 44.6617205, 24.8761322 44.6617959, 24.8760965 44.6618512, 24.8760536 44.6619409, 24.8760187 44.6620553, 24.8760083 44.6621738)",,
"[238153453, 915761917]",2,Strada Alexandriei,primary,50,False,True,385.53600000000006,DN65A,"LINESTRING (24.8761899 44.6617205, 24.8762977 44.6616356, 24.8764452 44.6615383, 24.876582 44.6614544, 24.8767295 44.6613895, 24.8768475 44.6613552, 24.8769763 44.6613285, 24.8770889 44.661317, 24.8772338 44.6613094, 24.8773022 44.6613121, 24.8774296 44.661317, 24.8776023 44.6613269, 24.8783467 44.6613751, 24.8793267 44.6614385, 24.8795201 44.661458, 24.8798004 44.6614958, 24.8800828 44.6615556, 24.8808118 44.6617127)",,
224390283,2,Strada Victoriei,primary,50,False,False,27.411,DN65A,"LINESTRING (24.8770585 44.6643482, 24.8771721 44.6645811)",,
238156071,,Strada Morii,residential,RO:urban,False,True,72.449,,"LINESTRING (24.8770585 44.6643482, 24.8779619 44.6644562)",,
"[638195273, 224390283]",2,Strada Victoriei,primary,50,False,"[False, True]",256.151,DN65A,"LINESTRING (24.8770585 44.6643482, 24.8763816 44.6630356, 24.8762221 44.6627204, 24.8760469 44.6623647, 24.8760185 44.6622834, 24.8760083 44.6621738)",,
224390283,2,Strada Victoriei,primary,50,False,True,184.366,DN65A,"LINESTRING (24.8779768 44.6661372, 24.8776656 44.6655486, 24.8775538 44.6653307, 24.8773952 44.6650217, 24.8771721 44.6645811)",,
238187417,2,Strada Pieții,residential,50,False,False,180.51799999999997,,"LINESTRING (24.8779768 44.6661372, 24.8788041 44.6662457, 24.879906 44.6663901, 24.8802216 44.6664315)",,
224390283,2,Strada Victoriei,primary,50,False,True,27.411,DN65A,"LINESTRING (24.8771721 44.6645811, 24.8770585 44.6643482)",,
224390283,2,Strada Victoriei,primary,50,False,False,184.366,DN65A,"LINESTRING (24.8771721 44.6645811, 24.8773952 44.6650217, 24.8775538 44.6653307, 24.8776656 44.6655486, 24.8779768 44.6661372)",,
238156050,2,Strada Morii,residential,50,False,False,63.988,,"LINESTRING (24.8771721 44.6645811, 24.8777656 44.6644872, 24.8779619 44.6644562)",,
238155188,2,Strada Ștrandului,residential,50,False,False,118.22799999999998,,"LINESTRING (24.8805314 44.6637751, 24.8804992 44.6641395, 24.8805502 44.6644714, 24.8806226 44.664832)",,
238155188,2,Strada Ștrandului,residential,50,False,True,230.664,,"LINESTRING (24.8805314 44.6637751, 24.8805368 44.6635481, 24.8805878 44.6630139, 24.8806346 44.6627097, 24.8807541 44.6618979, 24.8808118 44.6617127)",,
498769793,2,Strada Morii,residential,50,False,False,67.465,,"LINESTRING (24.8806226 44.664832, 24.8814594 44.6649499)",,
498769793,2,Strada Morii,residential,50,False,True,177.345,,"LINESTRING (24.8806226 44.664832, 24.8784259 44.6645115)",,
238155188,2,Strada Ștrandului,residential,50,False,True,118.22799999999998,,"LINESTRING (24.8806226 44.664832, 24.8805502 44.6644714, 24.8804992 44.6641395, 24.8805314 44.6637751)",,
498755194,2,Strada Pieții,residential,50,False,True,180.671,,"LINESTRING (24.8806226 44.664832, 24.8804549 44.6654701, 24.8803557 44.6658535, 24.8803122 44.6660305, 24.8802216 44.6664315)",,
238155188,2,Strada Ștrandului,residential,50,False,False,74.563,,"LINESTRING (24.8810303 44.6610604, 24.8808118 44.6617127)",,
238199064,,,residential,RO:urban,False,False,160.964,,"LINESTRING (24.8810303 44.6610604, 24.8812839 44.6610813, 24.8816232 44.6610975, 24.8818459 44.6610956, 24.8820008 44.6610918, 24.8822992 44.6611014, 24.8823662 44.6610956, 24.8824064 44.6610785, 24.8824561 44.6610127, 24.8824883 44.6609492, 24.8825137 44.6609106, 24.8825768 44.6608438, 24.8827754 44.6607074)",,
224390280,2,Strada Zorilor,secondary,50,False,False,12.476,DJ703B,"LINESTRING (24.8759309 44.6618669, 24.8758074 44.6619367)",,
224390280,2,Strada Zorilor,secondary,50,False,True,26.165,DJ703B,"LINESTRING (24.8759309 44.6618669, 24.8761899 44.6617205)",,
238155401,2,Strada Neculești,residential,50,False,False,167.571,DC146,"LINESTRING (24.8759309 44.6618669, 24.8757759 44.6612741, 24.8755318 44.6603869)",,
238155401,2,Strada Neculești,residential,50,False,True,167.571,DC146,"LINESTRING (24.8755318 44.6603869, 24.8757759 44.6612741, 24.8759309 44.6618669)",,
238155893,,,residential,RO:urban,False,True,136.103,,"LINESTRING (24.8755318 44.6603869, 24.8753764 44.6604222, 24.8751605 44.6604575, 24.8748344 44.6604613, 24.8742309 44.6604442, 24.8740217 44.6604785, 24.8738581 44.6605491)",,
238155804,,Strada Râului,residential,RO:urban,False,False,116.667,,"LINESTRING (24.8738581 44.6605491, 24.8728469 44.6601918, 24.8725465 44.6600697)",,
238155804,,Strada Râului,residential,RO:urban,False,True,218.87199999999999,,"LINESTRING (24.8738581 44.6605491, 24.8740673 44.660654, 24.8742819 44.660778, 24.8745662 44.6609517, 24.8749632 44.6612493, 24.8752609 44.6615011, 24.8758074 44.6619367)",,
238155893,,,residential,RO:urban,False,False,136.103,,"LINESTRING (24.8738581 44.6605491, 24.8740217 44.6604785, 24.8742309 44.6604442, 24.8748344 44.6604613, 24.8751605 44.6604575, 24.8753764 44.6604222, 24.8755318 44.6603869)",,
238156224,,Aleea Stadionului,residential,RO:urban,False,False,80.672,,"LINESTRING (24.8784259 44.6645115, 24.87856 44.6637923)",,
498769793,2,Strada Morii,residential,50,False,False,177.345,,"LINESTRING (24.8784259 44.6645115, 24.8806226 44.664832)",,
498769793,2,Strada Morii,residential,50,False,True,37.207,,"LINESTRING (24.8784259 44.6645115, 24.8779619 44.6644562)",,
238156071,,Strada Morii,residential,RO:urban,False,False,72.449,,"LINESTRING (24.8779619 44.6644562, 24.8770585 44.6643482)",,
498769793,2,Strada Morii,residential,50,False,False,37.207,,"LINESTRING (24.8779619 44.6644562, 24.8784259 44.6645115)",,
238156050,2,Strada Morii,residential,50,False,True,63.988,,"LINESTRING (24.8779619 44.6644562, 24.8777656 44.6644872, 24.8771721 44.6645811)",,
238156224,,Aleea Stadionului,residential,RO:urban,False,True,80.672,,"LINESTRING (24.87856 44.6637923, 24.8784259 44.6645115)",,
238187417,2,Strada Pieții,residential,50,False,False,10.266,,"LINESTRING (24.8802216 44.6664315, 24.8803483 44.6664516)",,
238187417,2,Strada Pieții,residential,50,False,True,180.51799999999997,,"LINESTRING (24.8802216 44.6664315, 24.879906 44.6663901, 24.8788041 44.6662457, 24.8779768 44.6661372)",,
498755194,2,Strada Pieții,residential,50,False,False,180.671,,"LINESTRING (24.8802216 44.6664315, 24.8803122 44.6660305, 24.8803557 44.6658535, 24.8804549 44.6654701, 24.8806226 44.664832)",,
238187417,2,Strada Pieții,residential,50,False,True,10.266,,"LINESTRING (24.8803483 44.6664516, 24.8802216 44.6664315)",,
238191520,,Strada Industriilor,residential,RO:urban,False,True,368.789,,"LINESTRING (24.8737174 44.6625384, 24.8739425 44.6627497, 24.8740954 44.6628947, 24.8742349 44.6630492, 24.8743368 44.6631847, 24.8744602 44.6633774, 24.8747043 44.6638047, 24.8750395 44.6644533, 24.8754472 44.6652736, 24.8754928 44.6654243, 24.8754928 44.6655311, 24.875496 44.665569)",,
238201393,2,Strada Zorilor,secondary,50,False,False,154.36100000000002,DJ703B,"LINESTRING (24.8737174 44.6625384, 24.8735997 44.6625223, 24.8734866 44.6624947, 24.8730965 44.66237, 24.8729061 44.6623166, 24.8727317 44.6623014, 24.8725547 44.6622994, 24.8720075 44.6623357, 24.8718841 44.6623319, 24.871832 44.6623214)",,
238201393,2,Strada Zorilor,secondary,50,False,True,105.86000000000001,DJ703B,"LINESTRING (24.8737174 44.6625384, 24.8738167 44.6625337, 24.8739292 44.6625187, 24.8740082 44.6625102, 24.8740881 44.6625003, 24.8741563 44.6624903, 24.8742472 44.6624769, 24.8745476 44.6624578, 24.8747675 44.6624502, 24.8749338 44.6624349, 24.8750357 44.6624025)",,
238191520,,Strada Industriilor,residential,RO:urban,False,False,368.78900000000004,,"LINESTRING (24.875496 44.665569, 24.8754928 44.6655311, 24.8754928 44.6654243, 24.8754472 44.6652736, 24.8750395 44.6644533, 24.8747043 44.6638047, 24.8744602 44.6633774, 24.8743368 44.6631847, 24.8742349 44.6630492, 24.8740954 44.6628947, 24.8739425 44.6627497, 24.8737174 44.6625384)",,
997034363,,,residential,,False,True,231.75,,"LINESTRING (24.875496 44.665569, 24.8754043 44.6655605, 24.8753238 44.6655242, 24.8750704 44.6653622, 24.8748407 44.6652518, 24.8743811 44.6651708, 24.8741764 44.6651509, 24.8738443 44.6651186, 24.8727452 44.6650116)",,
