osmid,oneway,highway,maxspeed,junction,reversed,length,name,geometry,lanes,ref,access
219916298,True,primary,50,roundabout,False,4.748,,"LINESTRING (25.9686034 43.899201, 25.9685653 43.8992337)",,,
145567370,True,secondary,60,,False,29.076,Șoseaua București,"LINESTRING (25.9665486 43.8955118, 25.966492 43.8953228, 25.9664741 43.8952559)",,,
225613637,False,secondary,60,,False,347.378,Șoseaua București,"LINESTRING (25.9665486 43.8955118, 25.9666201 43.8957872, 25.9667778 43.8963749, 25.9667978 43.8964458, 25.9668435 43.89659, 25.9668903 43.8967156, 25.966932 43.8968111, 25.9669705 43.8968939, 25.9670449 43.8970291, 25.967113 43.8971373, 25.9678988 43.8983411, 25.9679638 43.8984439)",2,,
23338708,False,tertiary,RO:urban,,True,132.832,Bulevardul Independenței,"LINESTRING (25.9696426 43.8942597, 25.9710468 43.8936248)",2,,
23183546,False,tertiary,RO:urban,,False,87.117,Strada Vlad Țepeș,"LINESTRING (25.9696426 43.8942597, 25.9696728 43.8942929, 25.9702385 43.894915)",2,,
23183546,False,tertiary,RO:urban,,True,126.339,Strada Vlad Țepeș,"LINESTRING (25.9696426 43.8942597, 25.9689913 43.8932865, 25.9689577 43.8932363)",2,,
23338708,False,tertiary,RO:urban,,False,87.673,Bulevardul Independenței,"LINESTRING (25.9696426 43.8942597, 25.9695564 43.8942952, 25.9690802 43.8944755, 25.9686697 43.8946201)",2,,
395900732,True,primary,30,,False,31.499000000000002,,"LINESTRING (25.9624516 43.8984598, 25.962329 43.8983093, 25.9622526 43.8982155)",,,
1180021186,False,primary,RO:urban,,True,157.115,Bulevardul Mihai Viteazul,"LINESTRING (25.9624516 43.8984598, 25.9626203 43.8986128, 25.9627706 43.8987375, 25.9629253 43.8988456, 25.9631126 43.8989484, 25.9633183 43.8990277, 25.9634472 43.8990727, 25.9636235 43.8991239, 25.963738 43.899151, 25.9640507 43.8992077)",4,,
23650496,False,residential,RO:urban,,True,54.597,Strada Dudului,"LINESTRING (25.9654404 43.8991902, 25.9654411 43.8996812)",,,
717372748,False,primary,RO:urban,,False,68.89999999999999,Bulevardul Mihai Viteazul,"LINESTRING (25.9654404 43.8991902, 25.9653786 43.8991924, 25.9646693 43.8992176, 25.9645815 43.8992204)",4,,
717372748,False,primary,RO:urban,,True,164.21,Bulevardul Mihai Viteazul,"LINESTRING (25.9654404 43.8991902, 25.9667944 43.899152, 25.9674881 43.8991289)",4,,
23184261,False,tertiary,RO:urban,,False,35.509,Strada Petre Ghelmez,"LINESTRING (25.9690414 43.8958633, 25.968785 43.895796, 25.9686247 43.8957546)",2,,
23184261,False,tertiary,RO:urban,,True,178.93,Strada Petre Ghelmez,"LINESTRING (25.9690414 43.8958633, 25.9697503 43.8960577, 25.9701609 43.8961703, 25.971085 43.8964168, 25.971131 43.8964307)",2,,
41532884,False,residential,RO:urban,,False,145.808,,"LINESTRING (25.9690414 43.8958633, 25.9691399 43.8956603, 25.9690615 43.8954538, 25.9688486 43.8950908, 25.9686994 43.8946982, 25.9686697 43.8946201)",,,
